state,age,vaccination,risk,year,value,value_min,value_max
new_case,All,All,All,1950,6380958,6377011,6382807
new_case,All,All,All,1951,371409,367470,373200
new_case,All,All,All,1952,1018519,1009829,1027407
new_case,All,All,All,1953,819409,804548,823079
new_case,All,All,All,1954,892253,886326,905236
new_case,All,All,All,1955,930558,922386,936829
new_case,All,All,All,1956,933035,931068,935022
new_case,All,All,All,1957,1001053,990337,1004143
new_case,All,All,All,1958,996111,993863,1005099
new_case,All,All,All,1959,1041285,1036772,1044541
new_case,All,All,All,1960,1071428,1065613,1083351
new_case,All,All,All,1961,1110186,1105542,1110466
new_case,All,All,All,1962,1144209,1142206,1160765
new_case,All,All,All,1963,1183348,1169698,1189614
new_case,All,All,All,1964,1263209,1251715,1269977
new_case,All,All,All,1965,1272495,1267899,1280341
new_case,All,All,All,1966,1318909,1315192,1323585
new_case,All,All,All,1967,1368530,1353691,1387355
new_case,All,All,All,1968,1415611,1390875,1424942
new_case,All,All,All,1969,1465269,1457937,1482824
new_case,All,All,All,1970,1516972,1507726,1535753
new_case,All,All,All,1971,1583477,1574745,1602808
new_case,All,All,All,1972,1624225,1602958,1627834
new_case,All,All,All,1973,1786411,1781700,1796929
new_case,All,All,All,1974,1726583,1714681,1750874
new_case,All,All,All,1975,1846072,1817347,1858984
new_case,All,All,All,1976,1831202,1825699,1847174
new_case,All,All,All,1977,1972418,1969981,1976188
new_case,All,All,All,1978,2105031,2102433,2128452
new_case,All,All,All,1979,2163212,2148041,2168442
new_case,All,All,All,1980,155711,154152,157804
new_case,All,All,All,1981,41811,41811,41811
new_case,All,All,All,1982,43905,43905,43905
new_case,All,All,All,1983,862,862,862
new_case,All,All,All,1984,1365,1365,1365
new_case,All,All,All,1985,10314,10314,10314
new_case,All,All,All,1986,20010,20010,20010
new_case,All,All,All,1987,1115,1115,1115
new_case,All,All,All,1988,327,327,327
new_case,All,All,All,1989,521,521,521
new_case,All,All,All,1990,566,566,566
new_case,All,All,All,1991,312,312,312
new_case,All,All,All,1992,271,271,271
new_case,All,All,All,1993,264,264,264
new_case,All,All,All,1994,127,127,127
new_case,All,All,All,1995,1496,1496,1496
new_case,All,All,All,1996,133,133,133
new_case,All,All,All,1997,418,418,418
new_case,All,All,All,1998,169,169,169
