state,age,vaccination,risk,year,value,value_min,value_max
new_case,All,All,All,1950,139983,137557,141142
new_case,All,All,All,1951,140529,140006,141617
new_case,All,All,All,1952,109411,107163,110604
new_case,All,All,All,1953,95805,94521,95919
new_case,All,All,All,1954,87115,86137,88621
new_case,All,All,All,1955,80659,80001,80883
new_case,All,All,All,1956,75969,75767,76192
new_case,All,All,All,1957,73771,73320,74579
new_case,All,All,All,1958,69653,68881,70388
new_case,All,All,All,1959,67533,66553,67656
new_case,All,All,All,1960,65267,64520,65782
new_case,All,All,All,1961,63646,63342,64159
new_case,All,All,All,1962,62534,62092,63015
new_case,All,All,All,1963,61642,60796,61907
new_case,All,All,All,1964,62204,61116,62815
new_case,All,All,All,1965,60041,59985,60704
new_case,All,All,All,1966,59654,59234,60097
new_case,All,All,All,1967,58812,58633,59120
new_case,All,All,All,1968,58592,57765,59252
new_case,All,All,All,1969,57775,57170,58394
new_case,All,All,All,1970,58146,57422,58306
new_case,All,All,All,1971,58692,58176,59430
new_case,All,All,All,1972,57613,56996,58045
new_case,All,All,All,1973,57518,57374,58316
new_case,All,All,All,1974,57203,56766,57548
new_case,All,All,All,1975,57603,57438,57849
new_case,All,All,All,1976,57308,56853,58186
new_case,All,All,All,1977,57624,57339,58203
new_case,All,All,All,1978,59329,59005,59774
new_case,All,All,All,1979,60449,60254,60826
new_case,All,All,All,1980,62162,61548,62220
new_case,All,All,All,1981,61545,61462,62183
new_case,All,All,All,1982,61085,60885,61783
new_case,All,All,All,1983,2548,2403,2611
new_case,All,All,All,1984,58,58,58
new_case,All,All,All,1985,19,19,19
new_case,All,All,All,1986,6,6,6
new_case,All,All,All,1987,7,7,7
new_case,All,All,All,1988,3,3,3
new_case,All,All,All,1989,24,24,24
new_case,All,All,All,1990,0,0,0
new_case,All,All,All,1991,0,0,0
new_case,All,All,All,1992,0,0,0
new_case,All,All,All,1993,0,0,0
new_case,All,All,All,1994,0,0,0
new_case,All,All,All,1995,0,0,0
new_case,All,All,All,1996,0,0,0
new_case,All,All,All,1997,0,0,0
new_case,All,All,All,1998,0,0,0
new_case,All,All,All,1999,0,0,0
new_case,All,All,All,2000,0,0,0
new_case,All,All,All,2001,0,0,0
new_case,All,All,All,2002,0,0,0
new_case,All,All,All,2003,0,0,0
new_case,All,All,All,2004,0,0,0
new_case,All,All,All,2005,0,0,0
new_case,All,All,All,2006,0,0,0
new_case,All,All,All,2007,0,0,0
new_case,All,All,All,2008,0,0,0
new_case,All,All,All,2009,0,0,0
new_case,All,All,All,2010,0,0,0
new_case,All,All,All,2011,0,0,0
new_case,All,All,All,2012,65,65,65
new_case,All,All,All,2013,7,7,7
new_case,All,All,All,2014,0,0,0
new_case,All,All,All,2015,0,0,0
new_case,All,All,All,2016,0,0,0
new_case,All,All,All,2017,0,0,0
new_case,All,All,All,2018,6,6,6
new_case,All,All,All,2019,0,0,0
new_case,All,All,All,2020,0,0,0
new_case,All,All,All,2021,0,0,0
new_case,All,All,All,2022,0,0,0
new_case,All,All,All,2023,1,1,1
S,1,1,1,2023,53655,33356,84795
S,2,1,1,2023,109882.5,84437,134891
S,3,1,1,2023,142225,125348,153638
S,4,1,1,2023,158465.5,149840,163487
S,5,1,1,2023,173420,166827,179657
S,6,1,1,2023,192390,185061,200677
S,7,1,1,2023,211383.5,203438,219775
S,8,1,1,2023,224781.5,218117,230811
S,9,1,1,2023,230209,227362,233732
S,10,1,1,2023,228325.5,223387,233112
S,11,1,1,2023,221820.5,215396,228475
S,12,1,1,2023,214272,206848,220807
S,13,1,1,2023,208541.5,202960,214226
S,14,1,1,2023,205495.5,201466,209737
S,15,1,1,2023,206065.5,202259,209061
S,16,1,1,2023,206539,204693,209662
S,17,1,1,2023,209196,207249,211919
S,18,1,1,2023,211706,210724,214612
S,19,1,1,2023,213191,212106,216368
S,20,1,1,2023,214094.5,211300,217409
S,21,1,1,2023,212833,209621,215892
S,22,1,1,2023,210755.5,206837,214147
S,23,1,1,2023,207201.5,202718,211418
S,24,1,1,2023,203102.5,199290,206704
S,25,1,1,2023,198960,195205,203153
S,26,1,1,2023,195045.5,190579,198886
S,27,1,1,2023,190714.5,185559,194530
S,28,1,1,2023,186442,181848,190291
S,29,1,1,2023,181603,177706,185462
S,30,1,1,2023,176921.5,173126,180540
S,31,1,1,2023,171891.5,167884,175778
S,32,1,1,2023,167030,162975,170564
S,33,1,1,2023,162398.5,158550,165887
S,34,1,1,2023,157692,153905,161555
S,35,1,1,2023,153342.5,149981,157160
S,36,1,1,2023,149643,145794,153312
S,37,1,1,2023,146324.5,142925,149629
S,38,1,1,2023,143076,139575,146095
S,39,1,1,2023,140079,136813,143107
S,40,1,1,2023,137097,133216,139968
S,41,1,1,2023,134151.5,131221,136897
S,42,1,1,2023,131456.5,128817,134208
S,43,1,1,2023,128484.5,126202,131125
S,44,1,1,2023,125541.5,123530,127546
S,45,1,1,2023,122182,119952,124398
S,46,1,1,2023,118946,116708,121495
S,47,1,1,2023,115527.5,113023,117835
S,48,1,1,2023,111447.5,108773,114188
S,49,1,1,2023,107344,104588,110120
S,50,1,1,2023,103105.5,99923,105818
S,51,1,1,2023,98841.5,95610,101670
S,52,1,1,2023,94205,90978,97022
S,53,1,1,2023,89904,86598,93156
S,54,1,1,2023,85441,82572,88953
S,55,1,1,2023,80793.5,77922,83963
S,56,1,1,2023,76332,73784,78854
S,57,1,1,2023,71889,69328,74670
S,58,1,1,2023,67587.5,65099,70192
S,59,1,1,2023,63550.5,60863,65993
S,60,1,1,2023,59479.5,57102,62058
S,61,1,1,2023,55434.5,52814,57950
S,62,1,1,2023,51673,48943,53714
S,63,1,1,2023,47900.5,45168,49886
S,64,1,1,2023,44200.5,42081,46233
S,65,1,1,2023,40623,38543,42615
S,66,1,1,2023,37151.5,35237,38907
S,67,1,1,2023,33818.5,32227,35511
S,68,1,1,2023,30734.5,29342,32426
S,69,1,1,2023,27814,26467,29346
S,70,1,1,2023,25202.5,23754,26512
S,71,1,1,2023,22643,21030,24098
S,72,1,1,2023,20085.5,18525,21667
S,73,1,1,2023,17837,16420,19342
S,74,1,1,2023,15546,14552,16970
S,75,1,1,2023,13684,12597,14801
S,76,1,1,2023,11873,10864,13036
S,77,1,1,2023,10120,9224,11200
S,78,1,1,2023,8658,7877,9416
S,79,1,1,2023,7377.5,6637,8194
S,80,1,1,2023,6129.5,5472,6826
S,81,1,1,2023,5024,4418,5567
S,82,1,1,2023,4109.5,3656,4605
S,83,1,1,2023,3315.5,2916,3751
S,84,1,1,2023,2621.5,2196,3047
S,85,1,1,2023,2049.5,1760,2370
S,86,1,1,2023,1578,1325,1963
S,87,1,1,2023,1224,1005,1449
S,88,1,1,2023,936,762,1107
S,89,1,1,2023,672.5,555,855
S,90,1,1,2023,489,367,602
S,91,1,1,2023,361,275,456
S,92,1,1,2023,250.5,179,337
S,93,1,1,2023,178.5,121,228
S,94,1,1,2023,115.5,71,157
S,95,1,1,2023,81,57,107
S,96,1,1,2023,49,39,75
S,97,1,1,2023,33,20,45
S,98,1,1,2023,20,11,33
S,99,1,1,2023,13.5,5,24
S,100,1,1,2023,9,3,14
S,101,1,1,2023,11,3,20
S,1,2,1,2023,54236.5,44784,57460
S,2,2,1,2023,103512.5,100462,105849
S,3,2,1,2023,142899.5,138859,146197
S,4,2,1,2023,171242,165489,176831
S,5,2,1,2023,189680,181927,197643
S,6,2,1,2023,199673,190951,208895
S,7,2,1,2023,204868.5,195809,214313
S,8,2,1,2023,207710.5,200147,216550
S,9,2,1,2023,211170,205356,218548
S,10,2,1,2023,214179.5,208690,220262
S,11,2,1,2023,217255,212401,222326
S,12,2,1,2023,218377,213897,223541
S,13,2,1,2023,217259.5,212743,222382
S,14,2,1,2023,213807.5,207637,219238
S,15,2,1,2023,207184.5,200703,213907
S,16,2,1,2023,199531,192955,206387
S,17,2,1,2023,190891,184482,198011
S,18,2,1,2023,182121,175882,189022
S,19,2,1,2023,173274,167660,179763
S,20,2,1,2023,164941.5,159536,170768
S,21,2,1,2023,157455,152511,162381
S,22,2,1,2023,149621.5,144920,154408
S,23,2,1,2023,141833,137594,146429
S,24,2,1,2023,134460.5,130306,138888
S,25,2,1,2023,126953,122897,130671
S,26,2,1,2023,119178,115349,122868
S,27,2,1,2023,111639,108051,115596
S,28,2,1,2023,104493.5,100776,108388
S,29,2,1,2023,97169.5,93691,100407
S,30,2,1,2023,90220.5,86474,93738
S,31,2,1,2023,84105,80308,87425
S,32,2,1,2023,77428.5,74054,80782
S,33,2,1,2023,71485,67932,75059
S,34,2,1,2023,65575.5,62495,69283
S,35,2,1,2023,59816,56805,63333
S,36,2,1,2023,54232,51598,57610
S,37,2,1,2023,48983.5,46457,52089
S,38,2,1,2023,43989,41526,46581
S,39,2,1,2023,39253.5,36689,41644
S,40,2,1,2023,34502,32156,36771
S,41,2,1,2023,29948.5,27750,32179
S,42,2,1,2023,25856.5,23955,28033
S,43,2,1,2023,22046.5,20165,24043
S,44,2,1,2023,18588,16869,20434
S,45,2,1,2023,15335,13701,16956
S,46,2,1,2023,12458.5,11203,13906
S,47,2,1,2023,10017.5,8959,11189
S,48,2,1,2023,8053.5,7117,9062
S,49,2,1,2023,6371.5,5591,7170
S,50,2,1,2023,4929.5,4207,5676
S,51,2,1,2023,3757.5,3186,4377
S,52,2,1,2023,2832.5,2345,3423
S,53,2,1,2023,2117.5,1716,2548
S,54,2,1,2023,1517,1235,1880
S,55,2,1,2023,1108,874,1460
S,56,2,1,2023,786.5,600,1035
S,57,2,1,2023,546,390,733
S,58,2,1,2023,377,247,483
S,59,2,1,2023,245.5,182,334
S,60,2,1,2023,173,101,250
S,61,2,1,2023,112,77,178
S,62,2,1,2023,70,43,115
S,63,2,1,2023,47,31,77
S,64,2,1,2023,30,19,46
S,65,2,1,2023,19,8,29
S,66,2,1,2023,12,3,23
S,67,2,1,2023,6,1,16
S,68,2,1,2023,4,2,9
S,69,2,1,2023,2,0,7
S,70,2,1,2023,1,0,4
S,71,2,1,2023,0,0,2
S,72,2,1,2023,0,0,1
S,73,2,1,2023,0,0,0
S,74,2,1,2023,0,0,0
S,75,2,1,2023,0,0,0
S,76,2,1,2023,0,0,0
S,77,2,1,2023,0,0,0
S,78,2,1,2023,0,0,0
S,79,2,1,2023,0,0,0
S,80,2,1,2023,0,0,0
S,81,2,1,2023,0,0,0
S,82,2,1,2023,0,0,0
S,83,2,1,2023,0,0,0
S,84,2,1,2023,0,0,0
S,85,2,1,2023,0,0,0
S,86,2,1,2023,0,0,0
S,87,2,1,2023,0,0,0
S,88,2,1,2023,0,0,0
S,89,2,1,2023,0,0,0
S,90,2,1,2023,0,0,0
S,91,2,1,2023,0,0,0
S,92,2,1,2023,0,0,0
S,93,2,1,2023,0,0,0
S,94,2,1,2023,0,0,0
S,95,2,1,2023,0,0,0
S,96,2,1,2023,0,0,0
S,97,2,1,2023,0,0,0
S,98,2,1,2023,0,0,0
S,99,2,1,2023,0,0,0
S,100,2,1,2023,0,0,0
S,101,2,1,2023,0,0,0
S,1,3,1,2023,402789.5,237316,676331
S,2,3,1,2023,519223.5,420831,557477
S,3,3,1,2023,474207,455966,483298
S,4,3,1,2023,417826,406684,425135
S,5,3,1,2023,360602,349717,370344
S,6,3,1,2023,307352.5,295298,318675
S,7,3,1,2023,258435,246438,270053
S,8,3,1,2023,217518.5,207970,227739
S,9,3,1,2023,184477,177967,192545
S,10,3,1,2023,159000,154448,164643
S,11,3,1,2023,138631.5,135470,143265
S,12,3,1,2023,122077,119506,124502
S,13,3,1,2023,107806.5,105255,109820
S,14,3,1,2023,94962.5,92023,96892
S,15,3,1,2023,83383,80887,85143
S,16,3,1,2023,72501,69820,74671
S,17,3,1,2023,62299.5,60003,64416
S,18,3,1,2023,53292.5,51573,55381
S,19,3,1,2023,45877,44232,47666
S,20,3,1,2023,39326.5,37944,40686
S,21,3,1,2023,33977.5,32358,35036
S,22,3,1,2023,29307,28074,30448
S,23,3,1,2023,25206,24165,26156
S,24,3,1,2023,21869,20951,22680
S,25,3,1,2023,19084,18380,19733
S,26,3,1,2023,16451.5,15764,17063
S,27,3,1,2023,14179,13692,14829
S,28,3,1,2023,12209,11835,12618
S,29,3,1,2023,10465,10008,10877
S,30,3,1,2023,9015,8648,9336
S,31,3,1,2023,7712,7351,8139
S,32,3,1,2023,6600,6290,6996
S,33,3,1,2023,5634.5,5331,5984
S,34,3,1,2023,4843.5,4615,5145
S,35,3,1,2023,4229.5,4001,4374
S,36,3,1,2023,3593,3324,3793
S,37,3,1,2023,3013.5,2829,3248
S,38,3,1,2023,2574,2330,2803
S,39,3,1,2023,2158.5,1970,2304
S,40,3,1,2023,1769,1584,1919
S,41,3,1,2023,1455.5,1257,1606
S,42,3,1,2023,1199,1042,1337
S,43,3,1,2023,975,886,1092
S,44,3,1,2023,783,709,861
S,45,3,1,2023,610,556,724
S,46,3,1,2023,488,419,598
S,47,3,1,2023,383,294,444
S,48,3,1,2023,289.5,231,362
S,49,3,1,2023,217,180,284
S,50,3,1,2023,171,139,217
S,51,3,1,2023,141.5,112,170
S,52,3,1,2023,99.5,71,129
S,53,3,1,2023,73.5,50,97
S,54,3,1,2023,54,38,73
S,55,3,1,2023,44,26,60
S,56,3,1,2023,31,16,41
S,57,3,1,2023,20,12,34
S,58,3,1,2023,12,6,23
S,59,3,1,2023,7,2,19
S,60,3,1,2023,3,0,14
S,61,3,1,2023,1.5,0,9
S,62,3,1,2023,0,0,4
S,63,3,1,2023,0,0,3
S,64,3,1,2023,0,0,5
S,65,3,1,2023,0,0,4
S,66,3,1,2023,0,0,0
S,67,3,1,2023,0,0,0
S,68,3,1,2023,0,0,0
S,69,3,1,2023,0,0,0
S,70,3,1,2023,0,0,0
S,71,3,1,2023,0,0,0
S,72,3,1,2023,0,0,0
S,73,3,1,2023,0,0,0
S,74,3,1,2023,0,0,0
S,75,3,1,2023,0,0,0
S,76,3,1,2023,0,0,0
S,77,3,1,2023,0,0,0
S,78,3,1,2023,0,0,0
S,79,3,1,2023,0,0,0
S,80,3,1,2023,0,0,0
S,81,3,1,2023,0,0,0
S,82,3,1,2023,0,0,0
S,83,3,1,2023,0,0,0
S,84,3,1,2023,0,0,0
S,85,3,1,2023,0,0,0
S,86,3,1,2023,0,0,0
S,87,3,1,2023,0,0,0
S,88,3,1,2023,0,0,0
S,89,3,1,2023,0,0,0
S,90,3,1,2023,0,0,0
S,91,3,1,2023,0,0,0
S,92,3,1,2023,0,0,0
S,93,3,1,2023,0,0,0
S,94,3,1,2023,0,0,0
S,95,3,1,2023,0,0,0
S,96,3,1,2023,0,0,0
S,97,3,1,2023,0,0,0
S,98,3,1,2023,0,0,0
S,99,3,1,2023,0,0,0
S,100,3,1,2023,0,0,0
S,101,3,1,2023,0,0,0
E,1,1,1,2023,0,0,0
E,2,1,1,2023,0,0,0
E,3,1,1,2023,0,0,0
E,4,1,1,2023,0,0,0
E,5,1,1,2023,0,0,0
E,6,1,1,2023,0,0,0
E,7,1,1,2023,0,0,0
E,8,1,1,2023,0,0,0
E,9,1,1,2023,0,0,0
E,10,1,1,2023,0,0,0
E,11,1,1,2023,0,0,0
E,12,1,1,2023,0,0,0
E,13,1,1,2023,0,0,0
E,14,1,1,2023,0,0,0
E,15,1,1,2023,0,0,0
E,16,1,1,2023,0,0,0
E,17,1,1,2023,0,0,0
E,18,1,1,2023,0,0,0
E,19,1,1,2023,0,0,0
E,20,1,1,2023,0,0,0
E,21,1,1,2023,0,0,0
E,22,1,1,2023,0,0,0
E,23,1,1,2023,0,0,0
E,24,1,1,2023,0,0,0
E,25,1,1,2023,0,0,0
E,26,1,1,2023,0,0,0
E,27,1,1,2023,0,0,0
E,28,1,1,2023,0,0,0
E,29,1,1,2023,0,0,0
E,30,1,1,2023,0,0,0
E,31,1,1,2023,0,0,0
E,32,1,1,2023,0,0,0
E,33,1,1,2023,0,0,0
E,34,1,1,2023,0,0,0
E,35,1,1,2023,0,0,0
E,36,1,1,2023,0,0,0
E,37,1,1,2023,0,0,0
E,38,1,1,2023,0,0,0
E,39,1,1,2023,0,0,0
E,40,1,1,2023,0,0,0
E,41,1,1,2023,0,0,0
E,42,1,1,2023,0,0,0
E,43,1,1,2023,0,0,0
E,44,1,1,2023,0,0,0
E,45,1,1,2023,0,0,0
E,46,1,1,2023,0,0,0
E,47,1,1,2023,0,0,0
E,48,1,1,2023,0,0,0
E,49,1,1,2023,0,0,0
E,50,1,1,2023,0,0,0
E,51,1,1,2023,0,0,0
E,52,1,1,2023,0,0,0
E,53,1,1,2023,0,0,0
E,54,1,1,2023,0,0,0
E,55,1,1,2023,0,0,0
E,56,1,1,2023,0,0,0
E,57,1,1,2023,0,0,0
E,58,1,1,2023,0,0,0
E,59,1,1,2023,0,0,0
E,60,1,1,2023,0,0,0
E,61,1,1,2023,0,0,0
E,62,1,1,2023,0,0,0
E,63,1,1,2023,0,0,0
E,64,1,1,2023,0,0,0
E,65,1,1,2023,0,0,0
E,66,1,1,2023,0,0,0
E,67,1,1,2023,0,0,0
E,68,1,1,2023,0,0,0
E,69,1,1,2023,0,0,0
E,70,1,1,2023,0,0,0
E,71,1,1,2023,0,0,0
E,72,1,1,2023,0,0,0
E,73,1,1,2023,0,0,0
E,74,1,1,2023,0,0,0
E,75,1,1,2023,0,0,0
E,76,1,1,2023,0,0,0
E,77,1,1,2023,0,0,0
E,78,1,1,2023,0,0,0
E,79,1,1,2023,0,0,0
E,80,1,1,2023,0,0,0
E,81,1,1,2023,0,0,0
E,82,1,1,2023,0,0,0
E,83,1,1,2023,0,0,0
E,84,1,1,2023,0,0,0
E,85,1,1,2023,0,0,0
E,86,1,1,2023,0,0,0
E,87,1,1,2023,0,0,0
E,88,1,1,2023,0,0,0
E,89,1,1,2023,0,0,0
E,90,1,1,2023,0,0,0
E,91,1,1,2023,0,0,0
E,92,1,1,2023,0,0,0
E,93,1,1,2023,0,0,0
E,94,1,1,2023,0,0,0
E,95,1,1,2023,0,0,0
E,96,1,1,2023,0,0,0
E,97,1,1,2023,0,0,0
E,98,1,1,2023,0,0,0
E,99,1,1,2023,0,0,0
E,100,1,1,2023,0,0,0
E,101,1,1,2023,0,0,0
E,1,2,1,2023,0,0,0
E,2,2,1,2023,0,0,0
E,3,2,1,2023,0,0,0
E,4,2,1,2023,0,0,0
E,5,2,1,2023,0,0,0
E,6,2,1,2023,0,0,0
E,7,2,1,2023,0,0,0
E,8,2,1,2023,0,0,0
E,9,2,1,2023,0,0,0
E,10,2,1,2023,0,0,0
