state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,53588.5,33299,84140,Susceptible
S,2,1,1,2023,109928.5,84717,134410,Susceptible
S,3,1,1,2023,142705.5,125724,153466,Susceptible
S,4,1,1,2023,158568.5,149981,163256,Susceptible
S,5,1,1,2023,173317,167063,179499,Susceptible
S,6,1,1,2023,192133,184820,200688,Susceptible
S,7,1,1,2023,211362.5,203003,219680,Susceptible
S,8,1,1,2023,225345.5,218859,230509,Susceptible
S,9,1,1,2023,230115,227528,233080,Susceptible
S,10,1,1,2023,228118,223786,232178,Susceptible
S,11,1,1,2023,222067,216443,226873,Susceptible
S,12,1,1,2023,214451,208351,220019,Susceptible
S,13,1,1,2023,207891,202812,213229,Susceptible
S,14,1,1,2023,205434.5,200279,209027,Susceptible
S,15,1,1,2023,205534.5,200931,208228,Susceptible
S,16,1,1,2023,207440,203849,208899,Susceptible
S,17,1,1,2023,209617,206107,210689,Susceptible
S,18,1,1,2023,211635,208870,212613,Susceptible
S,19,1,1,2023,213453.5,210539,215240,Susceptible
S,20,1,1,2023,213826,210516,214988,Susceptible
S,21,1,1,2023,212007,209058,215166,Susceptible
S,22,1,1,2023,210207,206278,214185,Susceptible
S,23,1,1,2023,207302.5,203168,211182,Susceptible
S,24,1,1,2023,203747.5,199921,208072,Susceptible
S,25,1,1,2023,199887,195513,204049,Susceptible
S,26,1,1,2023,195389.5,191445,199584,Susceptible
S,27,1,1,2023,191001,186580,195375,Susceptible
S,28,1,1,2023,186833,182677,190805,Susceptible
S,29,1,1,2023,182278.5,178319,186388,Susceptible
S,30,1,1,2023,176694.5,172293,180805,Susceptible
S,31,1,1,2023,171231,167242,175482,Susceptible
S,32,1,1,2023,165207.5,161489,169380,Susceptible
S,33,1,1,2023,160163,156612,164103,Susceptible
S,34,1,1,2023,155115,151883,158631,Susceptible
S,35,1,1,2023,150377,147217,153665,Susceptible
S,36,1,1,2023,145785.5,142928,149000,Susceptible
S,37,1,1,2023,141668.5,138583,144836,Susceptible
S,38,1,1,2023,138159.5,135538,140659,Susceptible
S,39,1,1,2023,134321.5,131541,136933,Susceptible
S,40,1,1,2023,130667,128277,133010,Susceptible
S,41,1,1,2023,127206.5,124883,129454,Susceptible
S,42,1,1,2023,123513.5,121461,126162,Susceptible
S,43,1,1,2023,120210.5,117437,122422,Susceptible
S,44,1,1,2023,116304,114356,118906,Susceptible
S,45,1,1,2023,112586.5,110182,115431,Susceptible
S,46,1,1,2023,108743.5,105848,111297,Susceptible
S,47,1,1,2023,104523,101865,107286,Susceptible
S,48,1,1,2023,99958.5,97328,103184,Susceptible
S,49,1,1,2023,95621,92879,98661,Susceptible
S,50,1,1,2023,90960.5,88169,94202,Susceptible
S,51,1,1,2023,86006,83315,89488,Susceptible
S,52,1,1,2023,81257.5,78709,84310,Susceptible
S,53,1,1,2023,76293,73383,79386,Susceptible
S,54,1,1,2023,71387,68541,74643,Susceptible
S,55,1,1,2023,66427,63831,69636,Susceptible
S,56,1,1,2023,61979.5,59290,64747,Susceptible
S,57,1,1,2023,57193,54387,59900,Susceptible
S,58,1,1,2023,52813,50469,55476,Susceptible
S,59,1,1,2023,48424,46269,50915,Susceptible
S,60,1,1,2023,44400,42389,46496,Susceptible
S,61,1,1,2023,40518,38785,42432,Susceptible
S,62,1,1,2023,37045.5,35198,38854,Susceptible
S,63,1,1,2023,33691.5,32058,35222,Susceptible
S,64,1,1,2023,30439,28942,32198,Susceptible
S,65,1,1,2023,27377,26052,29090,Susceptible
S,66,1,1,2023,24661,23237,26003,Susceptible
S,67,1,1,2023,21891.5,20356,23437,Susceptible
S,68,1,1,2023,19354.5,17945,20787,Susceptible
S,69,1,1,2023,17070.5,15880,18304,Susceptible
S,70,1,1,2023,14796,13661,16008,Susceptible
S,71,1,1,2023,12783,11603,13973,Susceptible
S,72,1,1,2023,10804,9781,12132,Susceptible
S,73,1,1,2023,9190,8349,10192,Susceptible
S,74,1,1,2023,7733.5,6902,8575,Susceptible
S,75,1,1,2023,6419,5666,7253,Susceptible
S,76,1,1,2023,5236,4508,5991,Susceptible
S,77,1,1,2023,4213.5,3635,4932,Susceptible
S,78,1,1,2023,3351.5,2877,3975,Susceptible
S,79,1,1,2023,2682,2244,3137,Susceptible
S,80,1,1,2023,2080.5,1683,2532,Susceptible
S,81,1,1,2023,1578,1228,1902,Susceptible
S,82,1,1,2023,1174,987,1423,Susceptible
S,83,1,1,2023,888.5,728,1120,Susceptible
S,84,1,1,2023,663,502,852,Susceptible
S,85,1,1,2023,467.5,373,587,Susceptible
S,86,1,1,2023,314,233,432,Susceptible
S,87,1,1,2023,204,145,283,Susceptible
S,88,1,1,2023,143,86,188,Susceptible
S,89,1,1,2023,82,60,124,Susceptible
S,90,1,1,2023,58,32,76,Susceptible
S,91,1,1,2023,35,17,55,Susceptible
S,92,1,1,2023,23,7,41,Susceptible
S,93,1,1,2023,11,4,28,Susceptible
S,94,1,1,2023,9,3,18,Susceptible
S,95,1,1,2023,5,0,12,Susceptible
S,96,1,1,2023,2,0,10,Susceptible
S,97,1,1,2023,0,0,7,Susceptible
S,98,1,1,2023,0,0,5,Susceptible
S,99,1,1,2023,0,0,3,Susceptible
S,100,1,1,2023,0,0,2,Susceptible
S,101,1,1,2023,0,0,1,Susceptible
S,1,2,1,2023,54070.5,44708,57322,Vaccine protected
S,2,2,1,2023,103489.5,100597,105134,Vaccine protected
S,3,2,1,2023,142700.5,138521,145980,Vaccine protected
S,4,2,1,2023,170995.5,165273,176573,Vaccine protected
S,5,2,1,2023,189458.5,181704,196601,Vaccine protected
S,6,2,1,2023,199373.5,190629,208117,Vaccine protected
S,7,2,1,2023,204462,195488,213334,Vaccine protected
S,8,2,1,2023,207845,200130,216131,Vaccine protected
S,9,2,1,2023,211049,204693,217783,Vaccine protected
S,10,2,1,2023,214234.5,209214,220110,Vaccine protected
S,11,2,1,2023,217172,213024,222162,Vaccine protected
S,12,2,1,2023,218373,213622,223173,Vaccine protected
S,13,2,1,2023,217235,212251,221839,Vaccine protected
S,14,2,1,2023,213915,208027,219397,Vaccine protected
S,15,2,1,2023,207837.5,202190,213761,Vaccine protected
S,16,2,1,2023,200054,193104,206457,Vaccine protected
S,17,2,1,2023,190989.5,184730,197242,Vaccine protected
S,18,2,1,2023,182205,175571,188005,Vaccine protected
S,19,2,1,2023,173507.5,166798,179231,Vaccine protected
S,20,2,1,2023,165087,159054,170484,Vaccine protected
S,21,2,1,2023,156917.5,152309,162003,Vaccine protected
S,22,2,1,2023,149772,144785,154383,Vaccine protected
S,23,2,1,2023,142387,137788,146742,Vaccine protected
S,24,2,1,2023,135239,130582,139265,Vaccine protected
S,25,2,1,2023,128121.5,124054,132176,Vaccine protected
S,26,2,1,2023,120964,117296,124601,Vaccine protected
S,27,2,1,2023,113518.5,110037,117063,Vaccine protected
S,28,2,1,2023,105778,102079,109561,Vaccine protected
S,29,2,1,2023,98227.5,94696,102275,Vaccine protected
S,30,2,1,2023,91047,87408,94440,Vaccine protected
S,31,2,1,2023,84285.5,81012,87486,Vaccine protected
S,32,2,1,2023,77874,74458,81008,Vaccine protected
S,33,2,1,2023,71586,68204,74778,Vaccine protected
S,34,2,1,2023,65599.5,62735,68582,Vaccine protected
S,35,2,1,2023,59772,56889,62842,Vaccine protected
S,36,2,1,2023,53968.5,51247,57177,Vaccine protected
S,37,2,1,2023,48304.5,45711,51258,Vaccine protected
S,38,2,1,2023,42991,40506,45425,Vaccine protected
S,39,2,1,2023,37857,35735,40294,Vaccine protected
S,40,2,1,2023,33442,31200,35720,Vaccine protected
S,41,2,1,2023,29117.5,26851,31408,Vaccine protected
S,42,2,1,2023,24897,22963,26843,Vaccine protected
S,43,2,1,2023,21167.5,19375,22934,Vaccine protected
S,44,2,1,2023,17733.5,16073,19419,Vaccine protected
S,45,2,1,2023,14615,13063,16178,Vaccine protected
S,46,2,1,2023,11901.5,10632,13323,Vaccine protected
S,47,2,1,2023,9639.5,8428,10880,Vaccine protected
S,48,2,1,2023,7632.5,6658,8804,Vaccine protected
S,49,2,1,2023,6018.5,5128,6938,Vaccine protected
S,50,2,1,2023,4648.5,3990,5405,Vaccine protected
S,51,2,1,2023,3520.5,3005,4201,Vaccine protected
S,52,2,1,2023,2617,2162,3179,Vaccine protected
S,53,2,1,2023,1929,1579,2369,Vaccine protected
S,54,2,1,2023,1412.5,1123,1766,Vaccine protected
S,55,2,1,2023,993.5,778,1274,Vaccine protected
S,56,2,1,2023,700.5,528,910,Vaccine protected
S,57,2,1,2023,473.5,377,623,Vaccine protected
S,58,2,1,2023,348.5,270,461,Vaccine protected
S,59,2,1,2023,236.5,169,340,Vaccine protected
S,60,2,1,2023,152,107,207,Vaccine protected
S,61,2,1,2023,103,74,138,Vaccine protected
S,62,2,1,2023,61,28,87,Vaccine protected
S,63,2,1,2023,41,18,64,Vaccine protected
S,64,2,1,2023,23,8,44,Vaccine protected
S,65,2,1,2023,13,4,20,Vaccine protected
S,66,2,1,2023,6,1,20,Vaccine protected
S,67,2,1,2023,3,0,15,Vaccine protected
S,68,2,1,2023,1,0,9,Vaccine protected
S,69,2,1,2023,0,0,7,Vaccine protected
S,70,2,1,2023,0,0,3,Vaccine protected
S,71,2,1,2023,0,0,2,Vaccine protected
S,72,2,1,2023,0,0,0,Vaccine protected
S,73,2,1,2023,0,0,0,Vaccine protected
S,74,2,1,2023,0,0,0,Vaccine protected
S,75,2,1,2023,0,0,0,Vaccine protected
S,76,2,1,2023,0,0,0,Vaccine protected
S,77,2,1,2023,0,0,0,Vaccine protected
S,78,2,1,2023,0,0,0,Vaccine protected
S,79,2,1,2023,0,0,0,Vaccine protected
S,80,2,1,2023,0,0,0,Vaccine protected
S,81,2,1,2023,0,0,0,Vaccine protected
S,82,2,1,2023,0,0,0,Vaccine protected
S,83,2,1,2023,0,0,0,Vaccine protected
S,84,2,1,2023,0,0,0,Vaccine protected
S,85,2,1,2023,0,0,0,Vaccine protected
S,86,2,1,2023,0,0,0,Vaccine protected
S,87,2,1,2023,0,0,0,Vaccine protected
S,88,2,1,2023,0,0,0,Vaccine protected
S,89,2,1,2023,0,0,0,Vaccine protected
S,90,2,1,2023,0,0,0,Vaccine protected
S,91,2,1,2023,0,0,0,Vaccine protected
S,92,2,1,2023,0,0,0,Vaccine protected
S,93,2,1,2023,0,0,0,Vaccine protected
S,94,2,1,2023,0,0,0,Vaccine protected
S,95,2,1,2023,0,0,0,Vaccine protected
S,96,2,1,2023,0,0,0,Vaccine protected
S,97,2,1,2023,0,0,0,Vaccine protected
S,98,2,1,2023,0,0,0,Vaccine protected
S,99,2,1,2023,0,0,0,Vaccine protected
S,100,2,1,2023,0,0,0,Vaccine protected
S,101,2,1,2023,0,0,0,Vaccine protected
S,1,3,1,2023,401054,236657,675714,Vaccine protected
S,2,3,1,2023,518364,420332,555873,Vaccine protected
S,3,3,1,2023,472934.5,455481,481549,Vaccine protected
S,4,3,1,2023,416535,405867,423789,Vaccine protected
S,5,3,1,2023,360143.5,349151,370035,Vaccine protected
S,6,3,1,2023,306811,295379,317262,Vaccine protected
S,7,3,1,2023,258653.5,247081,269173,Vaccine protected
S,8,3,1,2023,217260.5,208020,226491,Vaccine protected
S,9,3,1,2023,184437.5,177507,191989,Vaccine protected
S,10,3,1,2023,158918.5,154069,164177,Vaccine protected
S,11,3,1,2023,138770,135050,142554,Vaccine protected
S,12,3,1,2023,122297.5,119578,125017,Vaccine protected
S,13,3,1,2023,108144.5,105241,110176,Vaccine protected
S,14,3,1,2023,95445.5,92180,97795,Vaccine protected
S,15,3,1,2023,83525,80214,86027,Vaccine protected
S,16,3,1,2023,72570,69940,74487,Vaccine protected
S,17,3,1,2023,62518.5,60190,64459,Vaccine protected
S,18,3,1,2023,53708,51521,55691,Vaccine protected
S,19,3,1,2023,45961.5,44345,47745,Vaccine protected
S,20,3,1,2023,39718.5,38544,41103,Vaccine protected
S,21,3,1,2023,34133.5,32961,35271,Vaccine protected
S,22,3,1,2023,29423,28437,30292,Vaccine protected
S,23,3,1,2023,25502,24627,26331,Vaccine protected
S,24,3,1,2023,22081,21418,22787,Vaccine protected
S,25,3,1,2023,19139,18580,19757,Vaccine protected
S,26,3,1,2023,16591.5,16081,16972,Vaccine protected
S,27,3,1,2023,14284,13763,14902,Vaccine protected
S,28,3,1,2023,12217.5,11727,12725,Vaccine protected
S,29,3,1,2023,10627,9964,11087,Vaccine protected
S,30,3,1,2023,9057.5,8636,9427,Vaccine protected
S,31,3,1,2023,7779,7312,8144,Vaccine protected
S,32,3,1,2023,6567.5,6249,6958,Vaccine protected
S,33,3,1,2023,5613.5,5227,6070,Vaccine protected
S,34,3,1,2023,4754.5,4522,5036,Vaccine protected
S,35,3,1,2023,4067,3762,4326,Vaccine protected
S,36,3,1,2023,3383,3197,3682,Vaccine protected
S,37,3,1,2023,2900.5,2643,3119,Vaccine protected
S,38,3,1,2023,2437.5,2131,2595,Vaccine protected
S,39,3,1,2023,1990,1806,2190,Vaccine protected
S,40,3,1,2023,1689,1540,1832,Vaccine protected
S,41,3,1,2023,1380.5,1265,1571,Vaccine protected
S,42,3,1,2023,1106.5,1027,1259,Vaccine protected
S,43,3,1,2023,911,822,994,Vaccine protected
S,44,3,1,2023,714,624,825,Vaccine protected
S,45,3,1,2023,568,455,703,Vaccine protected
S,46,3,1,2023,458,393,586,Vaccine protected
S,47,3,1,2023,360,310,454,Vaccine protected
S,48,3,1,2023,279,232,330,Vaccine protected
