state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,67569,41804,107026,Susceptible
S,2,1,1,2023,82146.5,71853,85736,Susceptible
S,3,1,1,2023,67239,56368,72270,Susceptible
S,4,1,1,2023,49550,40816,57981,Susceptible
S,5,1,1,2023,38503,33076,45074,Susceptible
S,6,1,1,2023,32638.5,29696,36896,Susceptible
S,7,1,1,2023,48721,43853,58270,Susceptible
S,8,1,1,2023,66446.5,59493,73677,Susceptible
S,9,1,1,2023,79230.5,73486,84200,Susceptible
S,10,1,1,2023,91306,86193,96686,Susceptible
S,11,1,1,2023,105556,99412,112190,Susceptible
S,12,1,1,2023,122514,114901,130961,Susceptible
S,13,1,1,2023,142565.5,133513,152757,Susceptible
S,14,1,1,2023,166239,155890,178120,Susceptible
S,15,1,1,2023,193531,181291,206934,Susceptible
S,16,1,1,2023,222399.5,208857,236306,Susceptible
S,17,1,1,2023,249550.5,235843,263270,Susceptible
S,18,1,1,2023,271760.5,259444,283826,Susceptible
S,19,1,1,2023,287712.5,277976,297734,Susceptible
S,20,1,1,2023,297389.5,289310,304644,Susceptible
S,21,1,1,2023,302021.5,295521,306994,Susceptible
S,22,1,1,2023,301588,295331,306076,Susceptible
S,23,1,1,2023,298411.5,291370,303136,Susceptible
S,24,1,1,2023,292144,286734,297719,Susceptible
S,25,1,1,2023,284351,278522,290526,Susceptible
S,26,1,1,2023,275279.5,268808,281599,Susceptible
S,27,1,1,2023,265169.5,258008,271976,Susceptible
S,28,1,1,2023,253867,246328,261453,Susceptible
S,29,1,1,2023,242258,233329,249833,Susceptible
S,30,1,1,2023,229696,221442,237158,Susceptible
S,31,1,1,2023,217126,208775,224606,Susceptible
S,32,1,1,2023,203833,195052,211879,Susceptible
S,33,1,1,2023,190930.5,182371,199435,Susceptible
S,34,1,1,2023,178475.5,170204,186724,Susceptible
S,35,1,1,2023,165439.5,158024,173354,Susceptible
S,36,1,1,2023,153375.5,145455,160533,Susceptible
S,37,1,1,2023,141178,134265,148239,Susceptible
S,38,1,1,2023,129807,123155,136721,Susceptible
S,39,1,1,2023,118344.5,111796,124826,Susceptible
S,40,1,1,2023,107639,101005,113776,Susceptible
S,41,1,1,2023,97648,91317,103548,Susceptible
S,42,1,1,2023,88025,82277,93605,Susceptible
S,43,1,1,2023,78835,73304,83982,Susceptible
S,44,1,1,2023,70006,64875,75242,Susceptible
S,45,1,1,2023,61901.5,56815,66780,Susceptible
S,46,1,1,2023,53874.5,49339,58791,Susceptible
S,47,1,1,2023,46583.5,42368,51014,Susceptible
S,48,1,1,2023,40105.5,36176,43907,Susceptible
S,49,1,1,2023,33983.5,30471,37584,Susceptible
S,50,1,1,2023,28500,25377,31824,Susceptible
S,51,1,1,2023,23570.5,20857,26346,Susceptible
S,52,1,1,2023,19369,17061,21896,Susceptible
S,53,1,1,2023,15720,13779,17793,Susceptible
S,54,1,1,2023,12581,10829,14321,Susceptible
S,55,1,1,2023,9925,8402,11392,Susceptible
S,56,1,1,2023,7739,6373,8883,Susceptible
S,57,1,1,2023,5915,4817,6984,Susceptible
S,58,1,1,2023,4490,3552,5490,Susceptible
S,59,1,1,2023,3285,2617,4092,Susceptible
S,60,1,1,2023,2356.5,1861,2917,Susceptible
S,61,1,1,2023,1637.5,1307,2044,Susceptible
S,62,1,1,2023,1108.5,850,1434,Susceptible
S,63,1,1,2023,738.5,564,978,Susceptible
S,64,1,1,2023,459.5,317,665,Susceptible
S,65,1,1,2023,262,158,388,Susceptible
S,66,1,1,2023,129,52,223,Susceptible
S,67,1,1,2023,46.5,11,106,Susceptible
S,68,1,1,2023,14.5,0,50,Susceptible
S,69,1,1,2023,7,1,18,Susceptible
S,70,1,1,2023,4,0,12,Susceptible
S,71,1,1,2023,2,0,8,Susceptible
S,72,1,1,2023,1,0,4,Susceptible
S,73,1,1,2023,1,0,5,Susceptible
S,74,1,1,2023,1,0,5,Susceptible
S,75,1,1,2023,1,0,4,Susceptible
S,76,1,1,2023,0,0,2,Susceptible
S,77,1,1,2023,0,0,2,Susceptible
S,78,1,1,2023,0,0,4,Susceptible
S,79,1,1,2023,0,0,1,Susceptible
S,80,1,1,2023,1,0,2,Susceptible
S,81,1,1,2023,0,0,2,Susceptible
S,82,1,1,2023,0,0,3,Susceptible
S,83,1,1,2023,0,0,2,Susceptible
S,84,1,1,2023,0,0,5,Susceptible
S,85,1,1,2023,0,0,1,Susceptible
S,86,1,1,2023,0,0,1,Susceptible
S,87,1,1,2023,0,0,2,Susceptible
S,88,1,1,2023,0,0,0,Susceptible
S,89,1,1,2023,0,0,1,Susceptible
S,90,1,1,2023,0,0,2,Susceptible
S,91,1,1,2023,0,0,3,Susceptible
S,92,1,1,2023,0,0,1,Susceptible
S,93,1,1,2023,0,0,1,Susceptible
S,94,1,1,2023,0,0,0,Susceptible
S,95,1,1,2023,0,0,0,Susceptible
S,96,1,1,2023,0,0,0,Susceptible
S,97,1,1,2023,0,0,0,Susceptible
S,98,1,1,2023,0,0,0,Susceptible
S,99,1,1,2023,0,0,0,Susceptible
S,100,1,1,2023,0,0,0,Susceptible
S,101,1,1,2023,0,0,0,Susceptible
S,1,2,1,2023,25577.5,21506,27022,Vaccine protected
S,2,2,1,2023,52473.5,50552,53681,Vaccine protected
S,3,2,1,2023,78004.5,74955,80283,Vaccine protected
S,4,2,1,2023,100633.5,96761,103779,Vaccine protected
S,5,2,1,2023,119447.5,115042,124163,Vaccine protected
S,6,2,1,2023,134924,129333,140784,Vaccine protected
S,7,2,1,2023,145712,138904,152729,Vaccine protected
S,8,2,1,2023,152781,146109,159973,Vaccine protected
S,9,2,1,2023,157070,149344,164716,Vaccine protected
S,10,2,1,2023,158094,150083,166632,Vaccine protected
S,11,2,1,2023,156440,147795,165177,Vaccine protected
S,12,2,1,2023,152096.5,142677,160863,Vaccine protected
S,13,2,1,2023,145738.5,136215,155360,Vaccine protected
S,14,2,1,2023,137258,128306,146871,Vaccine protected
S,15,2,1,2023,128219.5,119553,137052,Vaccine protected
S,16,2,1,2023,118395.5,109973,127631,Vaccine protected
S,17,2,1,2023,108396,100797,116631,Vaccine protected
S,18,2,1,2023,99569.5,92850,106882,Vaccine protected
S,19,2,1,2023,91817.5,85912,97906,Vaccine protected
S,20,2,1,2023,85613.5,80372,91389,Vaccine protected
S,21,2,1,2023,80474.5,76220,85411,Vaccine protected
S,22,2,1,2023,76292.5,72876,80316,Vaccine protected
S,23,2,1,2023,72874.5,70083,76384,Vaccine protected
S,24,2,1,2023,69937.5,67601,72830,Vaccine protected
S,25,2,1,2023,67395,64916,70057,Vaccine protected
S,26,2,1,2023,64939.5,62505,67194,Vaccine protected
S,27,2,1,2023,62629,60383,64758,Vaccine protected
S,28,2,1,2023,59847,57613,61786,Vaccine protected
S,29,2,1,2023,56938,55010,58813,Vaccine protected
S,30,2,1,2023,53628.5,51573,55781,Vaccine protected
S,31,2,1,2023,50384,48339,52551,Vaccine protected
S,32,2,1,2023,47058.5,44949,49010,Vaccine protected
S,33,2,1,2023,43603.5,41488,45655,Vaccine protected
S,34,2,1,2023,39968,37965,42109,Vaccine protected
S,35,2,1,2023,36434,34396,38326,Vaccine protected
S,36,2,1,2023,32738.5,30779,34585,Vaccine protected
S,37,2,1,2023,29187.5,27050,31060,Vaccine protected
S,38,2,1,2023,25903,23849,27899,Vaccine protected
S,39,2,1,2023,22730,20705,24586,Vaccine protected
S,40,2,1,2023,19863.5,18099,21750,Vaccine protected
S,41,2,1,2023,17398.5,15722,18927,Vaccine protected
S,42,2,1,2023,15133,13764,16425,Vaccine protected
S,43,2,1,2023,13222,12044,14449,Vaccine protected
S,44,2,1,2023,11459,10550,12623,Vaccine protected
S,45,2,1,2023,9976.5,9028,10856,Vaccine protected
S,46,2,1,2023,8739,7898,9536,Vaccine protected
S,47,2,1,2023,7713,6873,8503,Vaccine protected
S,48,2,1,2023,6856.5,6113,7441,Vaccine protected
S,49,2,1,2023,6011,5417,6540,Vaccine protected
S,50,2,1,2023,5299,4761,5794,Vaccine protected
S,51,2,1,2023,4703,4289,5102,Vaccine protected
S,52,2,1,2023,4149,3809,4566,Vaccine protected
S,53,2,1,2023,3660.5,3358,4096,Vaccine protected
S,54,2,1,2023,3258,2914,3592,Vaccine protected
S,55,2,1,2023,2804,2481,3167,Vaccine protected
S,56,2,1,2023,2480.5,2263,2908,Vaccine protected
S,57,2,1,2023,2131,1937,2591,Vaccine protected
S,58,2,1,2023,1873.5,1686,2191,Vaccine protected
S,59,2,1,2023,1605.5,1469,1985,Vaccine protected
S,60,2,1,2023,1412,1249,1688,Vaccine protected
S,61,2,1,2023,1205.5,1106,1487,Vaccine protected
S,62,2,1,2023,1036,946,1169,Vaccine protected
S,63,2,1,2023,878.5,790,984,Vaccine protected
S,64,2,1,2023,752,630,848,Vaccine protected
S,65,2,1,2023,621.5,565,738,Vaccine protected
S,66,2,1,2023,547.5,468,601,Vaccine protected
S,67,2,1,2023,470,402,579,Vaccine protected
S,68,2,1,2023,410,326,491,Vaccine protected
S,69,2,1,2023,361.5,287,410,Vaccine protected
S,70,2,1,2023,310.5,247,352,Vaccine protected
S,71,2,1,2023,246,216,300,Vaccine protected
S,72,2,1,2023,226,182,258,Vaccine protected
S,73,2,1,2023,194,153,254,Vaccine protected
S,74,2,1,2023,182,124,208,Vaccine protected
S,75,2,1,2023,143,93,175,Vaccine protected
S,76,2,1,2023,115,75,155,Vaccine protected
S,77,2,1,2023,98,59,142,Vaccine protected
S,78,2,1,2023,83,55,118,Vaccine protected
S,79,2,1,2023,57,33,103,Vaccine protected
S,80,2,1,2023,47,29,89,Vaccine protected
S,81,2,1,2023,35,20,75,Vaccine protected
S,82,2,1,2023,27,17,56,Vaccine protected
S,83,2,1,2023,22,12,33,Vaccine protected
S,84,2,1,2023,18,3,28,Vaccine protected
S,85,2,1,2023,14,3,26,Vaccine protected
S,86,2,1,2023,7,1,17,Vaccine protected
S,87,2,1,2023,8,1,10,Vaccine protected
S,88,2,1,2023,5,1,11,Vaccine protected
S,89,2,1,2023,4,0,7,Vaccine protected
S,90,2,1,2023,2,0,5,Vaccine protected
S,91,2,1,2023,0,0,8,Vaccine protected
S,92,2,1,2023,0,0,6,Vaccine protected
S,93,2,1,2023,0,0,1,Vaccine protected
