state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,59904.5,39694,90334,Susceptible
S,2,1,1,2023,127379.5,102601,151882,Susceptible
S,3,1,1,2023,173791,157953,183996,Susceptible
S,4,1,1,2023,203727.5,196695,206885,Susceptible
S,5,1,1,2023,231195.5,226853,234569,Susceptible
S,6,1,1,2023,261526.5,256197,266863,Susceptible
S,7,1,1,2023,290318.5,285646,295459,Susceptible
S,8,1,1,2023,313512,308243,316227,Susceptible
S,9,1,1,2023,327988,324717,329933,Susceptible
S,10,1,1,2023,335069.5,327896,340450,Susceptible
S,11,1,1,2023,336653.5,328028,344519,Susceptible
S,12,1,1,2023,335964.5,327136,345079,Susceptible
S,13,1,1,2023,335101.5,326315,343574,Susceptible
S,14,1,1,2023,334790.5,326563,343056,Susceptible
S,15,1,1,2023,334611.5,328543,342122,Susceptible
S,16,1,1,2023,335949.5,330477,341744,Susceptible
S,17,1,1,2023,335773,330492,340562,Susceptible
S,18,1,1,2023,336095.5,329705,340634,Susceptible
S,19,1,1,2023,334570,328396,339742,Susceptible
S,20,1,1,2023,331788,326251,336900,Susceptible
S,21,1,1,2023,327617,321254,333046,Susceptible
S,22,1,1,2023,321815.5,315239,328937,Susceptible
S,23,1,1,2023,315261.5,308032,321849,Susceptible
S,24,1,1,2023,307318.5,300686,314077,Susceptible
S,25,1,1,2023,299046.5,292548,306389,Susceptible
S,26,1,1,2023,290198,283096,296792,Susceptible
S,27,1,1,2023,280308.5,273295,286993,Susceptible
S,28,1,1,2023,270182,263908,277001,Susceptible
S,29,1,1,2023,259620,253482,265704,Susceptible
S,30,1,1,2023,249302.5,243410,255339,Susceptible
S,31,1,1,2023,238752,232892,244701,Susceptible
S,32,1,1,2023,227939.5,221908,234209,Susceptible
S,33,1,1,2023,218384,212129,224083,Susceptible
S,34,1,1,2023,208697,202775,214618,Susceptible
S,35,1,1,2023,199814,194329,204849,Susceptible
S,36,1,1,2023,191614,186328,196324,Susceptible
S,37,1,1,2023,184509.5,179767,189043,Susceptible
S,38,1,1,2023,177817.5,174046,181841,Susceptible
S,39,1,1,2023,171932,168534,175670,Susceptible
S,40,1,1,2023,166846.5,163557,170308,Susceptible
S,41,1,1,2023,161558.5,158152,164895,Susceptible
S,42,1,1,2023,156595.5,153726,159866,Susceptible
S,43,1,1,2023,152117,148702,155218,Susceptible
S,44,1,1,2023,147547.5,143756,151203,Susceptible
S,45,1,1,2023,142466,139916,146271,Susceptible
S,46,1,1,2023,137749.5,134882,141491,Susceptible
S,47,1,1,2023,133171,130605,136507,Susceptible
S,48,1,1,2023,128726,126074,132124,Susceptible
S,49,1,1,2023,123674.5,120484,128062,Susceptible
S,50,1,1,2023,118730.5,115594,122679,Susceptible
S,51,1,1,2023,113957.5,110431,117606,Susceptible
S,52,1,1,2023,108627.5,104849,111788,Susceptible
S,53,1,1,2023,103396.5,99742,107063,Susceptible
S,54,1,1,2023,98488,95547,101971,Susceptible
S,55,1,1,2023,93372,90315,96449,Susceptible
S,56,1,1,2023,88804,86194,92184,Susceptible
S,57,1,1,2023,84188.5,81569,87271,Susceptible
S,58,1,1,2023,79809,77673,82641,Susceptible
S,59,1,1,2023,75663.5,73078,77875,Susceptible
S,60,1,1,2023,71414,68715,73535,Susceptible
S,61,1,1,2023,67496,65015,69676,Susceptible
S,62,1,1,2023,63729,61008,66128,Susceptible
S,63,1,1,2023,60159.5,57470,62272,Susceptible
S,64,1,1,2023,56419,54347,58657,Susceptible
S,65,1,1,2023,52768,50703,54825,Susceptible
S,66,1,1,2023,49327,47510,51152,Susceptible
S,67,1,1,2023,46172,44438,47897,Susceptible
S,68,1,1,2023,43167,41119,44670,Susceptible
S,69,1,1,2023,40035.5,38490,41835,Susceptible
S,70,1,1,2023,37327.5,35589,38909,Susceptible
S,71,1,1,2023,34437,32923,35918,Susceptible
S,72,1,1,2023,31630.5,30149,32948,Susceptible
S,73,1,1,2023,28919,27413,30230,Susceptible
S,74,1,1,2023,25973.5,24600,27414,Susceptible
S,75,1,1,2023,23427,21911,24810,Susceptible
S,76,1,1,2023,20900,19264,22366,Susceptible
S,77,1,1,2023,18530,17071,19864,Susceptible
S,78,1,1,2023,16397.5,15372,17563,Susceptible
S,79,1,1,2023,14457,13349,15483,Susceptible
S,80,1,1,2023,12549.5,11592,13548,Susceptible
S,81,1,1,2023,10803,9855,11671,Susceptible
S,82,1,1,2023,9225.5,8398,10081,Susceptible
S,83,1,1,2023,7778.5,6972,8682,Susceptible
S,84,1,1,2023,6488.5,5733,7396,Susceptible
S,85,1,1,2023,5314.5,4657,6125,Susceptible
S,86,1,1,2023,4291.5,3695,5033,Susceptible
S,87,1,1,2023,3423.5,2959,4055,Susceptible
S,88,1,1,2023,2676,2275,3131,Susceptible
S,89,1,1,2023,2091,1799,2433,Susceptible
S,90,1,1,2023,1589,1363,1837,Susceptible
S,91,1,1,2023,1203,994,1405,Susceptible
S,92,1,1,2023,866.5,730,1068,Susceptible
S,93,1,1,2023,636.5,521,749,Susceptible
S,94,1,1,2023,442.5,354,558,Susceptible
S,95,1,1,2023,310,226,400,Susceptible
S,96,1,1,2023,212,152,263,Susceptible
S,97,1,1,2023,140,94,193,Susceptible
S,98,1,1,2023,90,63,144,Susceptible
S,99,1,1,2023,67,41,94,Susceptible
S,100,1,1,2023,40.5,28,55,Susceptible
S,101,1,1,2023,67.5,45,95,Susceptible
S,1,2,1,2023,92943,74656,99731,Vaccine protected
S,2,2,1,2023,167210.5,160919,170360,Vaccine protected
S,3,2,1,2023,215366,209333,218856,Vaccine protected
S,4,2,1,2023,241740,235386,248207,Vaccine protected
S,5,2,1,2023,251422.5,241554,259505,Vaccine protected
S,6,2,1,2023,247146,236179,257912,Vaccine protected
S,7,2,1,2023,235634,225123,246073,Vaccine protected
S,8,2,1,2023,221631.5,212295,230953,Vaccine protected
S,9,2,1,2023,207533.5,200571,215233,Vaccine protected
S,10,2,1,2023,195208,190581,201535,Vaccine protected
S,11,2,1,2023,183937.5,180497,188030,Vaccine protected
S,12,2,1,2023,173253,170058,176580,Vaccine protected
S,13,2,1,2023,161629,158550,164407,Vaccine protected
S,14,2,1,2023,148984.5,145821,152031,Vaccine protected
S,15,2,1,2023,136222.5,132868,139434,Vaccine protected
S,16,2,1,2023,123207,119532,127075,Vaccine protected
S,17,2,1,2023,110434,106955,114045,Vaccine protected
S,18,2,1,2023,98576,95092,102167,Vaccine protected
S,19,2,1,2023,87487.5,84326,91301,Vaccine protected
S,20,2,1,2023,77623,74772,81141,Vaccine protected
S,21,2,1,2023,68920.5,66706,71773,Vaccine protected
S,22,2,1,2023,61402,59309,63741,Vaccine protected
S,23,2,1,2023,54481,52316,56500,Vaccine protected
S,24,2,1,2023,48208.5,46322,49923,Vaccine protected
S,25,2,1,2023,42722,41286,44373,Vaccine protected
S,26,2,1,2023,37779,36445,39213,Vaccine protected
S,27,2,1,2023,33345.5,32304,34606,Vaccine protected
S,28,2,1,2023,29277.5,28193,30205,Vaccine protected
S,29,2,1,2023,25548,24698,26502,Vaccine protected
S,30,2,1,2023,22248,21417,23065,Vaccine protected
S,31,2,1,2023,19287.5,18623,20014,Vaccine protected
S,32,2,1,2023,16738.5,15907,17454,Vaccine protected
S,33,2,1,2023,14564.5,13775,15199,Vaccine protected
S,34,2,1,2023,12628.5,11935,13171,Vaccine protected
S,35,2,1,2023,10827.5,10308,11346,Vaccine protected
S,36,2,1,2023,9272.5,8847,9704,Vaccine protected
S,37,2,1,2023,7940,7376,8274,Vaccine protected
S,38,2,1,2023,6720,6125,7186,Vaccine protected
S,39,2,1,2023,5675.5,5158,6232,Vaccine protected
S,40,2,1,2023,4710,4493,5094,Vaccine protected
S,41,2,1,2023,3945.5,3641,4273,Vaccine protected
S,42,2,1,2023,3274.5,3048,3502,Vaccine protected
S,43,2,1,2023,2662,2456,2826,Vaccine protected
S,44,2,1,2023,2174.5,1988,2361,Vaccine protected
S,45,2,1,2023,1754,1564,1965,Vaccine protected
S,46,2,1,2023,1409,1234,1577,Vaccine protected
S,47,2,1,2023,1096.5,931,1264,Vaccine protected
S,48,2,1,2023,848,756,1012,Vaccine protected
S,49,2,1,2023,620,530,761,Vaccine protected
S,50,2,1,2023,458,403,568,Vaccine protected
S,51,2,1,2023,353,296,405,Vaccine protected
S,52,2,1,2023,251,193,300,Vaccine protected
S,53,2,1,2023,185.5,149,233,Vaccine protected
S,54,2,1,2023,128,99,179,Vaccine protected
S,55,2,1,2023,92.5,70,124,Vaccine protected
S,56,2,1,2023,60,40,80,Vaccine protected
S,57,2,1,2023,43,21,59,Vaccine protected
S,58,2,1,2023,27,12,44,Vaccine protected
S,59,2,1,2023,21,5,34,Vaccine protected
S,60,2,1,2023,15,6,29,Vaccine protected
S,61,2,1,2023,8,1,19,Vaccine protected
S,62,2,1,2023,7,1,18,Vaccine protected
S,63,2,1,2023,7,0,12,Vaccine protected
S,64,2,1,2023,3,0,8,Vaccine protected
S,65,2,1,2023,1,0,8,Vaccine protected
S,66,2,1,2023,0,0,5,Vaccine protected
S,67,2,1,2023,0,0,3,Vaccine protected
S,68,2,1,2023,0,0,5,Vaccine protected
S,69,2,1,2023,0,0,3,Vaccine protected
S,70,2,1,2023,0,0,2,Vaccine protected
S,71,2,1,2023,0,0,1,Vaccine protected
S,72,2,1,2023,0,0,3,Vaccine protected
S,73,2,1,2023,0,0,4,Vaccine protected
S,74,2,1,2023,0,0,2,Vaccine protected
S,75,2,1,2023,0,0,0,Vaccine protected
S,76,2,1,2023,0,0,0,Vaccine protected
S,77,2,1,2023,0,0,0,Vaccine protected
S,78,2,1,2023,0,0,0,Vaccine protected
S,79,2,1,2023,0,0,0,Vaccine protected
S,80,2,1,2023,0,0,0,Vaccine protected
S,81,2,1,2023,0,0,0,Vaccine protected
S,82,2,1,2023,0,0,0,Vaccine protected
S,83,2,1,2023,0,0,0,Vaccine protected
S,84,2,1,2023,0,0,0,Vaccine protected
S,85,2,1,2023,0,0,0,Vaccine protected
S,86,2,1,2023,0,0,0,Vaccine protected
S,87,2,1,2023,0,0,0,Vaccine protected
S,88,2,1,2023,0,0,0,Vaccine protected
S,89,2,1,2023,0,0,0,Vaccine protected
S,90,2,1,2023,0,0,0,Vaccine protected
S,91,2,1,2023,0,0,0,Vaccine protected
S,92,2,1,2023,0,0,0,Vaccine protected
S,93,2,1,2023,0,0,0,Vaccine protected
S,94,2,1,2023,0,0,0,Vaccine protected
S,95,2,1,2023,0,0,0,Vaccine protected
S,96,2,1,2023,0,0,0,Vaccine protected
S,97,2,1,2023,0,0,0,Vaccine protected
S,98,2,1,2023,0,0,0,Vaccine protected
S,99,2,1,2023,0,0,0,Vaccine protected
S,100,2,1,2023,0,0,0,Vaccine protected
S,101,2,1,2023,0,0,0,Vaccine protected
S,1,3,1,2023,353564.5,199053,625130,Vaccine protected
S,2,3,1,2023,434232.5,340303,471838,Vaccine protected
S,3,3,1,2023,368312,350181,374307,Vaccine protected
S,4,3,1,2023,299119,291086,303669,Vaccine protected
S,5,3,1,2023,239069.5,232427,244967,Vaccine protected
S,6,3,1,2023,188862.5,182539,194594,Vaccine protected
S,7,3,1,2023,146908.5,140650,152634,Vaccine protected
S,8,3,1,2023,113310.5,107810,118649,Vaccine protected
S,9,3,1,2023,88003,84004,91805,Vaccine protected
S,10,3,1,2023,69213,66580,71912,Vaccine protected
S,11,3,1,2023,55057.5,53520,56928,Vaccine protected
S,12,3,1,2023,44292,43078,45446,Vaccine protected
S,13,3,1,2023,35940.5,35243,36927,Vaccine protected
S,14,3,1,2023,29159,28732,29842,Vaccine protected
S,15,3,1,2023,23676,23031,24107,Vaccine protected
S,16,3,1,2023,19036,18627,19431,Vaccine protected
S,17,3,1,2023,15284,14853,15669,Vaccine protected
S,18,3,1,2023,12179.5,11733,12575,Vaccine protected
S,19,3,1,2023,9615,9231,10271,Vaccine protected
S,20,3,1,2023,7676,7276,8193,Vaccine protected
S,21,3,1,2023,6008.5,5755,6277,Vaccine protected
S,22,3,1,2023,4713,4480,4975,Vaccine protected
S,23,3,1,2023,3667,3420,3931,Vaccine protected
S,24,3,1,2023,2953,2831,3074,Vaccine protected
S,25,3,1,2023,2366,2287,2438,Vaccine protected
S,26,3,1,2023,1890,1826,1950,Vaccine protected
S,27,3,1,2023,1509.5,1402,1600,Vaccine protected
S,28,3,1,2023,1195,1093,1315,Vaccine protected
S,29,3,1,2023,924.5,850,1058,Vaccine protected
S,30,3,1,2023,712,656,796,Vaccine protected
S,31,3,1,2023,551,496,624,Vaccine protected
S,32,3,1,2023,437.5,384,467,Vaccine protected
S,33,3,1,2023,356.5,296,389,Vaccine protected
S,34,3,1,2023,286,233,314,Vaccine protected
S,35,3,1,2023,226,165,266,Vaccine protected
S,36,3,1,2023,176,131,211,Vaccine protected
S,37,3,1,2023,149,87,180,Vaccine protected
S,38,3,1,2023,120,75,138,Vaccine protected
S,39,3,1,2023,83,54,106,Vaccine protected
S,40,3,1,2023,67,34,84,Vaccine protected
S,41,3,1,2023,46,29,67,Vaccine protected
S,42,3,1,2023,36,18,50,Vaccine protected
S,43,3,1,2023,29.5,15,41,Vaccine protected
S,44,3,1,2023,23,15,30,Vaccine protected
S,45,3,1,2023,21,6,30,Vaccine protected
S,46,3,1,2023,15,7,24,Vaccine protected
S,47,3,1,2023,11,5,22,Vaccine protected
S,48,3,1,2023,9,5,18,Vaccine protected
S,49,3,1,2023,7,1,14,Vaccine protected
S,50,3,1,2023,5,0,10,Vaccine protected
S,51,3,1,2023,4,0,7,Vaccine protected
S,52,3,1,2023,2,0,6,Vaccine protected
S,53,3,1,2023,0,0,6,Vaccine protected
S,54,3,1,2023,0,0,3,Vaccine protected
S,55,3,1,2023,0,0,2,Vaccine protected
S,56,3,1,2023,0,0,1,Vaccine protected
S,57,3,1,2023,0,0,0,Vaccine protected
S,58,3,1,2023,0,0,0,Vaccine protected
S,59,3,1,2023,0,0,0,Vaccine protected
S,60,3,1,2023,0,0,0,Vaccine protected
S,61,3,1,2023,0,0,0,Vaccine protected
S,62,3,1,2023,0,0,0,Vaccine protected
S,63,3,1,2023,0,0,0,Vaccine protected
S,64,3,1,2023,0,0,0,Vaccine protected
S,65,3,1,2023,0,0,0,Vaccine protected
S,66,3,1,2023,0,0,0,Vaccine protected
S,67,3,1,2023,0,0,0,Vaccine protected
S,68,3,1,2023,0,0,0,Vaccine protected
S,69,3,1,2023,0,0,0,Vaccine protected
S,70,3,1,2023,0,0,0,Vaccine protected
S,71,3,1,2023,0,0,0,Vaccine protected
S,72,3,1,2023,0,0,0,Vaccine protected
S,73,3,1,2023,0,0,0,Vaccine protected
S,74,3,1,2023,0,0,0,Vaccine protected
S,75,3,1,2023,0,0,0,Vaccine protected
S,76,3,1,2023,0,0,0,Vaccine protected
S,77,3,1,2023,0,0,0,Vaccine protected
S,78,3,1,2023,0,0,0,Vaccine protected
S,79,3,1,2023,0,0,0,Vaccine protected
S,80,3,1,2023,0,0,0,Vaccine protected
S,81,3,1,2023,0,0,0,Vaccine protected
S,82,3,1,2023,0,0,0,Vaccine protected
S,83,3,1,2023,0,0,0,Vaccine protected
S,84,3,1,2023,0,0,0,Vaccine protected
S,85,3,1,2023,0,0,0,Vaccine protected
S,86,3,1,2023,0,0,0,Vaccine protected
S,87,3,1,2023,0,0,0,Vaccine protected
S,88,3,1,2023,0,0,0,Vaccine protected
S,89,3,1,2023,0,0,0,Vaccine protected
S,90,3,1,2023,0,0,0,Vaccine protected
S,91,3,1,2023,0,0,0,Vaccine protected
S,92,3,1,2023,0,0,0,Vaccine protected
S,93,3,1,2023,0,0,0,Vaccine protected
S,94,3,1,2023,0,0,0,Vaccine protected
S,95,3,1,2023,0,0,0,Vaccine protected
S,96,3,1,2023,0,0,0,Vaccine protected
S,97,3,1,2023,0,0,0,Vaccine protected
S,98,3,1,2023,0,0,0,Vaccine protected
S,99,3,1,2023,0,0,0,Vaccine protected
S,100,3,1,2023,0,0,0,Vaccine protected
S,101,3,1,2023,0,0,0,Vaccine protected
E,1,1,1,2023,0,0,0,Exposure protected
E,2,1,1,2023,0,0,0,Exposure protected
E,3,1,1,2023,0,0,0,Exposure protected
E,4,1,1,2023,0,0,0,Exposure protected
E,5,1,1,2023,0,0,0,Exposure protected
E,6,1,1,2023,0,0,0,Exposure protected
E,7,1,1,2023,0,0,0,Exposure protected
E,8,1,1,2023,0,0,0,Exposure protected
E,9,1,1,2023,0,0,0,Exposure protected
E,10,1,1,2023,0,0,0,Exposure protected
E,11,1,1,2023,0,0,0,Exposure protected
E,12,1,1,2023,0,0,0,Exposure protected
E,13,1,1,2023,0,0,0,Exposure protected
E,14,1,1,2023,0,0,0,Exposure protected
E,15,1,1,2023,0,0,0,Exposure protected
E,16,1,1,2023,0,0,0,Exposure protected
E,17,1,1,2023,0,0,0,Exposure protected
E,18,1,1,2023,0,0,0,Exposure protected
E,19,1,1,2023,0,0,0,Exposure protected
E,20,1,1,2023,0,0,0,Exposure protected
E,21,1,1,2023,0,0,0,Exposure protected
E,22,1,1,2023,0,0,0,Exposure protected
E,23,1,1,2023,0,0,0,Exposure protected
E,24,1,1,2023,0,0,0,Exposure protected
E,25,1,1,2023,0,0,0,Exposure protected
E,26,1,1,2023,0,0,0,Exposure protected
E,27,1,1,2023,0,0,0,Exposure protected
E,28,1,1,2023,0,0,0,Exposure protected
E,29,1,1,2023,0,0,0,Exposure protected
E,30,1,1,2023,0,0,0,Exposure protected
E,31,1,1,2023,0,0,0,Exposure protected
E,32,1,1,2023,0,0,0,Exposure protected
E,33,1,1,2023,0,0,0,Exposure protected
E,34,1,1,2023,0,0,0,Exposure protected
E,35,1,1,2023,0,0,0,Exposure protected
E,36,1,1,2023,0,0,0,Exposure protected
E,37,1,1,2023,0,0,0,Exposure protected
E,38,1,1,2023,0,0,0,Exposure protected
E,39,1,1,2023,0,0,0,Exposure protected
E,40,1,1,2023,0,0,0,Exposure protected
E,41,1,1,2023,0,0,0,Exposure protected
E,42,1,1,2023,0,0,0,Exposure protected
E,43,1,1,2023,0,0,0,Exposure protected
E,44,1,1,2023,0,0,0,Exposure protected
E,45,1,1,2023,0,0,0,Exposure protected
E,46,1,1,2023,0,0,0,Exposure protected
E,47,1,1,2023,0,0,0,Exposure protected
E,48,1,1,2023,0,0,0,Exposure protected
E,49,1,1,2023,0,0,0,Exposure protected
E,50,1,1,2023,0,0,0,Exposure protected
E,51,1,1,2023,0,0,0,Exposure protected
E,52,1,1,2023,0,0,0,Exposure protected
E,53,1,1,2023,0,0,0,Exposure protected
E,54,1,1,2023,0,0,0,Exposure protected
E,55,1,1,2023,0,0,0,Exposure protected
E,56,1,1,2023,0,0,0,Exposure protected
E,57,1,1,2023,0,0,0,Exposure protected
E,58,1,1,2023,0,0,0,Exposure protected
E,59,1,1,2023,0,0,0,Exposure protected
