state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,93245.5,57869,148910,Susceptible
S,2,1,1,2023,133247.5,110732,142984,Susceptible
S,3,1,1,2023,136697,132275,138647,Susceptible
S,4,1,1,2023,136420,134929,137921,Susceptible
S,5,1,1,2023,138615.5,137529,139595,Susceptible
S,6,1,1,2023,142327.5,141358,144181,Susceptible
S,7,1,1,2023,146212,144904,148482,Susceptible
S,8,1,1,2023,147534.5,145327,150129,Susceptible
S,9,1,1,2023,145131,140955,148373,Susceptible
S,10,1,1,2023,138587.5,132713,143985,Susceptible
S,11,1,1,2023,129432.5,122184,136301,Susceptible
S,12,1,1,2023,118748,110913,126165,Susceptible
S,13,1,1,2023,107997.5,100890,115546,Susceptible
S,14,1,1,2023,99318,92643,106282,Susceptible
S,15,1,1,2023,92623.5,86975,98753,Susceptible
S,16,1,1,2023,88505.5,83626,93499,Susceptible
S,17,1,1,2023,86624.5,82651,90594,Susceptible
S,18,1,1,2023,86409.5,83702,89690,Susceptible
S,19,1,1,2023,88187.5,85880,90699,Susceptible
S,20,1,1,2023,90824,89029,92710,Susceptible
S,21,1,1,2023,94441,92801,96019,Susceptible
S,22,1,1,2023,98605.5,97031,100243,Susceptible
S,23,1,1,2023,102532.5,101421,104070,Susceptible
S,24,1,1,2023,107269,106159,109129,Susceptible
S,25,1,1,2023,112133,110886,113711,Susceptible
S,26,1,1,2023,117202,116029,118267,Susceptible
S,27,1,1,2023,122695,121222,123683,Susceptible
S,28,1,1,2023,128308.5,126792,129599,Susceptible
S,29,1,1,2023,134496,133396,135743,Susceptible
S,30,1,1,2023,141343,139398,143128,Susceptible
S,31,1,1,2023,148722,146226,151011,Susceptible
S,32,1,1,2023,156658.5,153624,159256,Susceptible
S,33,1,1,2023,164946.5,161719,167826,Susceptible
S,34,1,1,2023,173527,170656,176565,Susceptible
S,35,1,1,2023,182086,179099,184875,Susceptible
S,36,1,1,2023,189878,187328,192725,Susceptible
S,37,1,1,2023,197626,195072,200126,Susceptible
S,38,1,1,2023,204036,201928,206766,Susceptible
S,39,1,1,2023,209749.5,207474,212243,Susceptible
S,40,1,1,2023,214204.5,212576,215834,Susceptible
S,41,1,1,2023,216930.5,215761,218525,Susceptible
S,42,1,1,2023,218507,216805,219590,Susceptible
S,43,1,1,2023,218567,216041,219965,Susceptible
S,44,1,1,2023,216999,213016,220028,Susceptible
