state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,378556,234162,605363,Susceptible
S,2,1,1,2023,164028.5,124245,206089,Susceptible
S,3,1,1,2023,166561,158787,171760,Susceptible
S,4,1,1,2023,143542.5,128863,152614,Susceptible
S,5,1,1,2023,121023,110515,132010,Susceptible
S,6,1,1,2023,106094,99313,114422,Susceptible
S,7,1,1,2023,96788.5,92395,102338,Susceptible
S,8,1,1,2023,90548,86970,94728,Susceptible
S,9,1,1,2023,84351.5,80415,88185,Susceptible
S,10,1,1,2023,76600,71608,81155,Susceptible
S,11,1,1,2023,67597,61885,72759,Susceptible
S,12,1,1,2023,57832.5,51944,63485,Susceptible
S,13,1,1,2023,49044.5,43608,54688,Susceptible
S,14,1,1,2023,42312.5,37757,47081,Susceptible
S,15,1,1,2023,37674,34388,41441,Susceptible
S,16,1,1,2023,35818.5,33597,38473,Susceptible
S,17,1,1,2023,36131,34847,38126,Susceptible
S,18,1,1,2023,38506.5,37974,40345,Susceptible
S,19,1,1,2023,42374,41744,43780,Susceptible
S,20,1,1,2023,46840,45756,48111,Susceptible
S,21,1,1,2023,51601.5,50463,53382,Susceptible
S,22,1,1,2023,56115,54668,58516,Susceptible
S,23,1,1,2023,60838,59324,62406,Susceptible
S,24,1,1,2023,65566.5,64169,67154,Susceptible
S,25,1,1,2023,70174,69018,71753,Susceptible
S,26,1,1,2023,74847.5,73658,76539,Susceptible
S,27,1,1,2023,80041.5,78710,81736,Susceptible
S,28,1,1,2023,85606.5,84005,87836,Susceptible
S,29,1,1,2023,91509,89579,94133,Susceptible
S,30,1,1,2023,97841.5,96097,100768,Susceptible
S,31,1,1,2023,104641,102364,107584,Susceptible
S,32,1,1,2023,112771,109586,115809,Susceptible
S,33,1,1,2023,121371.5,117936,125217,Susceptible
S,34,1,1,2023,130810.5,126724,134791,Susceptible
S,35,1,1,2023,140652.5,136267,144482,Susceptible
S,36,1,1,2023,150975,146410,154958,Susceptible
S,37,1,1,2023,161321.5,156656,165854,Susceptible
S,38,1,1,2023,172132,166981,176614,Susceptible
S,39,1,1,2023,182574,177917,186909,Susceptible
S,40,1,1,2023,191899,187743,196243,Susceptible
S,41,1,1,2023,200656.5,196798,204193,Susceptible
S,42,1,1,2023,207792,204563,211951,Susceptible
S,43,1,1,2023,212915,210384,216977,Susceptible
S,44,1,1,2023,216250.5,213990,220891,Susceptible
S,45,1,1,2023,217526.5,216200,221637,Susceptible
S,46,1,1,2023,217058.5,215543,220645,Susceptible
S,47,1,1,2023,214591,212037,218964,Susceptible
S,48,1,1,2023,210359,207052,214813,Susceptible
S,49,1,1,2023,204537,200022,209455,Susceptible
S,50,1,1,2023,196898,192370,202410,Susceptible
S,51,1,1,2023,188609,183822,193124,Susceptible
S,52,1,1,2023,179777.5,174833,184476,Susceptible
S,53,1,1,2023,170531.5,165171,175628,Susceptible
S,54,1,1,2023,160833.5,155921,166138,Susceptible
S,55,1,1,2023,151345.5,145972,156367,Susceptible
S,56,1,1,2023,141539.5,136090,146874,Susceptible
S,57,1,1,2023,131706,126403,137052,Susceptible
S,58,1,1,2023,122477.5,117717,127326,Susceptible
S,59,1,1,2023,113556.5,109140,118442,Susceptible
S,60,1,1,2023,104732.5,100283,109066,Susceptible
S,61,1,1,2023,96495,92300,100964,Susceptible
S,62,1,1,2023,88710.5,84533,93075,Susceptible
S,63,1,1,2023,81059,76963,84989,Susceptible
S,64,1,1,2023,73853.5,70299,77509,Susceptible
S,65,1,1,2023,67177,63427,70735,Susceptible
S,66,1,1,2023,60551,57078,64017,Susceptible
S,67,1,1,2023,54343.5,51269,57592,Susceptible
S,68,1,1,2023,48708.5,45531,51697,Susceptible
S,69,1,1,2023,43411,40298,46421,Susceptible
