state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,27718,17885,43289,Susceptible
S,2,1,1,2023,43419.5,36643,46495,Susceptible
S,3,1,1,2023,51086,49155,53336,Susceptible
S,4,1,1,2023,58385,56822,61907,Susceptible
S,5,1,1,2023,66420.5,64610,70325,Susceptible
S,6,1,1,2023,74362.5,72307,78606,Susceptible
S,7,1,1,2023,81758,79381,86726,Susceptible
S,8,1,1,2023,88685.5,85864,94057,Susceptible
S,9,1,1,2023,95611.5,92773,101616,Susceptible
S,10,1,1,2023,102183,99087,108324,Susceptible
S,11,1,1,2023,108123.5,105129,114638,Susceptible
S,12,1,1,2023,113899.5,111230,120469,Susceptible
S,13,1,1,2023,119382.5,116477,126739,Susceptible
S,14,1,1,2023,124784.5,121941,131963,Susceptible
S,15,1,1,2023,129762,126873,137710,Susceptible
S,16,1,1,2023,134602,131391,142364,Susceptible
S,17,1,1,2023,138486,135347,147269,Susceptible
S,18,1,1,2023,142179,139075,150480,Susceptible
S,19,1,1,2023,144588.5,141295,153614,Susceptible
S,20,1,1,2023,146863.5,142735,156868,Susceptible
S,21,1,1,2023,148923,144968,158718,Susceptible
S,22,1,1,2023,150735,145812,159658,Susceptible
S,23,1,1,2023,151469.5,147372,159807,Susceptible
S,24,1,1,2023,151073.5,146661,159281,Susceptible
S,25,1,1,2023,150561.5,145947,159196,Susceptible
S,26,1,1,2023,149727,145571,158436,Susceptible
S,27,1,1,2023,148780.5,144544,157550,Susceptible
S,28,1,1,2023,148190.5,143729,156357,Susceptible
S,29,1,1,2023,146871,142969,156159,Susceptible
S,30,1,1,2023,145853,141951,154673,Susceptible
S,31,1,1,2023,144759.5,140800,152880,Susceptible
S,32,1,1,2023,143354,139888,151075,Susceptible
S,33,1,1,2023,142119,138329,149703,Susceptible
S,34,1,1,2023,140876,137242,148616,Susceptible
S,35,1,1,2023,139292.5,135419,147954,Susceptible
S,36,1,1,2023,137408,133741,145491,Susceptible
S,37,1,1,2023,135205.5,131749,143767,Susceptible
S,38,1,1,2023,133104.5,129893,140931,Susceptible
S,39,1,1,2023,131046.5,126972,138593,Susceptible
S,40,1,1,2023,128321,124882,136532,Susceptible
S,41,1,1,2023,125509.5,122185,133487,Susceptible
S,42,1,1,2023,122836,119324,130342,Susceptible
S,43,1,1,2023,119520.5,115452,127671,Susceptible
S,44,1,1,2023,116238,111410,123945,Susceptible
S,45,1,1,2023,112794,109230,120823,Susceptible
S,46,1,1,2023,109396.5,105779,117272,Susceptible
S,47,1,1,2023,105869.5,101609,113617,Susceptible
S,48,1,1,2023,102500,97895,109909,Susceptible
S,49,1,1,2023,98514,94258,106081,Susceptible
S,50,1,1,2023,94665,90385,102215,Susceptible
S,51,1,1,2023,90669,86461,98503,Susceptible
S,52,1,1,2023,87063,83109,94867,Susceptible
S,53,1,1,2023,83386.5,79670,90731,Susceptible
S,54,1,1,2023,79799,76624,86060,Susceptible
S,55,1,1,2023,76461.5,73295,81780,Susceptible
S,56,1,1,2023,72812.5,69685,77772,Susceptible
S,57,1,1,2023,69307,66260,74292,Susceptible
S,58,1,1,2023,65927,63198,71247,Susceptible
S,59,1,1,2023,62553,60006,67874,Susceptible
