state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,11141.5,7097,17436,Susceptible
S,2,1,1,2023,27889,21133,35306,Susceptible
S,3,1,1,2023,47104.5,39186,55485,Susceptible
S,4,1,1,2023,65124,57707,71954,Susceptible
S,5,1,1,2023,76899,71887,80723,Susceptible
S,6,1,1,2023,81257.5,79582,82338,Susceptible
S,7,1,1,2023,80507,76976,82656,Susceptible
S,8,1,1,2023,76961.5,72725,80599,Susceptible
S,9,1,1,2023,74439.5,70991,78099,Susceptible
S,10,1,1,2023,74159.5,71639,77177,Susceptible
S,11,1,1,2023,77203,75419,78767,Susceptible
S,12,1,1,2023,82027,80723,83075,Susceptible
S,13,1,1,2023,88537,86483,90254,Susceptible
S,14,1,1,2023,96181,93630,98768,Susceptible
S,15,1,1,2023,104399,101017,107351,Susceptible
S,16,1,1,2023,113103.5,109645,116619,Susceptible
S,17,1,1,2023,122742.5,119656,126551,Susceptible
S,18,1,1,2023,132875,129299,136804,Susceptible
S,19,1,1,2023,143486.5,139304,147595,Susceptible
S,20,1,1,2023,153589,149347,158306,Susceptible
S,21,1,1,2023,163084.5,158793,168161,Susceptible
S,22,1,1,2023,171225.5,167283,175684,Susceptible
S,23,1,1,2023,178450,174724,182490,Susceptible
S,24,1,1,2023,184116,179663,187059,Susceptible
S,25,1,1,2023,187815,184887,190057,Susceptible
S,26,1,1,2023,189933.5,187762,191045,Susceptible
S,27,1,1,2023,190299.5,187475,191957,Susceptible
S,28,1,1,2023,188964.5,185938,191232,Susceptible
S,29,1,1,2023,186544,183228,188900,Susceptible
S,30,1,1,2023,183703.5,180476,186523,Susceptible
S,31,1,1,2023,180120.5,176610,183918,Susceptible
S,32,1,1,2023,175834.5,171683,179821,Susceptible
S,33,1,1,2023,171159.5,166862,176047,Susceptible
S,34,1,1,2023,166174.5,162063,170651,Susceptible
S,35,1,1,2023,160668,155832,165012,Susceptible
S,36,1,1,2023,154503.5,149535,159370,Susceptible
S,37,1,1,2023,148183.5,143365,152865,Susceptible
S,38,1,1,2023,141516.5,137329,145903,Susceptible
S,39,1,1,2023,134411,130360,138566,Susceptible
S,40,1,1,2023,126602,122264,130920,Susceptible
S,41,1,1,2023,118593,114169,122725,Susceptible
