state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,92471,57260,148533,Susceptible
S,2,1,1,2023,132642.5,110105,142572,Susceptible
S,3,1,1,2023,128074,122162,130048,Susceptible
S,4,1,1,2023,113203.5,104403,119853,Susceptible
S,5,1,1,2023,98310,90709,106050,Susceptible
S,6,1,1,2023,85482.5,79265,92573,Susceptible
S,7,1,1,2023,82870.5,81628,86037,Susceptible
S,8,1,1,2023,88917.5,87265,92183,Susceptible
S,9,1,1,2023,96372,93804,99550,Susceptible
S,10,1,1,2023,100904.5,98867,102982,Susceptible
S,11,1,1,2023,103323,102450,104664,Susceptible
S,12,1,1,2023,106320.5,105113,108046,Susceptible
S,13,1,1,2023,112537,109882,116037,Susceptible
S,14,1,1,2023,122465.5,118291,126979,Susceptible
S,15,1,1,2023,134847.5,129291,140563,Susceptible
S,16,1,1,2023,148034,142662,153642,Susceptible
S,17,1,1,2023,160577.5,155308,166120,Susceptible
S,18,1,1,2023,172012.5,167162,177046,Susceptible
S,19,1,1,2023,182329.5,177430,187235,Susceptible
S,20,1,1,2023,191407,186997,195441,Susceptible
S,21,1,1,2023,198780,195096,202204,Susceptible
S,22,1,1,2023,205443,201909,208383,Susceptible
S,23,1,1,2023,210779,208012,213618,Susceptible
S,24,1,1,2023,214899.5,211367,216346,Susceptible
S,25,1,1,2023,217238.5,214548,218287,Susceptible
S,26,1,1,2023,218120.5,216430,218813,Susceptible
S,27,1,1,2023,217445.5,216317,219034,Susceptible
S,28,1,1,2023,216546.5,214601,217788,Susceptible
S,29,1,1,2023,214272,211166,216084,Susceptible
S,30,1,1,2023,211061,206772,213350,Susceptible
S,31,1,1,2023,207076.5,203967,209801,Susceptible
S,32,1,1,2023,202885,198687,206117,Susceptible
S,33,1,1,2023,197927,193171,201043,Susceptible
S,34,1,1,2023,191762.5,187752,195930,Susceptible
S,35,1,1,2023,185741.5,180994,189828,Susceptible
S,36,1,1,2023,177966.5,173250,182500,Susceptible
S,37,1,1,2023,169543,164953,174465,Susceptible
S,38,1,1,2023,160653.5,155276,165728,Susceptible
S,39,1,1,2023,150977.5,145421,156409,Susceptible
S,40,1,1,2023,140626.5,135053,146092,Susceptible
S,41,1,1,2023,129730.5,123841,135721,Susceptible
S,42,1,1,2023,118483,112507,124459,Susceptible
