state,age,vaccination,risk,year,value,value_min,value_max
new_case,All,All,All,1950,2552667,2551898,2554942
new_case,All,All,All,1951,20257,20088,20493
new_case,All,All,All,1952,43121,41988,43371
new_case,All,All,All,1953,126220,124244,126476
new_case,All,All,All,1954,102869,102372,104678
new_case,All,All,All,1955,106816,104881,108516
new_case,All,All,All,1956,111912,111287,114416
new_case,All,All,All,1957,113939,111469,116625
new_case,All,All,All,1958,116298,113960,116618
new_case,All,All,All,1959,118123,116969,121799
new_case,All,All,All,1960,118937,114630,122963
new_case,All,All,All,1961,123848,120638,127101
new_case,All,All,All,1962,126077,123741,131809
new_case,All,All,All,1963,127078,123023,129855
new_case,All,All,All,1964,137827,134162,140872
new_case,All,All,All,1965,132014,130036,135273
new_case,All,All,All,1966,137498,134501,139854
new_case,All,All,All,1967,136931,136723,139136
new_case,All,All,All,1968,138699,138034,146310
new_case,All,All,All,1969,148417,137552,150375
new_case,All,All,All,1970,147728,143492,156921
new_case,All,All,All,1971,159146,154498,160246
new_case,All,All,All,1972,155437,153497,161649
new_case,All,All,All,1973,159828,157039,164328
new_case,All,All,All,1974,159378,151494,163568
new_case,All,All,All,1975,164583,158698,167827
new_case,All,All,All,1976,158097,156909,163770
new_case,All,All,All,1977,163006,159924,168396
new_case,All,All,All,1978,168594,167945,173690
new_case,All,All,All,1979,180776,177675,184709
new_case,All,All,All,1980,142713,141627,144228
new_case,All,All,All,1981,5128,5040,5284
new_case,All,All,All,1982,1223,1223,1223
new_case,All,All,All,1983,5160,5160,5160
new_case,All,All,All,1984,6921,6921,6921
new_case,All,All,All,1985,6430,6430,6430
new_case,All,All,All,1986,3500,3500,3500
new_case,All,All,All,1987,3623,3623,3623
new_case,All,All,All,1988,3645,3645,3645
new_case,All,All,All,1989,7449,7449,7449
new_case,All,All,All,1990,7226,7226,7226
new_case,All,All,All,1991,21182,21182,21182
new_case,All,All,All,1992,19035,19035,19035
new_case,All,All,All,1993,20894,20894,20894
new_case,All,All,All,1994,9696,9696,9696
new_case,All,All,All,1995,21952,21952,21952
new_case,All,All,All,1996,24162,24162,24162
new_case,All,All,All,1997,10446,10446,10446
new_case,All,All,All,1998,12371,12371,12371
new_case,All,All,All,1999,6868,6868,6868
new_case,All,All,All,2000,3546,3546,3546
new_case,All,All,All,2001,24908,24908,24908
new_case,All,All,All,2002,7277,7277,7277
new_case,All,All,All,2003,15801,15801,15801
new_case,All,All,All,2004,10324,10324,10324
new_case,All,All,All,2005,2,2,2
new_case,All,All,All,2006,1594,1594,1594
new_case,All,All,All,2007,441,441,441
new_case,All,All,All,2008,63,63,63
new_case,All,All,All,2009,165,165,165
new_case,All,All,All,2010,194,194,194
new_case,All,All,All,2011,8650,8650,8650
new_case,All,All,All,2012,120,120,120
new_case,All,All,All,2013,226,226,226
new_case,All,All,All,2014,1275,1275,1275
new_case,All,All,All,2015,418,418,418
new_case,All,All,All,2016,118,118,118
new_case,All,All,All,2017,9,9,9
new_case,All,All,All,2018,1457,1457,1457
new_case,All,All,All,2019,1882,1882,1882
new_case,All,All,All,2020,2170,2170,2170
new_case,All,All,All,2021,2577,2577,2577
new_case,All,All,All,2022,2158,2158,2158
new_case,All,All,All,2023,11862,11862,11862
S,1,1,1,2023,92771,57349,149714
S,2,1,1,2023,133069.5,110454,143546
S,3,1,1,2023,127790.5,122131,130206
S,4,1,1,2023,113444.5,104642,120131
S,5,1,1,2023,98567.5,91054,106357
S,6,1,1,2023,86058,79606,92737
S,7,1,1,2023,83579,82133,86731
S,8,1,1,2023,89820,87784,92935
S,9,1,1,2023,97054,94024,100114
S,10,1,1,2023,101388,99534,103143
S,11,1,1,2023,103442.5,102816,104396
S,12,1,1,2023,106437.5,105603,107333
S,13,1,1,2023,112798.5,110718,115659
S,14,1,1,2023,122934,119221,127361
S,15,1,1,2023,135674.5,130678,141278
S,16,1,1,2023,149002.5,143415,154572
S,17,1,1,2023,161524.5,156256,167087
S,18,1,1,2023,172977.5,167611,178074
S,19,1,1,2023,183286.5,177924,187938
S,20,1,1,2023,192166,187046,196389
S,21,1,1,2023,199868.5,195576,203935
S,22,1,1,2023,206769,200797,210058
S,23,1,1,2023,211252,206667,214246
S,24,1,1,2023,215267,211520,217268
S,25,1,1,2023,218159.5,213827,219622
S,26,1,1,2023,218812.5,215239,220708
S,27,1,1,2023,218847.5,214586,220550
S,28,1,1,2023,217544,213463,220630
S,29,1,1,2023,214815,211128,218252
S,30,1,1,2023,211664,208048,215391
S,31,1,1,2023,207664.5,204187,211550
S,32,1,1,2023,203219,198860,207451
S,33,1,1,2023,197666,193885,202123
S,34,1,1,2023,191565.5,186909,196630
S,35,1,1,2023,184643.5,179354,188930
S,36,1,1,2023,177381.5,171452,182342
S,37,1,1,2023,169315,162946,174466
S,38,1,1,2023,160751,154269,166102
S,39,1,1,2023,151048.5,144570,156625
S,40,1,1,2023,140320.5,134646,145930
S,41,1,1,2023,129087,123188,134887
S,42,1,1,2023,117519.5,111633,123482
S,43,1,1,2023,105926.5,100100,111925
S,44,1,1,2023,94055.5,88560,99781
S,45,1,1,2023,82770,76801,88436
S,46,1,1,2023,71974,65937,77340
S,47,1,1,2023,61388.5,56070,67146
S,48,1,1,2023,51532,47021,56455
S,49,1,1,2023,42772.5,38649,46972
S,50,1,1,2023,34919.5,31224,38817
S,51,1,1,2023,28083,24911,31444
S,52,1,1,2023,22178.5,19500,25199
S,53,1,1,2023,17212,14896,19767
S,54,1,1,2023,13076,11190,15110
S,55,1,1,2023,9820.5,8251,11541
S,56,1,1,2023,7198.5,6009,8498
S,57,1,1,2023,5166.5,4225,6256
S,58,1,1,2023,3648,2922,4597
S,59,1,1,2023,2486,2012,3123
S,60,1,1,2023,1730.5,1341,2169
S,61,1,1,2023,1131,838,1444
S,62,1,1,2023,687.5,460,931
S,63,1,1,2023,416,284,575
S,64,1,1,2023,245,162,369
S,65,1,1,2023,129.5,74,225
S,66,1,1,2023,58.5,19,119
