state,age,vaccination,risk,year,value,value_min,value_max
new_case,All,All,All,1950,2597143,2595559,2598189
new_case,All,All,All,1951,109418,108026,109429
new_case,All,All,All,1952,335432,333281,336976
new_case,All,All,All,1953,307088,300604,310040
new_case,All,All,All,1954,326597,322221,332621
new_case,All,All,All,1955,327973,323616,334275
new_case,All,All,All,1956,332601,328336,334814
new_case,All,All,All,1957,349350,342628,352434
new_case,All,All,All,1958,346726,344585,353341
new_case,All,All,All,1959,354353,350330,356003
new_case,All,All,All,1960,362818,359402,365954
new_case,All,All,All,1961,367771,364341,373902
new_case,All,All,All,1962,374631,372169,382505
new_case,All,All,All,1963,381747,381096,387431
new_case,All,All,All,1964,404282,390707,407816
new_case,All,All,All,1965,397788,391699,403380
new_case,All,All,All,1966,405070,397611,407897
new_case,All,All,All,1967,414255,410874,418029
new_case,All,All,All,1968,421162,417750,424365
new_case,All,All,All,1969,429348,426326,435982
new_case,All,All,All,1970,440247,430432,445567
new_case,All,All,All,1971,460174,456003,468197
new_case,All,All,All,1972,461924,456884,464920
new_case,All,All,All,1973,466208,461858,479673
new_case,All,All,All,1974,477110,473221,477463
new_case,All,All,All,1975,479591,471170,487522
new_case,All,All,All,1976,491671,486906,496149
new_case,All,All,All,1977,493920,491247,497512
new_case,All,All,All,1978,509953,507168,530061
new_case,All,All,All,1979,529376,525639,535972
new_case,All,All,All,1980,447963,445905,460842
new_case,All,All,All,1981,469049,465559,476361
new_case,All,All,All,1982,37598,36107,38261
new_case,All,All,All,1983,2288,2288,2288
new_case,All,All,All,1984,2532,2532,2532
new_case,All,All,All,1985,1496,1496,1496
new_case,All,All,All,1986,2303,2303,2303
new_case,All,All,All,1987,0,0,0
new_case,All,All,All,1988,0,0,0
new_case,All,All,All,1989,0,0,0
new_case,All,All,All,1990,0,0,0
new_case,All,All,All,1991,0,0,0
new_case,All,All,All,1992,0,0,0
new_case,All,All,All,1993,0,0,0
new_case,All,All,All,1994,0,0,0
new_case,All,All,All,1995,5745,5745,5745
new_case,All,All,All,1996,5004,5004,5004
new_case,All,All,All,1997,5498,5498,5498
new_case,All,All,All,1998,5898,5898,5898
new_case,All,All,All,1999,0,0,0
new_case,All,All,All,2000,0,0,0
new_case,All,All,All,2001,0,0,0
new_case,All,All,All,2002,0,0,0
new_case,All,All,All,2003,0,0,0
new_case,All,All,All,2004,0,0,0
new_case,All,All,All,2005,0,0,0
new_case,All,All,All,2006,0,0,0
new_case,All,All,All,2007,0,0,0
new_case,All,All,All,2008,0,0,0
new_case,All,All,All,2009,0,0,0
new_case,All,All,All,2010,0,0,0
new_case,All,All,All,2011,0,0,0
new_case,All,All,All,2012,0,0,0
new_case,All,All,All,2013,0,0,0
new_case,All,All,All,2014,0,0,0
new_case,All,All,All,2015,0,0,0
new_case,All,All,All,2016,0,0,0
new_case,All,All,All,2017,0,0,0
new_case,All,All,All,2018,0,0,0
new_case,All,All,All,2019,0,0,0
new_case,All,All,All,2020,0,0,0
new_case,All,All,All,2021,0,0,0
new_case,All,All,All,2022,0,0,0
new_case,All,All,All,2023,0,0,0
S,1,1,1,2023,18641,14309,24624
S,2,1,1,2023,48003,41569,54698
S,3,1,1,2023,82872,75876,90264
S,4,1,1,2023,117580.5,111369,123427
S,5,1,1,2023,147158.5,142766,151148
S,6,1,1,2023,169161,166336,173129
S,7,1,1,2023,186175.5,180603,191734
S,8,1,1,2023,198889.5,192774,206423
S,9,1,1,2023,211137,203713,217975
S,10,1,1,2023,222674.5,216291,230828
