state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,12364.5,9496,16492,Susceptible
S,2,1,1,2023,30329.5,26199,34663,Susceptible
S,3,1,1,2023,49427,45451,53746,Susceptible
S,4,1,1,2023,66666.5,62944,70108,Susceptible
S,5,1,1,2023,79910,77722,82045,Susceptible
S,6,1,1,2023,88946,85839,91146,Susceptible
S,7,1,1,2023,94395.5,89229,98178,Susceptible
S,8,1,1,2023,97451.5,91619,102236,Susceptible
S,9,1,1,2023,100714,94891,105638,Susceptible
S,10,1,1,2023,103430.5,98234,108405,Susceptible
S,11,1,1,2023,106280,100759,110570,Susceptible
S,12,1,1,2023,108843.5,103802,113345,Susceptible
S,13,1,1,2023,111185,106212,115275,Susceptible
S,14,1,1,2023,113145,108233,117723,Susceptible
S,15,1,1,2023,114545,109496,119542,Susceptible
S,16,1,1,2023,115850,110195,120787,Susceptible
S,17,1,1,2023,115865,110540,119922,Susceptible
S,18,1,1,2023,116217,110337,120088,Susceptible
S,19,1,1,2023,115178,109923,119739,Susceptible
S,20,1,1,2023,113615.5,108499,117892,Susceptible
S,21,1,1,2023,111999.5,107202,116614,Susceptible
S,22,1,1,2023,110660,105670,115155,Susceptible
S,23,1,1,2023,108120,103383,112472,Susceptible
S,24,1,1,2023,105956,100658,109828,Susceptible
S,25,1,1,2023,102977,98399,107314,Susceptible
S,26,1,1,2023,100232,95342,104942,Susceptible
S,27,1,1,2023,96643,92120,101294,Susceptible
S,28,1,1,2023,93531.5,89081,98327,Susceptible
S,29,1,1,2023,90406.5,85683,94492,Susceptible
S,30,1,1,2023,86904.5,82574,90381,Susceptible
S,31,1,1,2023,83266.5,79381,87295,Susceptible
S,32,1,1,2023,80267.5,75964,84368,Susceptible
S,33,1,1,2023,76822,73172,80548,Susceptible
S,34,1,1,2023,73834,70260,77931,Susceptible
S,35,1,1,2023,70848,67144,74975,Susceptible
S,36,1,1,2023,67562,63486,71328,Susceptible
S,37,1,1,2023,64720.5,61308,68392,Susceptible
S,38,1,1,2023,61718,58512,65285,Susceptible
S,39,1,1,2023,58856,55809,63184,Susceptible
S,40,1,1,2023,56268,53388,59453,Susceptible
S,41,1,1,2023,53724.5,50975,56416,Susceptible
S,42,1,1,2023,51625.5,48896,53959,Susceptible
S,43,1,1,2023,49225,46194,51662,Susceptible
S,44,1,1,2023,46758.5,44540,49697,Susceptible
S,45,1,1,2023,44973,42364,47179,Susceptible
S,46,1,1,2023,42829.5,39871,44907,Susceptible
S,47,1,1,2023,40825.5,38000,42955,Susceptible
S,48,1,1,2023,39021.5,36359,40648,Susceptible
S,49,1,1,2023,37007.5,34954,38825,Susceptible
