state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,115748,71658,185182,Susceptible
S,2,1,1,2023,145657.5,125578,150385,Susceptible
S,3,1,1,2023,127671.5,113901,132248,Susceptible
S,4,1,1,2023,103419,90640,114595,Susceptible
S,5,1,1,2023,83816,73887,94407,Susceptible
S,6,1,1,2023,70436.5,63556,78794,Susceptible
S,7,1,1,2023,63934.5,59984,69345,Susceptible
S,8,1,1,2023,63339.5,61920,65940,Susceptible
S,9,1,1,2023,67531.5,67144,68205,Susceptible
S,10,1,1,2023,74586.5,72825,76707,Susceptible
S,11,1,1,2023,83462.5,81197,86311,Susceptible
S,12,1,1,2023,92793.5,90100,95724,Susceptible
S,13,1,1,2023,101579,98567,104365,Susceptible
S,14,1,1,2023,110120,107040,112461,Susceptible
S,15,1,1,2023,117646.5,115295,119189,Susceptible
S,16,1,1,2023,124203.5,122406,125237,Susceptible
S,17,1,1,2023,129904.5,128885,131059,Susceptible
S,18,1,1,2023,135169,134243,136193,Susceptible
S,19,1,1,2023,140385.5,138941,140896,Susceptible
S,20,1,1,2023,145009.5,143833,145866,Susceptible
S,21,1,1,2023,149463,148585,151014,Susceptible
S,22,1,1,2023,154200,152957,155797,Susceptible
S,23,1,1,2023,159366.5,158047,160549,Susceptible
S,24,1,1,2023,163998.5,162525,165645,Susceptible
S,25,1,1,2023,168595,167892,169872,Susceptible
S,26,1,1,2023,173005,172049,174613,Susceptible
S,27,1,1,2023,177383,176109,179450,Susceptible
S,28,1,1,2023,181530.5,180870,183235,Susceptible
S,29,1,1,2023,185674.5,184568,187918,Susceptible
S,30,1,1,2023,189966,187529,191500,Susceptible
S,31,1,1,2023,193932.5,190954,195171,Susceptible
S,32,1,1,2023,197150,196123,198462,Susceptible
S,33,1,1,2023,200409.5,199312,201963,Susceptible
S,34,1,1,2023,203868.5,203045,205389,Susceptible
S,35,1,1,2023,206818.5,205572,208304,Susceptible
S,36,1,1,2023,209388.5,208396,210512,Susceptible
S,37,1,1,2023,211666.5,210306,212831,Susceptible
S,38,1,1,2023,213706,212071,215796,Susceptible
S,39,1,1,2023,214758,212806,216886,Susceptible
S,40,1,1,2023,216005,213256,218476,Susceptible
S,41,1,1,2023,216443.5,214487,219213,Susceptible
S,42,1,1,2023,216851.5,214733,219922,Susceptible
S,43,1,1,2023,216338,214026,220219,Susceptible
S,44,1,1,2023,215395,212687,219174,Susceptible
S,45,1,1,2023,213751.5,211414,218658,Susceptible
S,46,1,1,2023,212407.5,209972,217467,Susceptible
S,47,1,1,2023,211435,208728,215739,Susceptible
S,48,1,1,2023,209321,206675,213959,Susceptible
S,49,1,1,2023,207276.5,204704,211050,Susceptible
S,50,1,1,2023,205275.5,202440,209418,Susceptible
S,51,1,1,2023,202496,198883,206215,Susceptible
S,52,1,1,2023,199508.5,195346,203344,Susceptible
S,53,1,1,2023,196922,193426,200782,Susceptible
S,54,1,1,2023,193698,190444,197828,Susceptible
S,55,1,1,2023,190683.5,187887,193517,Susceptible
S,56,1,1,2023,187217.5,184638,189760,Susceptible
S,57,1,1,2023,183575,180325,186458,Susceptible
S,58,1,1,2023,179629.5,176431,182300,Susceptible
S,59,1,1,2023,175545.5,172197,178334,Susceptible
S,60,1,1,2023,171669,168667,175188,Susceptible
S,61,1,1,2023,167483,164336,170622,Susceptible
S,62,1,1,2023,162727.5,159047,166288,Susceptible
S,63,1,1,2023,158142.5,154291,162416,Susceptible
S,64,1,1,2023,152753,148518,156590,Susceptible
S,65,1,1,2023,147270.5,142440,151512,Susceptible
S,66,1,1,2023,141158,136389,145231,Susceptible
S,67,1,1,2023,134808.5,130267,139268,Susceptible
S,68,1,1,2023,128291,123845,133224,Susceptible
S,69,1,1,2023,121976.5,117721,126824,Susceptible
S,70,1,1,2023,114809,110305,119222,Susceptible
S,71,1,1,2023,107500,102744,112190,Susceptible
S,72,1,1,2023,100260.5,96319,104836,Susceptible
S,73,1,1,2023,93319.5,89217,97722,Susceptible
S,74,1,1,2023,86490.5,82302,89987,Susceptible
S,75,1,1,2023,79820.5,75986,83173,Susceptible
