state,age,vaccination,risk,year,value,value_min,value_max
new_case,All,All,All,1950,5502604,5501750,5503902
new_case,All,All,All,1951,14741,14653,14874
new_case,All,All,All,1952,17198,17103,17283
new_case,All,All,All,1953,21293,21172,21605
new_case,All,All,All,1954,29933,29310,30201
new_case,All,All,All,1955,54577,52726,55797
new_case,All,All,All,1956,137350,131759,138885
new_case,All,All,All,1957,311787,304138,317631
new_case,All,All,All,1958,258103,247550,262931
new_case,All,All,All,1959,130948,129916,138621
new_case,All,All,All,1960,107178,99310,108727
new_case,All,All,All,1961,99784,98770,102004
new_case,All,All,All,1962,100655,99525,105451
new_case,All,All,All,1963,101589,97156,105777
new_case,All,All,All,1964,103026,97739,107391
new_case,All,All,All,1965,96976,92315,100635
new_case,All,All,All,1966,99886,96558,101408
new_case,All,All,All,1967,97307,91573,99218
new_case,All,All,All,1968,91257,89492,94113
new_case,All,All,All,1969,91502,88443,92641
new_case,All,All,All,1970,90276,85516,91936
new_case,All,All,All,1971,92229,89047,94065
new_case,All,All,All,1972,91242,87862,92093
new_case,All,All,All,1973,91250,89076,95802
new_case,All,All,All,1974,91359,90834,96636
new_case,All,All,All,1975,95640,91621,97990
new_case,All,All,All,1976,95826,92970,97246
new_case,All,All,All,1977,98424,94761,103196
new_case,All,All,All,1978,107602,103770,108659
new_case,All,All,All,1979,110930,109621,115570
new_case,All,All,All,1980,6165,5678,6617
new_case,All,All,All,1981,50,50,50
new_case,All,All,All,1982,23,23,23
new_case,All,All,All,1983,21,21,21
new_case,All,All,All,1984,24,24,24
new_case,All,All,All,1985,31,31,31
new_case,All,All,All,1986,12,12,12
new_case,All,All,All,1987,22,22,22
new_case,All,All,All,1988,30,30,30
new_case,All,All,All,1989,22,22,22
new_case,All,All,All,1990,0,0,0
new_case,All,All,All,1991,0,0,0
new_case,All,All,All,1992,1,1,1
new_case,All,All,All,1993,0,0,0
new_case,All,All,All,1994,0,0,0
new_case,All,All,All,1995,0,0,0
new_case,All,All,All,1996,0,0,0
new_case,All,All,All,1997,0,0,0
new_case,All,All,All,1998,0,0,0
new_case,All,All,All,1999,0,0,0
new_case,All,All,All,2000,0,0,0
new_case,All,All,All,2001,0,0,0
new_case,All,All,All,2002,0,0,0
new_case,All,All,All,2003,0,0,0
new_case,All,All,All,2004,0,0,0
new_case,All,All,All,2005,1,1,1
