state,age,vaccination,risk,year,value,value_min,value_max
new_case,All,All,All,1950,2202268,2187055,2209923
new_case,All,All,All,1951,540452,530442,564479
new_case,All,All,All,1952,333893,327625,334413
new_case,All,All,All,1953,274901,272835,275379
new_case,All,All,All,1954,237054,235746,238690
new_case,All,All,All,1955,221322,218856,221483
new_case,All,All,All,1956,205646,205312,206869
new_case,All,All,All,1957,199780,199751,201757
new_case,All,All,All,1958,189615,189436,192453
new_case,All,All,All,1959,185708,185041,188224
new_case,All,All,All,1960,183612,182508,183961
new_case,All,All,All,1961,182089,179793,182914
new_case,All,All,All,1962,179058,178581,180487
new_case,All,All,All,1963,178147,177554,178851
new_case,All,All,All,1964,182782,180854,182905
new_case,All,All,All,1965,177675,177449,179851
new_case,All,All,All,1966,176786,176113,177423
new_case,All,All,All,1967,175763,175119,176007
new_case,All,All,All,1968,172733,171978,173466
new_case,All,All,All,1969,169054,168509,169921
new_case,All,All,All,1970,166023,165342,166728
new_case,All,All,All,1971,165241,164741,165269
new_case,All,All,All,1972,158071,158062,158873
new_case,All,All,All,1973,156001,155613,156915
new_case,All,All,All,1974,152921,152238,154420
new_case,All,All,All,1975,151193,150483,152019
new_case,All,All,All,1976,149260,149204,149676
new_case,All,All,All,1977,148071,146899,148477
new_case,All,All,All,1978,148872,148560,149295
new_case,All,All,All,1979,143817,143574,144220
new_case,All,All,All,1980,27815,27627,28006
new_case,All,All,All,1981,53767,53738,53833
new_case,All,All,All,1982,24789,24597,24938
new_case,All,All,All,1983,19783,19718,19841
new_case,All,All,All,1984,21102,20728,21216
new_case,All,All,All,1985,39349,39322,39524
new_case,All,All,All,1986,25325,24896,25642
new_case,All,All,All,1987,34824,34762,35335
new_case,All,All,All,1988,22399,22296,22431
new_case,All,All,All,1989,18689,18486,18881
new_case,All,All,All,1990,18441,18229,18570
new_case,All,All,All,1991,28610,28221,28696
new_case,All,All,All,1992,21974,21942,22295
new_case,All,All,All,1993,37661,37594,37721
new_case,All,All,All,1994,28493,28481,29031
new_case,All,All,All,1995,285,264,298
new_case,All,All,All,1996,147,141,158
new_case,All,All,All,1997,49,48,57
new_case,All,All,All,1998,8,5,8
new_case,All,All,All,1999,0,0,0
new_case,All,All,All,2000,33,30,38
new_case,All,All,All,2001,184,161,187
new_case,All,All,All,2002,4050,4021,4138
new_case,All,All,All,2003,0,0,0
new_case,All,All,All,2004,0,0,0
new_case,All,All,All,2005,0,0,0
new_case,All,All,All,2006,114,111,136
new_case,All,All,All,2007,52,47,54
new_case,All,All,All,2008,0,0,0
new_case,All,All,All,2009,0,0,0
new_case,All,All,All,2010,0,0,0
new_case,All,All,All,2011,0,0,0
new_case,All,All,All,2012,1,1,2
new_case,All,All,All,2013,0,0,0
new_case,All,All,All,2014,0,0,0
new_case,All,All,All,2015,0,0,0
new_case,All,All,All,2016,0,0,0
new_case,All,All,All,2017,1097,1031,1102
new_case,All,All,All,2018,8546,8234,8564
new_case,All,All,All,2019,806,778,817
new_case,All,All,All,2020,0,0,0
new_case,All,All,All,2021,0,0,0
new_case,All,All,All,2022,0,0,0
new_case,All,All,All,2023,0,0,0
S,1,1,1,2023,299049.5,183084,478674
S,2,1,1,2023,162255,128735,187674
S,3,1,1,2023,147641,131725,151244
S,4,1,1,2023,106540.5,83616,123390
S,5,1,1,2023,68379.5,50941,87000
S,6,1,1,2023,43818,33125,57104
S,7,1,1,2023,31448,26345,39175
S,8,1,1,2023,27309.5,25261,30907
S,9,1,1,2023,27561,26753,28661
S,10,1,1,2023,29985,29422,30729
S,11,1,1,2023,33495.5,32637,34306
S,12,1,1,2023,37119,36069,38197
S,13,1,1,2023,40686,39637,41989
S,14,1,1,2023,44380.5,43561,44802
S,15,1,1,2023,46915,46375,47119
S,16,1,1,2023,48508.5,48070,49028
S,17,1,1,2023,50310,49279,51278
S,18,1,1,2023,51832,51273,52607
S,19,1,1,2023,55178.5,54780,55854
S,20,1,1,2023,59733.5,58594,60581
S,21,1,1,2023,65375,63640,67394
S,22,1,1,2023,72118,69473,74095
S,23,1,1,2023,79056.5,76571,81295
S,24,1,1,2023,86257,84013,88274
S,25,1,1,2023,93344,91014,95954
S,26,1,1,2023,100807,97612,103295
S,27,1,1,2023,107751.5,104791,110474
S,28,1,1,2023,114143,110717,116707
S,29,1,1,2023,119519.5,116676,120560
S,30,1,1,2023,122826,121208,123919
S,31,1,1,2023,125088,122670,126236
S,32,1,1,2023,125350,122868,127564
S,33,1,1,2023,125379,123251,127199
S,34,1,1,2023,124059.5,121722,127065
S,35,1,1,2023,123871,121686,126241
S,36,1,1,2023,123323,120859,125922
S,37,1,1,2023,122469.5,120794,125200
S,38,1,1,2023,122763.5,120967,125186
S,39,1,1,2023,123175.5,121574,125211
S,40,1,1,2023,123946.5,122891,126332
S,41,1,1,2023,124720,124025,127388
S,42,1,1,2023,126491.5,125443,128493
S,43,1,1,2023,127343.5,126158,129313
S,44,1,1,2023,128782.5,127500,129812
S,45,1,1,2023,129450,127906,130972
S,46,1,1,2023,129324.5,128006,131108
S,47,1,1,2023,129173,127800,130852
S,48,1,1,2023,128890,127392,130488
S,49,1,1,2023,128390.5,126065,130264
S,50,1,1,2023,127702,125189,129814
S,51,1,1,2023,127212,125100,129390
S,52,1,1,2023,127496.5,126440,128840
S,53,1,1,2023,128204.5,127216,129495
S,54,1,1,2023,129464.5,128926,131003
S,55,1,1,2023,132023,130984,132632
S,56,1,1,2023,133973,132924,135138
S,57,1,1,2023,135048,134306,135420
S,58,1,1,2023,135187,134594,135749
S,59,1,1,2023,134502,133768,135679
S,60,1,1,2023,132938,131577,133780
S,61,1,1,2023,130274,128340,131948
S,62,1,1,2023,126328.5,123736,129201
S,63,1,1,2023,121265,117857,124452
S,64,1,1,2023,115612.5,111589,119107
S,65,1,1,2023,109025.5,105491,112471
S,66,1,1,2023,102286.5,98250,105786
S,67,1,1,2023,94954,91197,98302
S,68,1,1,2023,87405,83606,91179
S,69,1,1,2023,79971.5,76296,83776
S,70,1,1,2023,72886,69181,76502
S,71,1,1,2023,66111.5,62693,69498
S,72,1,1,2023,59600.5,56523,62800
S,73,1,1,2023,53523.5,50577,56450
S,74,1,1,2023,48165.5,45322,50891
S,75,1,1,2023,42679,39913,45490
S,76,1,1,2023,37666,35105,40188
S,77,1,1,2023,32993,30605,35480
S,78,1,1,2023,28813,26272,31009
S,79,1,1,2023,25234.5,23174,27016
S,80,1,1,2023,21708.5,19983,23662
S,81,1,1,2023,18615,17001,20197
S,82,1,1,2023,15733,13973,17298
S,83,1,1,2023,12923,11582,14624
S,84,1,1,2023,10721,9482,12186
S,85,1,1,2023,8844,7800,9954
S,86,1,1,2023,7062,6113,7955
S,87,1,1,2023,5603.5,4748,6377
S,88,1,1,2023,4331.5,3636,4911
S,89,1,1,2023,3289.5,2800,3865
S,90,1,1,2023,2476,2057,2966
S,91,1,1,2023,1851,1514,2325
S,92,1,1,2023,1383,1123,1768
S,93,1,1,2023,1011,798,1249
S,94,1,1,2023,739,566,959
S,95,1,1,2023,514,393,692
S,96,1,1,2023,354,248,496
S,97,1,1,2023,213.5,156,316
S,98,1,1,2023,144,87,210
S,99,1,1,2023,91,44,134
S,100,1,1,2023,47,23,74
S,101,1,1,2023,52,31,89
S,1,2,1,2023,462.5,294,701
S,2,2,1,2023,13551,12280,14807
S,3,2,1,2023,29822,27673,32105
S,4,2,1,2023,47924,45281,50310
S,5,2,1,2023,65858.5,63323,67939
S,6,2,1,2023,82427.5,80626,83898
S,7,2,1,2023,97784,96293,98904
S,8,2,1,2023,111485,110713,112810
S,9,2,1,2023,124209,123158,125490
S,10,2,1,2023,136366,135110,137163
S,11,2,1,2023,147092.5,146034,148196
S,12,2,1,2023,157346.5,155900,158148
S,13,2,1,2023,165379,163695,168029
S,14,2,1,2023,173517.5,172199,176733
S,15,2,1,2023,182294.5,180398,184414
S,16,2,1,2023,191212,189755,192563
S,17,2,1,2023,199134,198697,200018
S,18,2,1,2023,206735,204669,208168
S,19,2,1,2023,212655.5,211657,214944
S,20,2,1,2023,217720.5,216398,220411
S,21,2,1,2023,222227.5,220869,225095
S,22,2,1,2023,225078.5,223223,227698
S,23,2,1,2023,226972.5,223724,229765
S,24,2,1,2023,226980,224168,230649
S,25,2,1,2023,226702.5,224251,229690
S,26,2,1,2023,225470,222834,228887
S,27,2,1,2023,223569,220893,226608
S,28,2,1,2023,221910,219447,224136
S,29,2,1,2023,220695,217723,222993
S,30,2,1,2023,219159,215717,222449
S,31,2,1,2023,217705,214545,221205
S,32,2,1,2023,216141.5,213040,219500
S,33,2,1,2023,214320,212018,216434
S,34,2,1,2023,212371,209559,215510
S,35,2,1,2023,210482,207576,213102
S,36,2,1,2023,207731.5,204588,210173
S,37,2,1,2023,203721,201146,206397
S,38,2,1,2023,199496.5,196033,202452
S,39,2,1,2023,195072,191342,198243
S,40,2,1,2023,189964,186040,194105
S,41,2,1,2023,184341.5,179853,188687
S,42,2,1,2023,177906.5,173204,181460
S,43,2,1,2023,171268,167576,175431
S,44,2,1,2023,164487,160188,168989
S,45,2,1,2023,157615.5,152452,161766
S,46,2,1,2023,150693.5,145762,155133
S,47,2,1,2023,143506,138924,149025
S,48,2,1,2023,135806,131091,140978
S,49,2,1,2023,128599,124575,133380
S,50,2,1,2023,121255.5,116963,125741
S,51,2,1,2023,113861.5,109461,117668
S,52,2,1,2023,105584.5,101125,109777
S,53,2,1,2023,97457.5,92931,101822
