state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,308323,191362,495236,Susceptible
S,2,1,1,2023,167727.5,132779,193675,Susceptible
S,3,1,1,2023,152864.5,136051,155952,Susceptible
S,4,1,1,2023,109537,86121,126812,Susceptible
S,5,1,1,2023,70823,52549,89324,Susceptible
S,6,1,1,2023,45353,34312,59329,Susceptible
S,7,1,1,2023,32261.5,26877,40366,Susceptible
S,8,1,1,2023,27970,25827,31790,Susceptible
S,9,1,1,2023,28255.5,27648,29601,Susceptible
S,10,1,1,2023,30748.5,30330,31359,Susceptible
S,11,1,1,2023,34124.5,33483,35063,Susceptible
S,12,1,1,2023,38140,37090,39210,Susceptible
S,13,1,1,2023,41930.5,40770,42866,Susceptible
S,14,1,1,2023,45304,44289,45968,Susceptible
S,15,1,1,2023,48174,47682,48715,Susceptible
S,16,1,1,2023,49931.5,49070,50321,Susceptible
S,17,1,1,2023,50939,50203,52049,Susceptible
S,18,1,1,2023,52851,51848,53395,Susceptible
S,19,1,1,2023,55811.5,55397,56317,Susceptible
S,20,1,1,2023,60333.5,59590,61324,Susceptible
S,21,1,1,2023,66266,64791,67849,Susceptible
S,22,1,1,2023,72851.5,70990,74732,Susceptible
S,23,1,1,2023,79989.5,78108,81907,Susceptible
S,24,1,1,2023,87418.5,85119,89616,Susceptible
S,25,1,1,2023,95297,92829,98072,Susceptible
S,26,1,1,2023,103212.5,100181,105590,Susceptible
S,27,1,1,2023,110221.5,108079,113057,Susceptible
S,28,1,1,2023,116845,114742,119293,Susceptible
S,29,1,1,2023,122439,120423,124183,Susceptible
S,30,1,1,2023,125650,124966,127123,Susceptible
S,31,1,1,2023,127547,126199,129257,Susceptible
S,32,1,1,2023,128291.5,125841,129655,Susceptible
S,33,1,1,2023,128035.5,125794,130370,Susceptible
S,34,1,1,2023,126619,124148,128716,Susceptible
S,35,1,1,2023,124853.5,121938,127755,Susceptible
S,36,1,1,2023,123123.5,120233,126339,Susceptible
S,37,1,1,2023,120992,117866,123835,Susceptible
S,38,1,1,2023,119056,116061,122032,Susceptible
S,39,1,1,2023,117360,113985,121283,Susceptible
S,40,1,1,2023,115491.5,112435,118271,Susceptible
S,41,1,1,2023,113258.5,109981,116170,Susceptible
S,42,1,1,2023,110921,107450,114359,Susceptible
S,43,1,1,2023,107747,104081,111264,Susceptible
S,44,1,1,2023,104286.5,100308,107697,Susceptible
S,45,1,1,2023,100093,96123,103167,Susceptible
S,46,1,1,2023,94755.5,90911,98374,Susceptible
S,47,1,1,2023,89825.5,85502,93408,Susceptible
S,48,1,1,2023,84114,79746,88127,Susceptible
S,49,1,1,2023,78268.5,74377,82238,Susceptible
S,50,1,1,2023,72416.5,68860,76174,Susceptible
S,51,1,1,2023,66501,62974,70360,Susceptible
S,52,1,1,2023,60893,57458,64238,Susceptible
S,53,1,1,2023,55697,52471,58788,Susceptible
S,54,1,1,2023,50369,47429,53683,Susceptible
S,55,1,1,2023,45765,42841,48645,Susceptible
S,56,1,1,2023,41205,38859,44023,Susceptible
S,57,1,1,2023,37162.5,34738,39575,Susceptible
S,58,1,1,2023,33166.5,31077,35410,Susceptible
S,59,1,1,2023,29549,27495,31493,Susceptible
S,60,1,1,2023,25834,23966,27995,Susceptible
S,61,1,1,2023,22580,20871,24426,Susceptible
S,62,1,1,2023,19443.5,17666,21232,Susceptible
S,63,1,1,2023,16471.5,14969,18160,Susceptible
S,64,1,1,2023,13787.5,12318,15306,Susceptible
S,65,1,1,2023,11385.5,10081,12799,Susceptible
S,66,1,1,2023,9300,7900,10515,Susceptible
S,67,1,1,2023,7528,6417,8671,Susceptible
S,68,1,1,2023,6025,5110,6970,Susceptible
S,69,1,1,2023,4774,4033,5662,Susceptible
S,70,1,1,2023,3670,3057,4466,Susceptible
S,71,1,1,2023,2838,2334,3433,Susceptible
S,72,1,1,2023,2249.5,1781,2697,Susceptible
S,73,1,1,2023,1714.5,1377,2116,Susceptible
S,74,1,1,2023,1351.5,1012,1665,Susceptible
S,75,1,1,2023,1036.5,772,1294,Susceptible
S,76,1,1,2023,793,613,1021,Susceptible
S,77,1,1,2023,597,470,760,Susceptible
S,78,1,1,2023,484,359,612,Susceptible
S,79,1,1,2023,377,329,464,Susceptible
S,80,1,1,2023,309,242,362,Susceptible
S,81,1,1,2023,225,170,290,Susceptible
S,82,1,1,2023,178,100,224,Susceptible
S,83,1,1,2023,131,77,179,Susceptible
S,84,1,1,2023,95.5,62,140,Susceptible
S,85,1,1,2023,68,40,92,Susceptible
S,86,1,1,2023,47,31,70,Susceptible
S,87,1,1,2023,31,20,49,Susceptible
S,88,1,1,2023,23,12,31,Susceptible
S,89,1,1,2023,12,5,23,Susceptible
S,90,1,1,2023,9,1,17,Susceptible
S,91,1,1,2023,6,1,11,Susceptible
S,92,1,1,2023,2,0,7,Susceptible
S,93,1,1,2023,1.5,0,6,Susceptible
S,94,1,1,2023,0,0,11,Susceptible
S,95,1,1,2023,0,0,9,Susceptible
S,96,1,1,2023,0,0,6,Susceptible
S,97,1,1,2023,0,0,2,Susceptible
S,98,1,1,2023,0,0,1,Susceptible
S,99,1,1,2023,0,0,2,Susceptible
S,100,1,1,2023,0,0,1,Susceptible
S,101,1,1,2023,0,0,0,Susceptible
S,1,2,1,2023,485.5,313,717,Vaccine protected
S,2,2,1,2023,13957,12655,15279,Vaccine protected
S,3,2,1,2023,30663,28412,33033,Vaccine protected
S,4,2,1,2023,49144.5,46404,51619,Vaccine protected
S,5,2,1,2023,67773.5,65012,69896,Vaccine protected
S,6,2,1,2023,84926,82815,86321,Vaccine protected
S,7,2,1,2023,100668.5,99609,102324,Vaccine protected
S,8,2,1,2023,114884,113974,116217,Vaccine protected
S,9,2,1,2023,128289.5,127589,129675,Vaccine protected
S,10,2,1,2023,139748,138878,141592,Vaccine protected
S,11,2,1,2023,150654,148911,152352,Vaccine protected
S,12,2,1,2023,160426.5,158907,162556,Vaccine protected
S,13,2,1,2023,169476.5,167544,171492,Vaccine protected
S,14,2,1,2023,178573.5,177312,180318,Vaccine protected
S,15,2,1,2023,187400,185585,188118,Vaccine protected
S,16,2,1,2023,196174.5,194614,197031,Vaccine protected
S,17,2,1,2023,203576.5,201667,205054,Vaccine protected
S,18,2,1,2023,211048.5,209166,211843,Vaccine protected
S,19,2,1,2023,217498.5,215676,219194,Vaccine protected
S,20,2,1,2023,222700.5,220888,224302,Vaccine protected
