state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,119299.5,75385,189399,Susceptible
S,2,1,1,2023,157527,136426,162277,Susceptible
S,3,1,1,2023,151572,138588,155279,Susceptible
S,4,1,1,2023,141878.5,129844,151954,Susceptible
S,5,1,1,2023,139531,130014,148925,Susceptible
S,6,1,1,2023,144094,137507,151398,Susceptible
S,7,1,1,2023,155275.5,151220,160292,Susceptible
S,8,1,1,2023,172043,170116,174534,Susceptible
S,9,1,1,2023,192304.5,191308,193671,Susceptible
S,10,1,1,2023,214286.5,213020,216769,Susceptible
S,11,1,1,2023,237562.5,235846,239803,Susceptible
S,12,1,1,2023,259318.5,257648,261613,Susceptible
S,13,1,1,2023,279614,277567,282101,Susceptible
S,14,1,1,2023,298954.5,296772,301792,Susceptible
S,15,1,1,2023,317511,314953,319289,Susceptible
S,16,1,1,2023,333057.5,331326,334321,Susceptible
S,17,1,1,2023,347964,346043,348804,Susceptible
S,18,1,1,2023,360303.5,358709,361605,Susceptible
S,19,1,1,2023,372333,369026,373185,Susceptible
S,20,1,1,2023,382101,380265,383783,Susceptible
S,21,1,1,2023,390936.5,389520,392985,Susceptible
S,22,1,1,2023,398576.5,397449,401632,Susceptible
S,23,1,1,2023,405814,404576,408605,Susceptible
S,24,1,1,2023,411474.5,409443,413484,Susceptible
S,25,1,1,2023,416587,414433,418599,Susceptible
S,26,1,1,2023,421559,418179,423759,Susceptible
S,27,1,1,2023,425813,422185,428168,Susceptible
S,28,1,1,2023,428986,426231,430724,Susceptible
S,29,1,1,2023,431254.5,428573,433603,Susceptible
S,30,1,1,2023,432763.5,430225,435484,Susceptible
S,31,1,1,2023,434249,430642,436371,Susceptible
S,32,1,1,2023,435854.5,431854,438385,Susceptible
S,33,1,1,2023,435605.5,431673,439386,Susceptible
S,34,1,1,2023,434009.5,429411,438597,Susceptible
S,35,1,1,2023,432181,428632,436839,Susceptible
S,36,1,1,2023,430429,426775,435377,Susceptible
S,37,1,1,2023,427923.5,423050,431945,Susceptible
S,38,1,1,2023,424116.5,419396,428666,Susceptible
S,39,1,1,2023,419953.5,414424,424833,Susceptible
S,40,1,1,2023,415474.5,409509,420445,Susceptible
S,41,1,1,2023,410322.5,403872,415787,Susceptible
S,42,1,1,2023,404842.5,398922,409653,Susceptible
S,43,1,1,2023,399360,393750,404113,Susceptible
S,44,1,1,2023,393662.5,387891,398930,Susceptible
S,45,1,1,2023,387147,382527,393064,Susceptible
S,46,1,1,2023,380407,375868,384999,Susceptible
S,47,1,1,2023,373353.5,368476,377920,Susceptible
S,48,1,1,2023,365513.5,360652,370553,Susceptible
S,49,1,1,2023,358806,353344,363387,Susceptible
S,50,1,1,2023,351349,345717,356264,Susceptible
S,51,1,1,2023,343210,338203,348094,Susceptible
S,52,1,1,2023,335148,330397,339754,Susceptible
S,53,1,1,2023,327198,322757,331792,Susceptible
S,54,1,1,2023,319224,314820,323987,Susceptible
S,55,1,1,2023,310889,305729,316194,Susceptible
S,56,1,1,2023,302133,296976,307723,Susceptible
S,57,1,1,2023,292751,287879,297826,Susceptible
S,58,1,1,2023,283800.5,279116,289422,Susceptible
S,59,1,1,2023,275021.5,269810,280011,Susceptible
S,60,1,1,2023,266242,261122,270853,Susceptible
S,61,1,1,2023,257211.5,251691,262296,Susceptible
S,62,1,1,2023,248111,242451,253063,Susceptible
S,63,1,1,2023,238678,232968,243872,Susceptible
S,64,1,1,2023,229403,223753,235188,Susceptible
S,65,1,1,2023,219826,214144,225344,Susceptible
S,66,1,1,2023,209817.5,204071,215590,Susceptible
S,67,1,1,2023,199769,193453,205234,Susceptible
S,68,1,1,2023,189565,183169,195041,Susceptible
S,69,1,1,2023,179469,173720,185490,Susceptible
S,70,1,1,2023,169482.5,164401,174823,Susceptible
S,71,1,1,2023,159963,154612,165353,Susceptible
S,72,1,1,2023,150844,145917,156294,Susceptible
S,73,1,1,2023,141767,136959,146396,Susceptible
S,74,1,1,2023,132803,128634,137516,Susceptible
S,75,1,1,2023,124450.5,120287,128895,Susceptible
S,76,1,1,2023,116190.5,112001,120709,Susceptible
S,77,1,1,2023,107903.5,103862,112073,Susceptible
S,78,1,1,2023,99681,95230,104000,Susceptible
S,79,1,1,2023,91267,86737,95726,Susceptible
S,80,1,1,2023,82866.5,78330,87293,Susceptible
S,81,1,1,2023,74493.5,70066,78826,Susceptible
S,82,1,1,2023,66415.5,61803,70665,Susceptible
S,83,1,1,2023,58266.5,54371,62598,Susceptible
S,84,1,1,2023,50767,46975,54862,Susceptible
S,85,1,1,2023,43628.5,39870,47536,Susceptible
S,86,1,1,2023,36620,33378,40058,Susceptible
S,87,1,1,2023,30279,27184,33400,Susceptible
S,88,1,1,2023,24658,21951,27618,Susceptible
S,89,1,1,2023,19722,17495,22277,Susceptible
S,90,1,1,2023,15773,13833,17746,Susceptible
S,91,1,1,2023,12233,10619,13982,Susceptible
S,92,1,1,2023,9360.5,8078,10832,Susceptible
S,93,1,1,2023,7062.5,5942,8299,Susceptible
S,94,1,1,2023,5164.5,4338,6149,Susceptible
S,95,1,1,2023,3734,3073,4465,Susceptible
S,96,1,1,2023,2625,2123,3208,Susceptible
S,97,1,1,2023,1821,1430,2237,Susceptible
S,98,1,1,2023,1208.5,957,1522,Susceptible
S,99,1,1,2023,795.5,576,1045,Susceptible
S,100,1,1,2023,488.5,333,658,Susceptible
S,101,1,1,2023,630.5,420,899,Susceptible
S,1,2,1,2023,45105.5,34827,52415,Vaccine protected
S,2,2,1,2023,95456.5,84772,101619,Vaccine protected
S,3,2,1,2023,138479,130188,144481,Vaccine protected
S,4,2,1,2023,174482.5,167415,180917,Vaccine protected
S,5,2,1,2023,203000,196056,209562,Vaccine protected
S,6,2,1,2023,224334,218084,230276,Vaccine protected
S,7,2,1,2023,237775,233226,242466,Vaccine protected
S,8,2,1,2023,243598,240314,247726,Vaccine protected
S,9,2,1,2023,243668.5,241748,246266,Vaccine protected
S,10,2,1,2023,239528,238273,240580,Vaccine protected
S,11,2,1,2023,232088.5,230422,232961,Vaccine protected
S,12,2,1,2023,223153.5,221219,224955,Vaccine protected
S,13,2,1,2023,212400,210886,213961,Vaccine protected
S,14,2,1,2023,201712.5,200418,202754,Vaccine protected
S,15,2,1,2023,190478,189293,191907,Vaccine protected
S,16,2,1,2023,179389.5,178403,181545,Vaccine protected
S,17,2,1,2023,168700,168046,170112,Vaccine protected
S,18,2,1,2023,158424.5,157609,158862,Vaccine protected
S,19,2,1,2023,147949,147081,148563,Vaccine protected
S,20,2,1,2023,138414.5,137582,139245,Vaccine protected
S,21,2,1,2023,128840,128196,129806,Vaccine protected
S,22,2,1,2023,120136,118582,121143,Vaccine protected
S,23,2,1,2023,110995.5,109876,112278,Vaccine protected
S,24,2,1,2023,102296.5,101143,103198,Vaccine protected
S,25,2,1,2023,94263,93450,95176,Vaccine protected
S,26,2,1,2023,86761.5,86168,87661,Vaccine protected
S,27,2,1,2023,79965,78502,80691,Vaccine protected
S,28,2,1,2023,73489,72374,74385,Vaccine protected
S,29,2,1,2023,67678,66733,68515,Vaccine protected
S,30,2,1,2023,62401,61660,62743,Vaccine protected
S,31,2,1,2023,57505,56504,58012,Vaccine protected
S,32,2,1,2023,52782.5,51883,53516,Vaccine protected
S,33,2,1,2023,48106.5,47324,49152,Vaccine protected
S,34,2,1,2023,44226.5,43758,44718,Vaccine protected
S,35,2,1,2023,40414.5,39856,41052,Vaccine protected
S,36,2,1,2023,36798,36237,37451,Vaccine protected
S,37,2,1,2023,33488,33007,34234,Vaccine protected
S,38,2,1,2023,30658,30071,31185,Vaccine protected
S,39,2,1,2023,27971.5,27391,28392,Vaccine protected
S,40,2,1,2023,25254,24840,26053,Vaccine protected
S,41,2,1,2023,23054,22569,23694,Vaccine protected
S,42,2,1,2023,20805,20268,21334,Vaccine protected
S,43,2,1,2023,18747.5,18420,19618,Vaccine protected
S,44,2,1,2023,17029,16576,17530,Vaccine protected
S,45,2,1,2023,15337,14852,15852,Vaccine protected
S,46,2,1,2023,13801,13435,14461,Vaccine protected
S,47,2,1,2023,12497.5,12193,13164,Vaccine protected
S,48,2,1,2023,11388.5,10972,11861,Vaccine protected
S,49,2,1,2023,10252,9844,10580,Vaccine protected
S,50,2,1,2023,9181.5,8879,9498,Vaccine protected
S,51,2,1,2023,8199,7944,8444,Vaccine protected
S,52,2,1,2023,7355,7067,7573,Vaccine protected
S,53,2,1,2023,6621.5,6349,6844,Vaccine protected
S,54,2,1,2023,5913,5706,6329,Vaccine protected
S,55,2,1,2023,5281,5099,5475,Vaccine protected
S,56,2,1,2023,4683,4511,4841,Vaccine protected
S,57,2,1,2023,4178,3937,4341,Vaccine protected
S,58,2,1,2023,3678,3314,3875,Vaccine protected
S,59,2,1,2023,3124,2907,3411,Vaccine protected
S,60,2,1,2023,2656.5,2462,2878,Vaccine protected
S,61,2,1,2023,2297,2184,2476,Vaccine protected
S,62,2,1,2023,1963,1882,2125,Vaccine protected
S,63,2,1,2023,1694.5,1546,1825,Vaccine protected
S,64,2,1,2023,1372,1244,1516,Vaccine protected
S,65,2,1,2023,1182,1069,1252,Vaccine protected
S,66,2,1,2023,946,826,1039,Vaccine protected
S,67,2,1,2023,764.5,693,833,Vaccine protected
S,68,2,1,2023,633,567,711,Vaccine protected
S,69,2,1,2023,523,462,584,Vaccine protected
S,70,2,1,2023,447,395,491,Vaccine protected
S,71,2,1,2023,342,295,399,Vaccine protected
S,72,2,1,2023,261.5,223,311,Vaccine protected
S,73,2,1,2023,221,177,262,Vaccine protected
S,74,2,1,2023,160,131,229,Vaccine protected
S,75,2,1,2023,119,97,175,Vaccine protected
S,76,2,1,2023,82.5,58,139,Vaccine protected
S,77,2,1,2023,53,36,90,Vaccine protected
S,78,2,1,2023,42,31,83,Vaccine protected
S,79,2,1,2023,30,17,56,Vaccine protected
S,80,2,1,2023,25,10,41,Vaccine protected
S,81,2,1,2023,17,7,27,Vaccine protected
S,82,2,1,2023,14,4,22,Vaccine protected
S,83,2,1,2023,9,2,19,Vaccine protected
S,84,2,1,2023,9,4,16,Vaccine protected
S,85,2,1,2023,6,1,12,Vaccine protected
S,86,2,1,2023,5,1,13,Vaccine protected
S,87,2,1,2023,1,0,10,Vaccine protected
S,88,2,1,2023,1,0,7,Vaccine protected
S,89,2,1,2023,1,0,7,Vaccine protected
S,90,2,1,2023,0,0,2,Vaccine protected
S,91,2,1,2023,0,0,1,Vaccine protected
S,92,2,1,2023,0,0,0,Vaccine protected
S,93,2,1,2023,0,0,0,Vaccine protected
S,94,2,1,2023,0,0,0,Vaccine protected
S,95,2,1,2023,0,0,0,Vaccine protected
S,96,2,1,2023,0,0,0,Vaccine protected
S,97,2,1,2023,0,0,0,Vaccine protected
S,98,2,1,2023,0,0,0,Vaccine protected
S,99,2,1,2023,0,0,0,Vaccine protected
S,100,2,1,2023,0,0,0,Vaccine protected
S,101,2,1,2023,0,0,0,Vaccine protected
S,1,3,1,2023,143787.5,81313,252912,Vaccine protected
S,2,3,1,2023,202281,153301,235879,Vaccine protected
S,3,3,1,2023,201805.5,177480,215656,Vaccine protected
S,4,3,1,2023,184625,172961,193459,Vaccine protected
S,5,3,1,2023,164722,157725,170960,Vaccine protected
S,6,3,1,2023,144880.5,139899,149493,Vaccine protected
S,7,3,1,2023,126469,122878,129749,Vaccine protected
S,8,3,1,2023,108942,106274,111391,Vaccine protected
S,9,3,1,2023,92450.5,90877,94046,Vaccine protected
S,10,3,1,2023,78084.5,77022,79114,Vaccine protected
S,11,3,1,2023,65218.5,64901,65733,Vaccine protected
S,12,3,1,2023,54063,53545,54650,Vaccine protected
S,13,3,1,2023,44736,44461,45191,Vaccine protected
S,14,3,1,2023,37117,36703,37355,Vaccine protected
S,15,3,1,2023,30606.5,30189,30967,Vaccine protected
S,16,3,1,2023,25188.5,24857,25613,Vaccine protected
S,17,3,1,2023,20954,20667,21314,Vaccine protected
S,18,3,1,2023,17324,17062,17683,Vaccine protected
S,19,3,1,2023,14384,14009,14620,Vaccine protected
S,20,3,1,2023,11946.5,11675,12258,Vaccine protected
S,21,3,1,2023,9954.5,9838,10182,Vaccine protected
S,22,3,1,2023,8205,8033,8460,Vaccine protected
S,23,3,1,2023,6816,6605,6905,Vaccine protected
S,24,3,1,2023,5583.5,5439,5814,Vaccine protected
S,25,3,1,2023,4662.5,4517,4819,Vaccine protected
S,26,3,1,2023,3859,3709,3948,Vaccine protected
S,27,3,1,2023,3129,3005,3275,Vaccine protected
S,28,3,1,2023,2557,2448,2684,Vaccine protected
S,29,3,1,2023,2128.5,2035,2223,Vaccine protected
S,30,3,1,2023,1783.5,1706,1861,Vaccine protected
S,31,3,1,2023,1479,1419,1527,Vaccine protected
S,32,3,1,2023,1212.5,1147,1268,Vaccine protected
S,33,3,1,2023,997.5,948,1027,Vaccine protected
S,34,3,1,2023,839,758,869,Vaccine protected
S,35,3,1,2023,682,628,737,Vaccine protected
S,36,3,1,2023,565,520,641,Vaccine protected
S,37,3,1,2023,488,414,527,Vaccine protected
S,38,3,1,2023,405,325,431,Vaccine protected
S,39,3,1,2023,323,280,342,Vaccine protected
S,40,3,1,2023,274,220,303,Vaccine protected
S,41,3,1,2023,208,167,239,Vaccine protected
S,42,3,1,2023,175,117,200,Vaccine protected
S,43,3,1,2023,144,90,165,Vaccine protected
S,44,3,1,2023,119,81,150,Vaccine protected
S,45,3,1,2023,102,64,130,Vaccine protected
S,46,3,1,2023,79,68,111,Vaccine protected
S,47,3,1,2023,65,46,77,Vaccine protected
S,48,3,1,2023,60,43,70,Vaccine protected
S,49,3,1,2023,50,38,59,Vaccine protected
S,50,3,1,2023,42,23,55,Vaccine protected
S,51,3,1,2023,25,16,37,Vaccine protected
S,52,3,1,2023,25,17,39,Vaccine protected
S,53,3,1,2023,19,15,30,Vaccine protected
S,54,3,1,2023,18,10,22,Vaccine protected
S,55,3,1,2023,14,8,19,Vaccine protected
S,56,3,1,2023,11,7,18,Vaccine protected
S,57,3,1,2023,8,3,13,Vaccine protected
S,58,3,1,2023,7,5,9,Vaccine protected
S,59,3,1,2023,5.5,1,11,Vaccine protected
S,60,3,1,2023,2,1,7,Vaccine protected
S,61,3,1,2023,3,0,8,Vaccine protected
S,62,3,1,2023,2,0,5,Vaccine protected
S,63,3,1,2023,2,0,5,Vaccine protected
S,64,3,1,2023,1,0,5,Vaccine protected
S,65,3,1,2023,2,1,4,Vaccine protected
S,66,3,1,2023,2,0,3,Vaccine protected
S,67,3,1,2023,1,0,4,Vaccine protected
S,68,3,1,2023,1,0,5,Vaccine protected
S,69,3,1,2023,1,0,4,Vaccine protected
S,70,3,1,2023,0,0,5,Vaccine protected
S,71,3,1,2023,0,0,1,Vaccine protected
S,72,3,1,2023,0,0,1,Vaccine protected
S,73,3,1,2023,0,0,1,Vaccine protected
S,74,3,1,2023,0,0,1,Vaccine protected
S,75,3,1,2023,0,0,2,Vaccine protected
S,76,3,1,2023,0,0,1,Vaccine protected
S,77,3,1,2023,0,0,0,Vaccine protected
S,78,3,1,2023,0,0,0,Vaccine protected
S,79,3,1,2023,0,0,0,Vaccine protected
S,80,3,1,2023,0,0,0,Vaccine protected
S,81,3,1,2023,0,0,0,Vaccine protected
S,82,3,1,2023,0,0,0,Vaccine protected
S,83,3,1,2023,0,0,0,Vaccine protected
S,84,3,1,2023,0,0,0,Vaccine protected
S,85,3,1,2023,0,0,0,Vaccine protected
S,86,3,1,2023,0,0,0,Vaccine protected
S,87,3,1,2023,0,0,0,Vaccine protected
S,88,3,1,2023,0,0,0,Vaccine protected
S,89,3,1,2023,0,0,0,Vaccine protected
S,90,3,1,2023,0,0,0,Vaccine protected
S,91,3,1,2023,0,0,0,Vaccine protected
S,92,3,1,2023,0,0,0,Vaccine protected
S,93,3,1,2023,0,0,0,Vaccine protected
S,94,3,1,2023,0,0,0,Vaccine protected
S,95,3,1,2023,0,0,0,Vaccine protected
S,96,3,1,2023,0,0,0,Vaccine protected
S,97,3,1,2023,0,0,0,Vaccine protected
S,98,3,1,2023,0,0,0,Vaccine protected
S,99,3,1,2023,0,0,0,Vaccine protected
S,100,3,1,2023,0,0,0,Vaccine protected
S,101,3,1,2023,0,0,0,Vaccine protected
E,1,1,1,2023,0,0,0,Exposure protected
E,2,1,1,2023,0,0,0,Exposure protected
E,3,1,1,2023,0,0,0,Exposure protected
E,4,1,1,2023,0,0,0,Exposure protected
E,5,1,1,2023,0,0,0,Exposure protected
E,6,1,1,2023,0,0,0,Exposure protected
E,7,1,1,2023,0,0,0,Exposure protected
E,8,1,1,2023,0,0,0,Exposure protected
E,9,1,1,2023,0,0,0,Exposure protected
E,10,1,1,2023,0,0,0,Exposure protected
E,11,1,1,2023,0,0,0,Exposure protected
E,12,1,1,2023,0,0,0,Exposure protected
E,13,1,1,2023,0,0,0,Exposure protected
E,14,1,1,2023,0,0,0,Exposure protected
E,15,1,1,2023,0,0,0,Exposure protected
E,16,1,1,2023,0,0,0,Exposure protected
E,17,1,1,2023,0,0,0,Exposure protected
E,18,1,1,2023,0,0,0,Exposure protected
E,19,1,1,2023,0,0,0,Exposure protected
E,20,1,1,2023,0,0,0,Exposure protected
E,21,1,1,2023,0,0,0,Exposure protected
E,22,1,1,2023,0,0,0,Exposure protected
E,23,1,1,2023,0,0,0,Exposure protected
E,24,1,1,2023,0,0,0,Exposure protected
E,25,1,1,2023,0,0,0,Exposure protected
E,26,1,1,2023,0,0,0,Exposure protected
E,27,1,1,2023,0,0,0,Exposure protected
E,28,1,1,2023,0,0,0,Exposure protected
E,29,1,1,2023,0,0,0,Exposure protected
E,30,1,1,2023,0,0,0,Exposure protected
