state,age,vaccination,risk,year,value,value_min,value_max
new_case,All,All,All,1950,5692120,5691018,5693408
new_case,All,All,All,1951,381025,372345,382295
new_case,All,All,All,1952,970164,967654,978538
new_case,All,All,All,1953,799669,795850,804048
new_case,All,All,All,1954,868573,863195,870902
new_case,All,All,All,1955,901351,900360,909962
new_case,All,All,All,1956,912597,904801,915989
new_case,All,All,All,1957,977145,968866,993887
new_case,All,All,All,1958,975721,970292,984663
new_case,All,All,All,1959,1026645,1015710,1027538
new_case,All,All,All,1960,1048032,1031006,1053063
new_case,All,All,All,1961,1066359,1057345,1082809
new_case,All,All,All,1962,1081255,1076323,1091954
new_case,All,All,All,1963,1095695,1084468,1101494
new_case,All,All,All,1964,1133989,1127231,1142927
new_case,All,All,All,1965,1125309,1121058,1128282
new_case,All,All,All,1966,1140401,1135026,1144435
new_case,All,All,All,1967,1183321,1172316,1185242
new_case,All,All,All,1968,1208286,1202306,1211567
new_case,All,All,All,1969,1246899,1239034,1256941
new_case,All,All,All,1970,1272165,1263611,1281924
new_case,All,All,All,1971,1337314,1331311,1355824
new_case,All,All,All,1972,1342787,1336519,1356514
new_case,All,All,All,1973,1384258,1362621,1400044
new_case,All,All,All,1974,1423169,1420596,1444991
new_case,All,All,All,1975,1452187,1435557,1472212
new_case,All,All,All,1976,1508978,1491059,1515177
new_case,All,All,All,1977,1548844,1537854,1553778
new_case,All,All,All,1978,1617783,1615382,1626969
new_case,All,All,All,1979,1636538,1624881,1638761
new_case,All,All,All,1980,101862,100307,102794
new_case,All,All,All,1981,4325,4325,4325
new_case,All,All,All,1982,4034,4034,4034
new_case,All,All,All,1983,3667,3667,3667
new_case,All,All,All,1984,1939,1939,1939
new_case,All,All,All,1985,4109,4109,4109
new_case,All,All,All,1986,3088,3088,3088
new_case,All,All,All,1987,915,915,915
new_case,All,All,All,1988,465,465,465
new_case,All,All,All,1989,634,634,634
new_case,All,All,All,1990,1389,1389,1389
new_case,All,All,All,1991,1389,1389,1389
new_case,All,All,All,1992,507,507,507
new_case,All,All,All,1993,556,556,556
new_case,All,All,All,1994,808,808,808
new_case,All,All,All,1995,510,510,510
new_case,All,All,All,1996,443,443,443
new_case,All,All,All,1997,973,973,973
new_case,All,All,All,1998,609,609,609
new_case,All,All,All,1999,502,502,502
new_case,All,All,All,2000,555,555,555
new_case,All,All,All,2001,474,474,474
new_case,All,All,All,2002,372,372,372
new_case,All,All,All,2003,408,408,408
new_case,All,All,All,2004,715,715,715
new_case,All,All,All,2005,836,836,836
new_case,All,All,All,2006,1183,1183,1183
new_case,All,All,All,2007,0,0,0
new_case,All,All,All,2008,0,0,0
new_case,All,All,All,2009,0,0,0
new_case,All,All,All,2010,0,0,0
new_case,All,All,All,2011,3,3,3
new_case,All,All,All,2012,8,8,8
new_case,All,All,All,2013,6,6,6
new_case,All,All,All,2014,1,1,1
new_case,All,All,All,2015,0,0,0
new_case,All,All,All,2016,2,2,2
new_case,All,All,All,2017,21,21,21
new_case,All,All,All,2018,144,144,144
new_case,All,All,All,2019,217,217,217
new_case,All,All,All,2020,1,1,1
new_case,All,All,All,2021,0,0,0
new_case,All,All,All,2022,0,0,0
new_case,All,All,All,2023,0,0,0
S,1,1,1,2023,119989.5,75222,189800
S,2,1,1,2023,158439.5,137401,164462
S,3,1,1,2023,152131,139182,156796
S,4,1,1,2023,142279,130433,152356
S,5,1,1,2023,139225,130527,149227
S,6,1,1,2023,143951.5,137834,150958
S,7,1,1,2023,155412.5,151765,160186
S,8,1,1,2023,172104,170515,176003
S,9,1,1,2023,192614,191726,195285
S,10,1,1,2023,215179.5,213317,219059
S,11,1,1,2023,237951,235012,241630
S,12,1,1,2023,259870,257063,262575
S,13,1,1,2023,280526,277721,283946
S,14,1,1,2023,299964.5,298162,302502
S,15,1,1,2023,317466,315656,319370
S,16,1,1,2023,333704.5,331984,335716
S,17,1,1,2023,348377,346657,349950
S,18,1,1,2023,361027,359574,363476
S,19,1,1,2023,372431.5,370456,375214
S,20,1,1,2023,382262,380292,384593
S,21,1,1,2023,390785.5,389598,393061
S,22,1,1,2023,398626.5,396054,402310
S,23,1,1,2023,405670,403123,408747
S,24,1,1,2023,412336.5,409141,415889
S,25,1,1,2023,418244,412960,421166
S,26,1,1,2023,423434.5,416827,426248
S,27,1,1,2023,427377,421300,430545
S,28,1,1,2023,429916,424478,434353
S,29,1,1,2023,433380,427604,437760
S,30,1,1,2023,437149.5,429540,440519
