state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,42398.5,26913,66323,Susceptible
S,2,1,1,2023,75012,60533,86548,Susceptible
S,3,1,1,2023,100090.5,89409,108949,Susceptible
S,4,1,1,2023,121862,113440,129458,Susceptible
S,5,1,1,2023,140529,134065,146536,Susceptible
S,6,1,1,2023,153803.5,150131,157731,Susceptible
S,7,1,1,2023,160703,158880,163188,Susceptible
S,8,1,1,2023,163418,159455,166968,Susceptible
S,9,1,1,2023,163207,157997,167650,Susceptible
S,10,1,1,2023,162307.5,157011,167708,Susceptible
S,11,1,1,2023,162144,157277,167362,Susceptible
S,12,1,1,2023,163375.5,159386,167919,Susceptible
S,13,1,1,2023,166807.5,163053,170448,Susceptible
S,14,1,1,2023,171447,167172,174661,Susceptible
S,15,1,1,2023,177347.5,174166,180526,Susceptible
S,16,1,1,2023,184840,182580,187570,Susceptible
S,17,1,1,2023,194463.5,192608,196174,Susceptible
S,18,1,1,2023,204701.5,202928,206946,Susceptible
S,19,1,1,2023,216498,214333,219736,Susceptible
S,20,1,1,2023,229285,226074,233446,Susceptible
S,21,1,1,2023,242424.5,238490,246841,Susceptible
S,22,1,1,2023,255232.5,251233,259528,Susceptible
S,23,1,1,2023,267536.5,264008,271704,Susceptible
S,24,1,1,2023,280012,276399,283885,Susceptible
S,25,1,1,2023,290802.5,287478,294048,Susceptible
S,26,1,1,2023,300423.5,297380,304840,Susceptible
S,27,1,1,2023,309222,306666,312986,Susceptible
S,28,1,1,2023,316779,315148,320318,Susceptible
S,29,1,1,2023,323503.5,322240,327007,Susceptible
S,30,1,1,2023,329285.5,327916,333076,Susceptible
S,31,1,1,2023,335178,332539,338325,Susceptible
S,32,1,1,2023,338923.5,336987,343113,Susceptible
S,33,1,1,2023,342105,341020,346465,Susceptible
S,34,1,1,2023,344837,342091,348772,Susceptible
S,35,1,1,2023,347837.5,343385,350784,Susceptible
S,36,1,1,2023,348691.5,344100,352123,Susceptible
S,37,1,1,2023,348417,343951,352163,Susceptible
S,38,1,1,2023,346872.5,342442,351131,Susceptible
S,39,1,1,2023,343733,339918,348528,Susceptible
S,40,1,1,2023,339277.5,334085,344371,Susceptible
S,41,1,1,2023,333216.5,327676,338885,Susceptible
S,42,1,1,2023,325001,318550,330933,Susceptible
S,43,1,1,2023,315408,308807,321221,Susceptible
S,44,1,1,2023,304712,296545,311286,Susceptible
S,45,1,1,2023,291822,283716,299590,Susceptible
S,46,1,1,2023,278800,269238,286368,Susceptible
S,47,1,1,2023,264725,255741,272666,Susceptible
S,48,1,1,2023,250034.5,241252,258427,Susceptible
S,49,1,1,2023,235072.5,226684,243346,Susceptible
S,50,1,1,2023,220500.5,211762,228589,Susceptible
S,51,1,1,2023,205851.5,197627,213721,Susceptible
S,52,1,1,2023,191449.5,183955,199403,Susceptible
S,53,1,1,2023,177705,170366,185332,Susceptible
S,54,1,1,2023,164301,157525,171212,Susceptible
S,55,1,1,2023,151519,145182,157811,Susceptible
S,56,1,1,2023,139655.5,133245,145726,Susceptible
S,57,1,1,2023,128166.5,122234,134053,Susceptible
S,58,1,1,2023,117528.5,111744,123515,Susceptible
S,59,1,1,2023,107172,101888,112803,Susceptible
S,60,1,1,2023,97821,93125,103127,Susceptible
S,61,1,1,2023,88953,84328,93533,Susceptible
S,62,1,1,2023,80469,76201,85195,Susceptible
S,63,1,1,2023,72841,68728,76983,Susceptible
S,64,1,1,2023,65471,61802,69332,Susceptible
S,65,1,1,2023,58818,55295,62542,Susceptible
S,66,1,1,2023,52343,49191,55971,Susceptible
S,67,1,1,2023,46724,43661,49863,Susceptible
S,68,1,1,2023,41246.5,38456,44259,Susceptible
S,69,1,1,2023,36385,33781,39143,Susceptible
S,70,1,1,2023,31712.5,29310,34275,Susceptible
S,71,1,1,2023,27437.5,25095,29767,Susceptible
S,72,1,1,2023,23423,21453,25570,Susceptible
S,73,1,1,2023,19798,17944,21739,Susceptible
S,74,1,1,2023,16642,14969,18359,Susceptible
S,75,1,1,2023,13887.5,12120,15389,Susceptible
S,76,1,1,2023,11425,9890,12867,Susceptible
S,77,1,1,2023,9255.5,8053,10560,Susceptible
S,78,1,1,2023,7471.5,6432,8550,Susceptible
S,79,1,1,2023,5900,5047,6845,Susceptible
S,80,1,1,2023,4590,3920,5388,Susceptible
S,81,1,1,2023,3547.5,2954,4197,Susceptible
S,82,1,1,2023,2665,2159,3186,Susceptible
S,83,1,1,2023,1965.5,1541,2386,Susceptible
S,84,1,1,2023,1427.5,1146,1766,Susceptible
S,85,1,1,2023,1003.5,744,1251,Susceptible
S,86,1,1,2023,697,530,894,Susceptible
S,87,1,1,2023,477.5,366,640,Susceptible
S,88,1,1,2023,320,236,421,Susceptible
S,89,1,1,2023,216.5,150,289,Susceptible
S,90,1,1,2023,136,78,190,Susceptible
S,91,1,1,2023,85,53,128,Susceptible
S,92,1,1,2023,50,23,82,Susceptible
S,93,1,1,2023,28,12,50,Susceptible
S,94,1,1,2023,13,7,29,Susceptible
S,95,1,1,2023,9,2,19,Susceptible
S,96,1,1,2023,5,0,13,Susceptible
S,97,1,1,2023,2,0,12,Susceptible
S,98,1,1,2023,1,0,6,Susceptible
S,99,1,1,2023,0,0,4,Susceptible
S,100,1,1,2023,0,0,3,Susceptible
S,101,1,1,2023,0,0,4,Susceptible
S,1,2,1,2023,113601.5,92485,123749,Vaccine protected
S,2,2,1,2023,225536.5,214109,228729,Vaccine protected
S,3,2,1,2023,313415.5,306507,318427,Vaccine protected
S,4,2,1,2023,382062,372352,390924,Vaccine protected
S,5,2,1,2023,434977,424983,445608,Vaccine protected
