state,age,vaccination,risk,year,value,value_min,value_max
new_case,All,All,All,1950,1911493.5,1885315,1958379
new_case,All,All,All,1951,437675.5,404327,453664
new_case,All,All,All,1952,257884,252501,265932
new_case,All,All,All,1953,208097,204501,224736
new_case,All,All,All,1954,178630,175759,180865
new_case,All,All,All,1955,162308.5,159085,165384
new_case,All,All,All,1956,152028,150509,154770
new_case,All,All,All,1957,147283,146080,148817
new_case,All,All,All,1958,140144,137887,141124
new_case,All,All,All,1959,136978,136269,138623
new_case,All,All,All,1960,135092.5,133007,135831
new_case,All,All,All,1961,133662,131726,134346
new_case,All,All,All,1962,132997.5,131559,134307
new_case,All,All,All,1963,133094,132082,133921
new_case,All,All,All,1964,136352.5,134932,137348
new_case,All,All,All,1965,134483.5,132953,136325
new_case,All,All,All,1966,135795,135212,136623
new_case,All,All,All,1967,137628,137383,138548
new_case,All,All,All,1968,139081,137579,140470
new_case,All,All,All,1969,141107.5,140125,141850
new_case,All,All,All,1970,143317,141869,144080
new_case,All,All,All,1971,147169,145725,148139
new_case,All,All,All,1972,146335,144345,147675
new_case,All,All,All,1973,148219.5,146084,149197
new_case,All,All,All,1974,150740,148709,152936
new_case,All,All,All,1975,152726,151193,154506
new_case,All,All,All,1976,155262,154209,157576
new_case,All,All,All,1977,158123,157440,158809
new_case,All,All,All,1978,164399.5,163176,164964
new_case,All,All,All,1979,164755.5,163865,165669
new_case,All,All,All,1980,49458,49071,50097
new_case,All,All,All,1981,42543.5,42279,43056
new_case,All,All,All,1982,50194.5,49850,50915
new_case,All,All,All,1983,70297.5,69568,70797
new_case,All,All,All,1984,85817,85010,86425
new_case,All,All,All,1985,61534.5,61111,62032
new_case,All,All,All,1986,35142,34824,35412
new_case,All,All,All,1987,39910,39479,40272
new_case,All,All,All,1988,24645.5,24319,24906
new_case,All,All,All,1989,63390,62704,64445
new_case,All,All,All,1990,0,0,3
new_case,All,All,All,1991,181,153,200
new_case,All,All,All,1992,5827.5,5555,5936
new_case,All,All,All,1993,1420,1362,1568
new_case,All,All,All,1994,80.5,55,110
new_case,All,All,All,1995,535,495,570
new_case,All,All,All,1996,0,0,0
new_case,All,All,All,1997,138,110,185
new_case,All,All,All,1998,21228.5,21008,21644
new_case,All,All,All,1999,62527,61786,63431
new_case,All,All,All,2000,0,0,6
new_case,All,All,All,2001,1153,1073,1290
new_case,All,All,All,2002,2140,2008,2229
new_case,All,All,All,2003,19576.5,19188,20015
new_case,All,All,All,2004,29161,28614,29704
new_case,All,All,All,2005,14249,14041,14504
new_case,All,All,All,2006,18274.5,17846,18477
new_case,All,All,All,2007,33,15,36
new_case,All,All,All,2008,17,11,31
new_case,All,All,All,2009,266.5,236,334
new_case,All,All,All,2010,1077,989,1092
new_case,All,All,All,2011,6001,5758,6118
new_case,All,All,All,2012,4836,4569,4984
new_case,All,All,All,2013,803.5,731,919
new_case,All,All,All,2014,1725.5,1627,1779
new_case,All,All,All,2015,967.5,921,1027
new_case,All,All,All,2016,277,224,315
new_case,All,All,All,2017,892.5,822,1010
new_case,All,All,All,2018,21982.5,21856,22548
new_case,All,All,All,2019,2541,2377,2714
new_case,All,All,All,2020,527.5,510,547
new_case,All,All,All,2021,9444.5,9142,9817
new_case,All,All,All,2022,45293,44844,46438
new_case,All,All,All,2023,93729.5,93055,93891
S,1,1,1,2023,189925.5,117853,304723
S,2,1,1,2023,284980,234010,313695
S,3,1,1,2023,303603,287429,309756
S,4,1,1,2023,289546,279077,296239
S,5,1,1,2023,260760,245193,274476
S,6,1,1,2023,230690,215396,246213
S,7,1,1,2023,202669,188061,218025
S,8,1,1,2023,179256.5,166988,192654
S,9,1,1,2023,163853,155450,173990
S,10,1,1,2023,155876.5,150794,162670
S,11,1,1,2023,152751.5,148901,157392
S,12,1,1,2023,155584,153896,157917
S,13,1,1,2023,162714.5,160814,165614
S,14,1,1,2023,170233.5,167441,173689
