state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,42341,29173,62198,Susceptible
S,2,1,1,2023,78392,67072,87842,Susceptible
S,3,1,1,2023,107239,100360,114250,Susceptible
S,4,1,1,2023,133532.5,128372,139301,Susceptible
S,5,1,1,2023,156360,151166,161392,Susceptible
S,6,1,1,2023,175185.5,168378,179277,Susceptible
S,7,1,1,2023,188323.5,180558,195119,Susceptible
S,8,1,1,2023,198373,189589,206663,Susceptible
S,9,1,1,2023,207978,197888,216646,Susceptible
S,10,1,1,2023,215451.5,205525,224537,Susceptible
S,11,1,1,2023,221740,211814,231851,Susceptible
S,12,1,1,2023,227328,217439,237451,Susceptible
S,13,1,1,2023,232592.5,222749,242602,Susceptible
S,14,1,1,2023,237849,228148,247605,Susceptible
S,15,1,1,2023,242537,233448,252677,Susceptible
S,16,1,1,2023,246686,237035,256934,Susceptible
S,17,1,1,2023,249037.5,239672,258881,Susceptible
S,18,1,1,2023,251622.5,241823,261691,Susceptible
S,19,1,1,2023,252512,242461,261979,Susceptible
S,20,1,1,2023,252808,241214,263206,Susceptible
S,21,1,1,2023,251632,241404,261951,Susceptible
S,22,1,1,2023,250329,239860,260652,Susceptible
S,23,1,1,2023,248109.5,238647,257795,Susceptible
S,24,1,1,2023,244884,235794,255223,Susceptible
S,25,1,1,2023,241872.5,232494,252311,Susceptible
S,26,1,1,2023,238215,228931,249110,Susceptible
S,27,1,1,2023,235022,225223,244512,Susceptible
S,28,1,1,2023,231288.5,221772,241305,Susceptible
S,29,1,1,2023,226918.5,217187,237018,Susceptible
S,30,1,1,2023,222338.5,213293,232335,Susceptible
S,31,1,1,2023,217768.5,207844,227191,Susceptible
S,32,1,1,2023,212792,203290,222776,Susceptible
S,33,1,1,2023,207115,198066,217582,Susceptible
S,34,1,1,2023,201687,191886,211438,Susceptible
S,35,1,1,2023,195815.5,186028,204837,Susceptible
S,36,1,1,2023,189910.5,180516,198160,Susceptible
S,37,1,1,2023,183405,173817,191704,Susceptible
S,38,1,1,2023,176646.5,167168,185520,Susceptible
S,39,1,1,2023,170228,160807,178242,Susceptible
S,40,1,1,2023,163700,153930,171167,Susceptible
S,41,1,1,2023,156674.5,147857,164364,Susceptible
S,42,1,1,2023,149892,141315,157375,Susceptible
S,43,1,1,2023,142856.5,135235,150433,Susceptible
S,44,1,1,2023,136432.5,128814,143600,Susceptible
S,45,1,1,2023,130076,122432,136787,Susceptible
S,46,1,1,2023,124169,116450,130967,Susceptible
S,47,1,1,2023,117960,110572,124081,Susceptible
S,48,1,1,2023,111857,105015,118035,Susceptible
S,49,1,1,2023,106104,99785,111671,Susceptible
S,50,1,1,2023,100729.5,94692,106173,Susceptible
S,51,1,1,2023,95402.5,89696,100667,Susceptible
S,52,1,1,2023,90579,85237,95681,Susceptible
S,53,1,1,2023,85856.5,81169,90565,Susceptible
S,54,1,1,2023,81201,76599,85742,Susceptible
S,55,1,1,2023,76738,72301,81001,Susceptible
S,56,1,1,2023,72617,68374,76954,Susceptible
S,57,1,1,2023,68686.5,64346,72496,Susceptible
S,58,1,1,2023,64979,60907,68720,Susceptible
S,59,1,1,2023,61094,57160,64765,Susceptible
S,60,1,1,2023,57859.5,53827,61114,Susceptible
S,61,1,1,2023,54454.5,50929,57954,Susceptible
S,62,1,1,2023,51351,48105,54395,Susceptible
S,63,1,1,2023,48443.5,45433,51356,Susceptible
S,64,1,1,2023,45487,42652,48389,Susceptible
S,65,1,1,2023,42688,40201,45333,Susceptible
S,66,1,1,2023,40103,37749,42337,Susceptible
S,67,1,1,2023,37608,35169,39890,Susceptible
S,68,1,1,2023,35083,32677,37261,Susceptible
S,69,1,1,2023,32749,30685,35155,Susceptible
S,70,1,1,2023,30467,28430,32552,Susceptible
S,71,1,1,2023,28363,26068,30637,Susceptible
S,72,1,1,2023,26155,24017,28222,Susceptible
S,73,1,1,2023,24106.5,22094,26219,Susceptible
S,74,1,1,2023,22080,20420,23960,Susceptible
S,75,1,1,2023,20215,18602,21837,Susceptible
