state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,53480.5,34873,82984,Susceptible
S,2,1,1,2023,79196,68969,82081,Susceptible
S,3,1,1,2023,85998.5,80278,87858,Susceptible
S,4,1,1,2023,94376.5,90192,98650,Susceptible
S,5,1,1,2023,114293.5,113602,115279,Susceptible
S,6,1,1,2023,147918.5,143402,155078,Susceptible
S,7,1,1,2023,196449.5,186325,209922,Susceptible
S,8,1,1,2023,256670.5,241017,274807,Susceptible
S,9,1,1,2023,325012.5,305695,346284,Susceptible
S,10,1,1,2023,398015,376362,420674,Susceptible
S,11,1,1,2023,472753,449733,495597,Susceptible
S,12,1,1,2023,548144.5,525118,571602,Susceptible
S,13,1,1,2023,625082.5,600983,648745,Susceptible
S,14,1,1,2023,701581.5,677461,726237,Susceptible
S,15,1,1,2023,778673.5,753519,803426,Susceptible
S,16,1,1,2023,854925,830750,879581,Susceptible
S,17,1,1,2023,929202.5,905612,952823,Susceptible
S,18,1,1,2023,998657.5,977160,1021125,Susceptible
S,19,1,1,2023,1060601.5,1040489,1080502,Susceptible
S,20,1,1,2023,1112891.5,1094888,1128951,Susceptible
S,21,1,1,2023,1153674,1139741,1164052,Susceptible
S,22,1,1,2023,1182051.5,1173331,1189555,Susceptible
S,23,1,1,2023,1198889,1195725,1203422,Susceptible
S,24,1,1,2023,1206582.5,1198914,1214181,Susceptible
S,25,1,1,2023,1206619.5,1194993,1216481,Susceptible
S,26,1,1,2023,1198913,1185163,1211634,Susceptible
S,27,1,1,2023,1187386.5,1173941,1201252,Susceptible
S,28,1,1,2023,1176976.5,1163093,1190405,Susceptible
S,29,1,1,2023,1166588,1153591,1179712,Susceptible
S,30,1,1,2023,1157004,1145934,1170014,Susceptible
S,31,1,1,2023,1148781.5,1138649,1160013,Susceptible
S,32,1,1,2023,1143352,1133523,1153687,Susceptible
S,33,1,1,2023,1137841.5,1128679,1148345,Susceptible
S,34,1,1,2023,1132082.5,1124294,1142348,Susceptible
S,35,1,1,2023,1124792,1116832,1135644,Susceptible
S,36,1,1,2023,1115992.5,1105698,1128617,Susceptible
S,37,1,1,2023,1104773,1094818,1118277,Susceptible
S,38,1,1,2023,1090974.5,1080269,1104401,Susceptible
S,39,1,1,2023,1073824.5,1060923,1086665,Susceptible
S,40,1,1,2023,1052239.5,1038878,1066096,Susceptible
S,41,1,1,2023,1027637.5,1012121,1043634,Susceptible
S,42,1,1,2023,999186.5,982130,1016418,Susceptible
S,43,1,1,2023,967693,948946,985276,Susceptible
S,44,1,1,2023,932993.5,912957,953085,Susceptible
S,45,1,1,2023,895647.5,875030,916456,Susceptible
S,46,1,1,2023,857042.5,835732,878345,Susceptible
S,47,1,1,2023,816788,794659,838462,Susceptible
S,48,1,1,2023,774929.5,753653,796106,Susceptible
S,49,1,1,2023,732183,711163,753279,Susceptible
S,50,1,1,2023,689925,668586,711259,Susceptible
S,51,1,1,2023,647541,626197,668418,Susceptible
S,52,1,1,2023,605498,585214,626831,Susceptible
S,53,1,1,2023,564117.5,544810,584624,Susceptible
S,54,1,1,2023,525521.5,506098,544480,Susceptible
S,55,1,1,2023,486897,467901,505806,Susceptible
S,56,1,1,2023,450040.5,432396,468320,Susceptible
S,57,1,1,2023,414914,397922,432235,Susceptible
