state,age,vaccination,risk,year,value,value_min,value_max
new_case,All,All,All,1950,17842104,17832469,17847615
new_case,All,All,All,1951,58912,58632,59176
new_case,All,All,All,1952,103919.5,103028,104386
new_case,All,All,All,1953,742865.5,731373,754955
new_case,All,All,All,1954,899165,880005,912557
new_case,All,All,All,1955,488017.5,475962,497288
new_case,All,All,All,1956,1022640,1016366,1042644
new_case,All,All,All,1957,560966,537042,564490
new_case,All,All,All,1958,934863.5,924095,966134
new_case,All,All,All,1959,673898,654080,697196
new_case,All,All,All,1960,901113,877178,920223
new_case,All,All,All,1961,844709.5,830747,867995
new_case,All,All,All,1962,883555,870784,901967
new_case,All,All,All,1963,978351.5,946965,987030
new_case,All,All,All,1964,927511,921941,947510
new_case,All,All,All,1965,1054515.5,1040851,1079620
new_case,All,All,All,1966,965221.5,951113,994564
new_case,All,All,All,1967,1120343,1079985,1127345
new_case,All,All,All,1968,1056388.5,1034585,1095173
new_case,All,All,All,1969,1145409,1096220,1163597
new_case,All,All,All,1970,1157927,1110156,1207071
new_case,All,All,All,1971,1199215,1145470,1242985
new_case,All,All,All,1972,1195333.5,1153491,1242589
new_case,All,All,All,1973,1221636.5,1179858,1262879
new_case,All,All,All,1974,1248735,1200272,1288179
new_case,All,All,All,1975,1244319.5,1203808,1282677
new_case,All,All,All,1976,1279839,1259026,1322217
new_case,All,All,All,1977,1155273.5,1112768,1179924
new_case,All,All,All,1978,1066142.5,1011390,1098602
new_case,All,All,All,1979,1327320.5,1278099,1369657
new_case,All,All,All,1980,69749.5,67866,72317
new_case,All,All,All,1981,9784,9784,9784
new_case,All,All,All,1982,10527,10527,10527
new_case,All,All,All,1983,5866,5866,5866
new_case,All,All,All,1984,9843,9843,9843
new_case,All,All,All,1985,66544,66544,66544
new_case,All,All,All,1986,3760,3760,3760
new_case,All,All,All,1987,4832,4832,4832
new_case,All,All,All,1988,7575,7575,7575
new_case,All,All,All,1989,4169,4169,4169
new_case,All,All,All,1990,1836,1836,1836
new_case,All,All,All,1991,497,497,497
new_case,All,All,All,1992,4815,4815,4815
new_case,All,All,All,1993,1152,1152,1152
new_case,All,All,All,1994,1133,1133,1133
new_case,All,All,All,1995,562,562,562
new_case,All,All,All,1996,1586,1586,1586
new_case,All,All,All,1997,1113,1113,1113
new_case,All,All,All,1998,1603,1603,1603
new_case,All,All,All,1999,5329,5329,5329
new_case,All,All,All,2000,1660,1660,1660
new_case,All,All,All,2001,2366,2366,2366
new_case,All,All,All,2002,3332,3332,3332
