state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,289572,179752,464725,Susceptible
S,2,1,1,2023,325205,293960,336460,Susceptible
S,3,1,1,2023,269779,230249,289185,Susceptible
S,4,1,1,2023,213768,187058,241833,Susceptible
S,5,1,1,2023,182637.5,166896,202770,Susceptible
S,6,1,1,2023,171323,163467,182848,Susceptible
S,7,1,1,2023,211823,201561,233346,Susceptible
S,8,1,1,2023,278222.5,254529,307186,Susceptible
S,9,1,1,2023,354264,324427,386185,Susceptible
S,10,1,1,2023,433863,402283,465964,Susceptible
S,11,1,1,2023,512459.5,480792,544405,Susceptible
S,12,1,1,2023,589638,558475,620491,Susceptible
S,13,1,1,2023,665079.5,634639,696221,Susceptible
S,14,1,1,2023,742604.5,712022,773656,Susceptible
S,15,1,1,2023,820473.5,789726,851588,Susceptible
S,16,1,1,2023,897163,866669,928272,Susceptible
S,17,1,1,2023,975036.5,943103,1005501,Susceptible
S,18,1,1,2023,1055663,1022749,1089711,Susceptible
S,19,1,1,2023,1143559,1106878,1181828,Susceptible
S,20,1,1,2023,1238956,1198854,1281091,Susceptible
S,21,1,1,2023,1335584,1294233,1377639,Susceptible
S,22,1,1,2023,1423179,1383085,1459208,Susceptible
S,23,1,1,2023,1492617.5,1460228,1521324,Susceptible
S,24,1,1,2023,1541001,1518366,1562510,Susceptible
S,25,1,1,2023,1569149,1554510,1583011,Susceptible
S,26,1,1,2023,1582006.5,1573237,1589809,Susceptible
S,27,1,1,2023,1582544.5,1573562,1592466,Susceptible
S,28,1,1,2023,1576958,1563663,1591620,Susceptible
S,29,1,1,2023,1565806.5,1550862,1582562,Susceptible
S,30,1,1,2023,1551544.5,1536405,1564785,Susceptible
S,31,1,1,2023,1534163.5,1520142,1548397,Susceptible
S,32,1,1,2023,1514769,1500772,1530248,Susceptible
S,33,1,1,2023,1493030.5,1477586,1508089,Susceptible
S,34,1,1,2023,1466749.5,1449603,1483006,Susceptible
S,35,1,1,2023,1434376.5,1415774,1452773,Susceptible
S,36,1,1,2023,1396697,1374962,1416683,Susceptible
S,37,1,1,2023,1351990,1327870,1374651,Susceptible
S,38,1,1,2023,1299409.5,1272342,1325358,Susceptible
S,39,1,1,2023,1240425.5,1209754,1269627,Susceptible
S,40,1,1,2023,1173674,1140492,1206116,Susceptible
S,41,1,1,2023,1100250,1064129,1135999,Susceptible
S,42,1,1,2023,1021734.5,982707,1059483,Susceptible
S,43,1,1,2023,938130.5,897311,977675,Susceptible
S,44,1,1,2023,851693,809833,892833,Susceptible
S,45,1,1,2023,764439.5,722506,806903,Susceptible
S,46,1,1,2023,677785,636680,719486,Susceptible
S,47,1,1,2023,594296.5,554309,634286,Susceptible
S,48,1,1,2023,513954.5,476594,552387,Susceptible
S,49,1,1,2023,439555.5,404182,475590,Susceptible
S,50,1,1,2023,370532,338819,403284,Susceptible
S,51,1,1,2023,308288.5,279653,338811,Susceptible
S,52,1,1,2023,253294,227821,280578,Susceptible
S,53,1,1,2023,205365.5,183383,229687,Susceptible
S,54,1,1,2023,164457,145417,184592,Susceptible
S,55,1,1,2023,129713.5,114095,146854,Susceptible
S,56,1,1,2023,101233.5,88429,115478,Susceptible
S,57,1,1,2023,77991,67276,89818,Susceptible
S,58,1,1,2023,59164.5,50476,68602,Susceptible
S,59,1,1,2023,44184,37570,51908,Susceptible
S,60,1,1,2023,32715,27483,38776,Susceptible
S,61,1,1,2023,23812.5,19738,28486,Susceptible
S,62,1,1,2023,17158.5,14080,20741,Susceptible
S,63,1,1,2023,12144,9860,14820,Susceptible
S,64,1,1,2023,8406,6759,10371,Susceptible
S,65,1,1,2023,5709,4499,7201,Susceptible
S,66,1,1,2023,3805,2943,4831,Susceptible
S,67,1,1,2023,2482.5,1842,3223,Susceptible
S,68,1,1,2023,1586.5,1160,2131,Susceptible
S,69,1,1,2023,969,668,1336,Susceptible
S,70,1,1,2023,539,338,832,Susceptible
S,71,1,1,2023,296.5,169,456,Susceptible
S,72,1,1,2023,144,67,252,Susceptible
S,73,1,1,2023,44,1,119,Susceptible
S,74,1,1,2023,9,0,37,Susceptible
S,75,1,1,2023,1,0,9,Susceptible
S,76,1,1,2023,0,0,4,Susceptible
S,77,1,1,2023,0,0,2,Susceptible
S,78,1,1,2023,0,0,1,Susceptible
S,79,1,1,2023,0,0,0,Susceptible
S,80,1,1,2023,0,0,0,Susceptible
S,81,1,1,2023,0,0,0,Susceptible
S,82,1,1,2023,0,0,0,Susceptible
S,83,1,1,2023,0,0,0,Susceptible
S,84,1,1,2023,0,0,0,Susceptible
S,85,1,1,2023,0,0,0,Susceptible
S,86,1,1,2023,0,0,0,Susceptible
S,87,1,1,2023,0,0,0,Susceptible
S,88,1,1,2023,0,0,0,Susceptible
S,89,1,1,2023,0,0,0,Susceptible
S,90,1,1,2023,0,0,0,Susceptible
S,91,1,1,2023,0,0,0,Susceptible
S,92,1,1,2023,0,0,0,Susceptible
S,93,1,1,2023,0,0,0,Susceptible
S,94,1,1,2023,0,0,0,Susceptible
S,95,1,1,2023,0,0,0,Susceptible
S,96,1,1,2023,0,0,0,Susceptible
S,97,1,1,2023,0,0,0,Susceptible
S,98,1,1,2023,0,0,0,Susceptible
S,99,1,1,2023,0,0,0,Susceptible
S,100,1,1,2023,0,0,0,Susceptible
S,101,1,1,2023,0,0,0,Susceptible
S,1,2,1,2023,130408.5,106548,141397,Vaccine protected
S,2,2,1,2023,70196,60815,78636,Vaccine protected
S,3,2,1,2023,145642.5,129019,162739,Vaccine protected
S,4,2,1,2023,251874.5,226439,278781,Vaccine protected
S,5,2,1,2023,383590,350969,415989,Vaccine protected
S,6,2,1,2023,523125.5,489976,553364,Vaccine protected
S,7,2,1,2023,649678.5,623169,670380,Vaccine protected
S,8,2,1,2023,750448.5,735459,758657,Vaccine protected
S,9,2,1,2023,821584.5,816575,825589,Vaccine protected
S,10,2,1,2023,872290.5,859068,883636,Vaccine protected
S,11,2,1,2023,905264,887497,920661,Vaccine protected
S,12,2,1,2023,926046,905573,944969,Vaccine protected
S,13,2,1,2023,935923.5,913138,957412,Vaccine protected
S,14,2,1,2023,936061.5,910541,959836,Vaccine protected
S,15,2,1,2023,926561.5,898809,953012,Vaccine protected
S,16,2,1,2023,907822.5,877884,937318,Vaccine protected
S,17,2,1,2023,882181,849612,913322,Vaccine protected
S,18,2,1,2023,847949.5,813550,880660,Vaccine protected
S,19,2,1,2023,806795,770843,841520,Vaccine protected
S,20,2,1,2023,758776,722302,795713,Vaccine protected
S,21,2,1,2023,707824,672102,744173,Vaccine protected
S,22,2,1,2023,656359.5,622791,691041,Vaccine protected
S,23,2,1,2023,607386,576070,639677,Vaccine protected
S,24,2,1,2023,561151,533029,591159,Vaccine protected
S,25,2,1,2023,519179,494105,544986,Vaccine protected
S,26,2,1,2023,480409.5,458686,504300,Vaccine protected
S,27,2,1,2023,445319,424453,466226,Vaccine protected
S,28,2,1,2023,411166,391808,430763,Vaccine protected
S,29,2,1,2023,378685,360250,397600,Vaccine protected
S,30,2,1,2023,346756.5,329516,364549,Vaccine protected
S,31,2,1,2023,315893.5,299430,332673,Vaccine protected
S,32,2,1,2023,286173,270496,302082,Vaccine protected
S,33,2,1,2023,257514,242519,272657,Vaccine protected
S,34,2,1,2023,230303.5,216203,244985,Vaccine protected
S,35,2,1,2023,204991.5,192130,218343,Vaccine protected
S,36,2,1,2023,181434.5,169859,193809,Vaccine protected
S,37,2,1,2023,159570,148723,171067,Vaccine protected
S,38,2,1,2023,139552,129961,149809,Vaccine protected
S,39,2,1,2023,121504.5,112851,130526,Vaccine protected
S,40,2,1,2023,105393,97210,113653,Vaccine protected
S,41,2,1,2023,90783,83401,98518,Vaccine protected
S,42,2,1,2023,77673,71290,84456,Vaccine protected
S,43,2,1,2023,66057.5,60542,71994,Vaccine protected
S,44,2,1,2023,55808,50884,61003,Vaccine protected
S,45,2,1,2023,46981,42644,51608,Vaccine protected
S,46,2,1,2023,39259,35695,43140,Vaccine protected
S,47,2,1,2023,32836.5,29782,36144,Vaccine protected
S,48,2,1,2023,27349,24665,30217,Vaccine protected
S,49,2,1,2023,22612.5,20128,25072,Vaccine protected
S,50,2,1,2023,18536,16583,20662,Vaccine protected
S,51,2,1,2023,15202,13492,17068,Vaccine protected
S,52,2,1,2023,12400,10973,14067,Vaccine protected
S,53,2,1,2023,10037,8921,11323,Vaccine protected
S,54,2,1,2023,8136.5,7195,9127,Vaccine protected
S,55,2,1,2023,6502.5,5648,7407,Vaccine protected
S,56,2,1,2023,5144.5,4401,5994,Vaccine protected
S,57,2,1,2023,4014.5,3431,4731,Vaccine protected
S,58,2,1,2023,3190.5,2640,3769,Vaccine protected
S,59,2,1,2023,2493.5,2045,3007,Vaccine protected
S,60,2,1,2023,1914.5,1592,2363,Vaccine protected
S,61,2,1,2023,1461.5,1185,1796,Vaccine protected
S,62,2,1,2023,1129,912,1384,Vaccine protected
S,63,2,1,2023,859,663,1010,Vaccine protected
S,64,2,1,2023,627.5,495,811,Vaccine protected
S,65,2,1,2023,454.5,338,593,Vaccine protected
S,66,2,1,2023,333,224,420,Vaccine protected
S,67,2,1,2023,229,135,318,Vaccine protected
S,68,2,1,2023,162,101,216,Vaccine protected
S,69,2,1,2023,117,93,156,Vaccine protected
S,70,2,1,2023,81,56,105,Vaccine protected
S,71,2,1,2023,57,31,86,Vaccine protected
S,72,2,1,2023,35,17,65,Vaccine protected
S,73,2,1,2023,22,10,38,Vaccine protected
S,74,2,1,2023,12,7,28,Vaccine protected
S,75,2,1,2023,10,2,24,Vaccine protected
S,76,2,1,2023,5,1,15,Vaccine protected
S,77,2,1,2023,4,1,12,Vaccine protected
S,78,2,1,2023,2,0,11,Vaccine protected
S,79,2,1,2023,1,0,8,Vaccine protected
S,80,2,1,2023,1,0,7,Vaccine protected
S,81,2,1,2023,0,0,5,Vaccine protected
S,82,2,1,2023,0,0,7,Vaccine protected
S,83,2,1,2023,0,0,6,Vaccine protected
S,84,2,1,2023,0,0,5,Vaccine protected
S,85,2,1,2023,0,0,3,Vaccine protected
S,86,2,1,2023,0,0,1,Vaccine protected
S,87,2,1,2023,0,0,0,Vaccine protected
S,88,2,1,2023,0,0,1,Vaccine protected
S,89,2,1,2023,0,0,1,Vaccine protected
S,90,2,1,2023,0,0,1,Vaccine protected
S,91,2,1,2023,0,0,1,Vaccine protected
S,92,2,1,2023,0,0,0,Vaccine protected
S,93,2,1,2023,0,0,0,Vaccine protected
S,94,2,1,2023,0,0,0,Vaccine protected
S,95,2,1,2023,0,0,0,Vaccine protected
S,96,2,1,2023,0,0,0,Vaccine protected
S,97,2,1,2023,0,0,0,Vaccine protected
S,98,2,1,2023,0,0,0,Vaccine protected
S,99,2,1,2023,0,0,0,Vaccine protected
S,100,2,1,2023,0,0,0,Vaccine protected
S,101,2,1,2023,0,0,0,Vaccine protected
S,1,3,1,2023,2287841,1392346,3739510,Vaccine protected
S,2,3,1,2023,762823.5,577693,945294,Vaccine protected
S,3,3,1,2023,1070708.5,900995,1228720,Vaccine protected
S,4,3,1,2023,1372140.5,1203427,1542126,Vaccine protected
S,5,3,1,2023,1684909,1507395,1869053,Vaccine protected
S,6,3,1,2023,1973157,1798784,2146529,Vaccine protected
S,7,3,1,2023,2150754,2016578,2263505,Vaccine protected
S,8,3,1,2023,2215258.5,2130788,2276278,Vaccine protected
S,9,3,1,2023,2185911,2146783,2209908,Vaccine protected
S,10,3,1,2023,2096019,2079596,2106721,Vaccine protected
S,11,3,1,2023,1980510.5,1956543,1998543,Vaccine protected
S,12,3,1,2023,1856820.5,1830616,1880927,Vaccine protected
S,13,3,1,2023,1734160,1708619,1759906,Vaccine protected
S,14,3,1,2023,1617982,1591964,1644111,Vaccine protected
S,15,3,1,2023,1507147.5,1481185,1532926,Vaccine protected
S,16,3,1,2023,1401778.5,1375543,1427771,Vaccine protected
S,17,3,1,2023,1298147,1271017,1323958,Vaccine protected
S,18,3,1,2023,1191718,1161958,1220256,Vaccine protected
S,19,3,1,2023,1077553.5,1041911,1110889,Vaccine protected
S,20,3,1,2023,956524.5,914877,994762,Vaccine protected
S,21,3,1,2023,833291.5,788258,875042,Vaccine protected
S,22,3,1,2023,715832,673060,757131,Vaccine protected
S,23,3,1,2023,610132,571719,649342,Vaccine protected
S,24,3,1,2023,520478,488493,554538,Vaccine protected
S,25,3,1,2023,446030.5,420762,474108,Vaccine protected
S,26,3,1,2023,386764,366447,408976,Vaccine protected
S,27,3,1,2023,337449.5,320565,355087,Vaccine protected
S,28,3,1,2023,295420,281350,310356,Vaccine protected
S,29,3,1,2023,259037,246474,271862,Vaccine protected
S,30,3,1,2023,226910.5,215704,238160,Vaccine protected
S,31,3,1,2023,198385,188337,208718,Vaccine protected
S,32,3,1,2023,172541,163717,181668,Vaccine protected
S,33,3,1,2023,149882,141752,158149,Vaccine protected
S,34,3,1,2023,129277,121956,136682,Vaccine protected
S,35,3,1,2023,110868.5,104199,117580,Vaccine protected
S,36,3,1,2023,94607,88716,100717,Vaccine protected
S,37,3,1,2023,80268,74935,85779,Vaccine protected
S,38,3,1,2023,67675.5,63371,72403,Vaccine protected
S,39,3,1,2023,57021,53233,61281,Vaccine protected
S,40,3,1,2023,47948.5,44233,51800,Vaccine protected
S,41,3,1,2023,39896.5,36680,43389,Vaccine protected
S,42,3,1,2023,33147,30227,36003,Vaccine protected
S,43,3,1,2023,27334.5,24900,29663,Vaccine protected
S,44,3,1,2023,22604.5,20479,24676,Vaccine protected
S,45,3,1,2023,18614.5,16797,20471,Vaccine protected
S,46,3,1,2023,15121,13523,16856,Vaccine protected
S,47,3,1,2023,12275.5,10985,13534,Vaccine protected
S,48,3,1,2023,9860.5,8894,10972,Vaccine protected
S,49,3,1,2023,7966.5,7056,8932,Vaccine protected
S,50,3,1,2023,6379.5,5584,7111,Vaccine protected
S,51,3,1,2023,5067.5,4473,5697,Vaccine protected
S,52,3,1,2023,4026.5,3572,4556,Vaccine protected
S,53,3,1,2023,3196.5,2815,3581,Vaccine protected
S,54,3,1,2023,2550,2221,2933,Vaccine protected
S,55,3,1,2023,2023.5,1727,2289,Vaccine protected
S,56,3,1,2023,1570.5,1321,1822,Vaccine protected
S,57,3,1,2023,1191.5,943,1407,Vaccine protected
S,58,3,1,2023,905.5,715,1089,Vaccine protected
S,59,3,1,2023,710,567,851,Vaccine protected
