state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,156586,97752,251429,Susceptible
S,2,1,1,2023,241258,197450,266889,Susceptible
S,3,1,1,2023,227662.5,210645,231315,Susceptible
S,4,1,1,2023,177291.5,146597,198395,Susceptible
S,5,1,1,2023,131846.5,109368,155447,Susceptible
S,6,1,1,2023,107901.5,96343,123984,Susceptible
S,7,1,1,2023,102013,97816,109766,Susceptible
S,8,1,1,2023,106615.5,105673,108889,Susceptible
S,9,1,1,2023,116281,114825,118245,Susceptible
S,10,1,1,2023,127771,125555,130679,Susceptible
S,11,1,1,2023,140566,137748,143369,Susceptible
S,12,1,1,2023,154063,151103,156838,Susceptible
S,13,1,1,2023,167780,164812,171051,Susceptible
S,14,1,1,2023,181645,178631,185353,Susceptible
S,15,1,1,2023,196528.5,193010,200287,Susceptible
S,16,1,1,2023,211329,207370,214680,Susceptible
S,17,1,1,2023,225177.5,221678,228224,Susceptible
S,18,1,1,2023,238077.5,235343,240736,Susceptible
S,19,1,1,2023,249758.5,246934,251953,Susceptible
S,20,1,1,2023,259543,257661,261428,Susceptible
S,21,1,1,2023,266951.5,265174,268972,Susceptible
S,22,1,1,2023,273537,271341,276223,Susceptible
S,23,1,1,2023,279457,276522,281583,Susceptible
S,24,1,1,2023,284856,282465,287025,Susceptible
S,25,1,1,2023,291137.5,289446,292585,Susceptible
S,26,1,1,2023,299560,297339,300593,Susceptible
S,27,1,1,2023,309848.5,307523,312155,Susceptible
S,28,1,1,2023,322529.5,318838,325808,Susceptible
S,29,1,1,2023,338764.5,334047,344189,Susceptible
S,30,1,1,2023,358009.5,351434,365683,Susceptible
S,31,1,1,2023,380899,372364,389556,Susceptible
S,32,1,1,2023,406695,397235,415910,Susceptible
S,33,1,1,2023,433224.5,422879,443288,Susceptible
S,34,1,1,2023,460962.5,450220,472001,Susceptible
S,35,1,1,2023,489093,478044,499947,Susceptible
S,36,1,1,2023,516072.5,504862,526991,Susceptible
S,37,1,1,2023,540883.5,531156,550922,Susceptible
S,38,1,1,2023,563756.5,554469,572100,Susceptible
S,39,1,1,2023,582980,574825,590605,Susceptible
S,40,1,1,2023,598815.5,592163,604797,Susceptible
S,41,1,1,2023,610319.5,605235,614639,Susceptible
S,42,1,1,2023,616785.5,613589,619879,Susceptible
S,43,1,1,2023,618066,616455,621843,Susceptible
S,44,1,1,2023,617097.5,613438,621466,Susceptible
S,45,1,1,2023,611726.5,605580,617522,Susceptible
S,46,1,1,2023,602704.5,595294,611136,Susceptible
S,47,1,1,2023,591055.5,582136,599770,Susceptible
S,48,1,1,2023,575932.5,565590,586264,Susceptible
S,49,1,1,2023,558811.5,547977,569736,Susceptible
S,50,1,1,2023,539387,526748,551122,Susceptible
S,51,1,1,2023,519361,507359,530563,Susceptible
S,52,1,1,2023,498476,485969,509972,Susceptible
S,53,1,1,2023,476350,462824,489013,Susceptible
S,54,1,1,2023,452803,439408,466476,Susceptible
S,55,1,1,2023,430269,417372,443167,Susceptible
S,56,1,1,2023,407266,393809,420018,Susceptible
S,57,1,1,2023,384158.5,371284,396896,Susceptible
S,58,1,1,2023,361182,348589,373758,Susceptible
S,59,1,1,2023,338478.5,326487,350748,Susceptible
S,60,1,1,2023,316329,304873,328402,Susceptible
S,61,1,1,2023,294192,283198,305558,Susceptible
S,62,1,1,2023,272966,262876,284024,Susceptible
S,63,1,1,2023,252038.5,241606,262559,Susceptible
S,64,1,1,2023,232401,222574,242293,Susceptible
S,65,1,1,2023,213586.5,204113,223009,Susceptible
S,66,1,1,2023,194862,185624,203862,Susceptible
S,67,1,1,2023,176914.5,168036,185430,Susceptible
S,68,1,1,2023,159609.5,151453,168097,Susceptible
S,69,1,1,2023,143436,135578,151443,Susceptible
S,70,1,1,2023,128244,120913,135734,Susceptible
S,71,1,1,2023,113562.5,106760,120894,Susceptible
S,72,1,1,2023,100095,93480,106848,Susceptible
S,73,1,1,2023,87336.5,81420,93519,Susceptible
S,74,1,1,2023,75493,69862,81409,Susceptible
S,75,1,1,2023,64825,59850,70151,Susceptible
S,76,1,1,2023,55173,50528,59930,Susceptible
S,77,1,1,2023,46437.5,42160,50718,Susceptible
S,78,1,1,2023,38576,34938,42571,Susceptible
S,79,1,1,2023,31682.5,28589,35200,Susceptible
S,80,1,1,2023,25825.5,23074,28889,Susceptible
S,81,1,1,2023,20605.5,18316,23251,Susceptible
S,82,1,1,2023,16339.5,14325,18526,Susceptible
S,83,1,1,2023,12735,11065,14631,Susceptible
S,84,1,1,2023,9852.5,8536,11316,Susceptible
S,85,1,1,2023,7487.5,6368,8828,Susceptible
S,86,1,1,2023,5592,4745,6593,Susceptible
S,87,1,1,2023,4123.5,3420,4891,Susceptible
S,88,1,1,2023,2987.5,2443,3579,Susceptible
S,89,1,1,2023,2129.5,1713,2636,Susceptible
S,90,1,1,2023,1496,1169,1870,Susceptible
S,91,1,1,2023,1044,797,1346,Susceptible
S,92,1,1,2023,710,541,929,Susceptible
S,93,1,1,2023,456,346,610,Susceptible
S,94,1,1,2023,305,219,418,Susceptible
S,95,1,1,2023,192,139,291,Susceptible
S,96,1,1,2023,123,79,178,Susceptible
S,97,1,1,2023,67,44,119,Susceptible
S,98,1,1,2023,48,22,74,Susceptible
S,99,1,1,2023,27,15,41,Susceptible
S,100,1,1,2023,15,5,27,Susceptible
S,101,1,1,2023,20,7,34,Susceptible
S,1,2,1,2023,55795,45374,60830,Vaccine protected
S,2,2,1,2023,120241.5,110783,125247,Vaccine protected
S,3,2,1,2023,187917,178670,196377,Vaccine protected
S,4,2,1,2023,255319,245733,263651,Vaccine protected
S,5,2,1,2023,315892.5,308173,321506,Vaccine protected
S,6,2,1,2023,365377,360808,368350,Vaccine protected
S,7,2,1,2023,405324.5,403626,407159,Vaccine protected
S,8,2,1,2023,437755.5,435566,440087,Vaccine protected
S,9,2,1,2023,464268,461420,466548,Vaccine protected
S,10,2,1,2023,485661.5,482188,489390,Vaccine protected
S,11,2,1,2023,503449,500329,506975,Vaccine protected
S,12,2,1,2023,518223.5,514982,521703,Vaccine protected
S,13,2,1,2023,530113.5,525219,533808,Vaccine protected
S,14,2,1,2023,539274.5,535348,542491,Vaccine protected
S,15,2,1,2023,546842,542193,550782,Vaccine protected
S,16,2,1,2023,552547.5,547323,556449,Vaccine protected
S,17,2,1,2023,556826.5,551723,559618,Vaccine protected
S,18,2,1,2023,561151.5,556772,563111,Vaccine protected
S,19,2,1,2023,564466.5,560147,565733,Vaccine protected
S,20,2,1,2023,567267,563124,570101,Vaccine protected
S,21,2,1,2023,570434.5,568119,573918,Vaccine protected
S,22,2,1,2023,574050.5,569677,576384,Vaccine protected
S,23,2,1,2023,576478,572029,579995,Vaccine protected
S,24,2,1,2023,578072,572724,580527,Vaccine protected
S,25,2,1,2023,576792,571575,578905,Vaccine protected
S,26,2,1,2023,573308.5,567801,576742,Vaccine protected
S,27,2,1,2023,566102,560189,571932,Vaccine protected
S,28,2,1,2023,556227.5,547966,562652,Vaccine protected
S,29,2,1,2023,542695.5,533933,550170,Vaccine protected
S,30,2,1,2023,525053,516150,533732,Vaccine protected
S,31,2,1,2023,503666,493796,513371,Vaccine protected
S,32,2,1,2023,479153,467593,489722,Vaccine protected
S,33,2,1,2023,451160.5,438580,463202,Vaccine protected
S,34,2,1,2023,421575.5,408692,434461,Vaccine protected
S,35,2,1,2023,391111.5,377182,404239,Vaccine protected
S,36,2,1,2023,359215.5,345744,372936,Vaccine protected
S,37,2,1,2023,328623,314841,342105,Vaccine protected
S,38,2,1,2023,298227.5,285057,311582,Vaccine protected
S,39,2,1,2023,269604,256677,282285,Vaccine protected
S,40,2,1,2023,242270.5,230127,254995,Vaccine protected
S,41,2,1,2023,217608,206837,228914,Vaccine protected
S,42,2,1,2023,195279,185461,205349,Vaccine protected
S,43,2,1,2023,175182.5,166358,184198,Vaccine protected
S,44,2,1,2023,157300.5,149634,165314,Vaccine protected
