state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,181085,112541,290761,Susceptible
S,2,1,1,2023,265346.5,218568,287409,Susceptible
S,3,1,1,2023,244070.5,223089,248341,Susceptible
S,4,1,1,2023,188410.5,158500,210891,Susceptible
S,5,1,1,2023,141809,120298,165096,Susceptible
S,6,1,1,2023,115150.5,103979,130658,Susceptible
S,7,1,1,2023,104539.5,100402,112340,Susceptible
S,8,1,1,2023,104807,103842,107180,Susceptible
S,9,1,1,2023,111302,109466,113685,Susceptible
S,10,1,1,2023,120749.5,117636,124405,Susceptible
S,11,1,1,2023,132102,128145,136439,Susceptible
S,12,1,1,2023,144614.5,140278,149219,Susceptible
S,13,1,1,2023,158504.5,153506,163518,Susceptible
S,14,1,1,2023,172783,167332,178366,Susceptible
S,15,1,1,2023,187213,182046,192888,Susceptible
S,16,1,1,2023,200937.5,196222,205944,Susceptible
S,17,1,1,2023,213099.5,208777,216919,Susceptible
S,18,1,1,2023,223226,219627,226189,Susceptible
S,19,1,1,2023,231341,228622,234364,Susceptible
S,20,1,1,2023,238329.5,234980,240869,Susceptible
S,21,1,1,2023,243548,242061,245775,Susceptible
S,22,1,1,2023,248481,246331,250668,Susceptible
S,23,1,1,2023,253411.5,251380,256256,Susceptible
S,24,1,1,2023,259555.5,257567,262472,Susceptible
S,25,1,1,2023,267572.5,265299,270252,Susceptible
S,26,1,1,2023,279393.5,274743,283444,Susceptible
S,27,1,1,2023,295002.5,288966,300679,Susceptible
S,28,1,1,2023,314381.5,306628,322163,Susceptible
S,29,1,1,2023,338209,328934,348186,Susceptible
S,30,1,1,2023,366593,355485,378912,Susceptible
S,31,1,1,2023,397750,385001,411648,Susceptible
S,32,1,1,2023,431071.5,416414,445781,Susceptible
S,33,1,1,2023,464931.5,450160,480002,Susceptible
S,34,1,1,2023,498236,483344,512694,Susceptible
S,35,1,1,2023,529147,514396,542331,Susceptible
S,36,1,1,2023,554703,542620,566614,Susceptible
S,37,1,1,2023,575396.5,565453,584742,Susceptible
S,38,1,1,2023,589889,580723,597073,Susceptible
S,39,1,1,2023,596867,589908,600073,Susceptible
S,40,1,1,2023,594235.5,589770,597317,Susceptible
S,41,1,1,2023,584028.5,576381,589990,Susceptible
S,42,1,1,2023,566338,555536,575704,Susceptible
S,43,1,1,2023,541091.5,527123,553370,Susceptible
S,44,1,1,2023,509103.5,492612,524125,Susceptible
S,45,1,1,2023,473343.5,455214,490530,Susceptible
S,46,1,1,2023,434344.5,414881,452951,Susceptible
S,47,1,1,2023,392774.5,372479,412321,Susceptible
S,48,1,1,2023,350721.5,330561,370568,Susceptible
S,49,1,1,2023,309743,289488,329229,Susceptible
S,50,1,1,2023,269890.5,250656,289360,Susceptible
S,51,1,1,2023,232465,214624,251092,Susceptible
S,52,1,1,2023,198260,181847,215229,Susceptible
S,53,1,1,2023,167437.5,152799,182639,Susceptible
S,54,1,1,2023,139660.5,126629,153514,Susceptible
S,55,1,1,2023,115318.5,103769,127444,Susceptible
