state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,81783.5,53884,124846,Susceptible
S,2,1,1,2023,132244.5,114095,140430,Susceptible
S,3,1,1,2023,161854.5,157179,163177,Susceptible
S,4,1,1,2023,191462.5,189961,192554,Susceptible
S,5,1,1,2023,224644.5,223769,226117,Susceptible
S,6,1,1,2023,261192.5,259686,262649,Susceptible
S,7,1,1,2023,298644,295485,299447,Susceptible
S,8,1,1,2023,334076.5,331877,335519,Susceptible
S,9,1,1,2023,368300.5,365450,370291,Susceptible
S,10,1,1,2023,400575,396973,402856,Susceptible
S,11,1,1,2023,431157.5,428241,434209,Susceptible
S,12,1,1,2023,460574,458177,463787,Susceptible
S,13,1,1,2023,489913.5,487102,493091,Susceptible
S,14,1,1,2023,519904,518431,522234,Susceptible
S,15,1,1,2023,549508,546636,552647,Susceptible
S,16,1,1,2023,577840,575870,583225,Susceptible
S,17,1,1,2023,607612.5,603897,611768,Susceptible
S,18,1,1,2023,634643,629634,638394,Susceptible
S,19,1,1,2023,661200,655943,664021,Susceptible
S,20,1,1,2023,685193.5,681776,688915,Susceptible
S,21,1,1,2023,708258.5,704357,712590,Susceptible
S,22,1,1,2023,728970.5,724614,732001,Susceptible
S,23,1,1,2023,747379.5,744251,751348,Susceptible
S,24,1,1,2023,764228,760937,767409,Susceptible
S,25,1,1,2023,779196,775976,783852,Susceptible
S,26,1,1,2023,792913,789285,798278,Susceptible
S,27,1,1,2023,805409.5,801027,809523,Susceptible
S,28,1,1,2023,816648,812153,819667,Susceptible
S,29,1,1,2023,826643,822182,829411,Susceptible
S,30,1,1,2023,836379,833310,838479,Susceptible
S,31,1,1,2023,844879,841511,846659,Susceptible
S,32,1,1,2023,852412,848503,855026,Susceptible
S,33,1,1,2023,858921,854131,862758,Susceptible
S,34,1,1,2023,863495.5,857996,868835,Susceptible
S,35,1,1,2023,866936.5,860214,871584,Susceptible
S,36,1,1,2023,869735,861331,872194,Susceptible
S,37,1,1,2023,870197,861471,873092,Susceptible
S,38,1,1,2023,867775.5,862045,872969,Susceptible
S,39,1,1,2023,864465.5,856391,870015,Susceptible
S,40,1,1,2023,859114,851214,865217,Susceptible
S,41,1,1,2023,851736,843090,859108,Susceptible
S,42,1,1,2023,842226.5,832180,850589,Susceptible
S,43,1,1,2023,831370.5,821175,841143,Susceptible
S,44,1,1,2023,819163,808162,828886,Susceptible
S,45,1,1,2023,806320,795563,817218,Susceptible
S,46,1,1,2023,791606,780797,801695,Susceptible
S,47,1,1,2023,775765.5,764838,785176,Susceptible
S,48,1,1,2023,759486,748399,769596,Susceptible
S,49,1,1,2023,741587,730284,752637,Susceptible
S,50,1,1,2023,723520,712536,734274,Susceptible
S,51,1,1,2023,704717.5,693316,715628,Susceptible
S,52,1,1,2023,685368.5,673957,696804,Susceptible
S,53,1,1,2023,665769.5,655277,676882,Susceptible
S,54,1,1,2023,646137.5,636128,656723,Susceptible
S,55,1,1,2023,626570.5,616439,636303,Susceptible
S,56,1,1,2023,607075,596867,616953,Susceptible
S,57,1,1,2023,587122,576421,597293,Susceptible
S,58,1,1,2023,566205.5,555226,576798,Susceptible
S,59,1,1,2023,545053.5,534909,555435,Susceptible
S,60,1,1,2023,524314,513110,534962,Susceptible
S,61,1,1,2023,502783,491944,513907,Susceptible
S,62,1,1,2023,481184,469243,492769,Susceptible
S,63,1,1,2023,459187,447125,471129,Susceptible
S,64,1,1,2023,437057.5,424811,448926,Susceptible
S,65,1,1,2023,415579.5,403483,427156,Susceptible
S,66,1,1,2023,393503.5,381911,405146,Susceptible
S,67,1,1,2023,371258.5,359403,383059,Susceptible
S,68,1,1,2023,348465,336828,360469,Susceptible
S,69,1,1,2023,325981.5,314280,337748,Susceptible
S,70,1,1,2023,303713,292225,315166,Susceptible
S,71,1,1,2023,281772,271066,292827,Susceptible
S,72,1,1,2023,260129,249801,270542,Susceptible
S,73,1,1,2023,239079,228676,249337,Susceptible
S,74,1,1,2023,218681,208545,228898,Susceptible
S,75,1,1,2023,198437,188812,208440,Susceptible
S,76,1,1,2023,179314.5,169602,188933,Susceptible
S,77,1,1,2023,160715,151909,169706,Susceptible
S,78,1,1,2023,143340,134562,152119,Susceptible
S,79,1,1,2023,126756,118866,134929,Susceptible
S,80,1,1,2023,111232.5,103708,118782,Susceptible
S,81,1,1,2023,96976.5,89897,104107,Susceptible
S,82,1,1,2023,83545,77024,90273,Susceptible
S,83,1,1,2023,71329,65428,77388,Susceptible
S,84,1,1,2023,60158,54711,65678,Susceptible
S,85,1,1,2023,50112,45246,55047,Susceptible
S,86,1,1,2023,41172.5,36932,45622,Susceptible
S,87,1,1,2023,33264.5,29604,37269,Susceptible
S,88,1,1,2023,26567.5,23411,30046,Susceptible
S,89,1,1,2023,20916.5,18312,23758,Susceptible
S,90,1,1,2023,16077.5,13870,18472,Susceptible
S,91,1,1,2023,12132.5,10381,14073,Susceptible
S,92,1,1,2023,9055,7610,10670,Susceptible
S,93,1,1,2023,6558,5440,7858,Susceptible
S,94,1,1,2023,4610,3727,5580,Susceptible
S,95,1,1,2023,3205.5,2569,3972,Susceptible
S,96,1,1,2023,2180,1692,2761,Susceptible
S,97,1,1,2023,1435.5,1079,1846,Susceptible
S,98,1,1,2023,935.5,720,1227,Susceptible
S,99,1,1,2023,590,438,790,Susceptible
S,100,1,1,2023,365.5,250,498,Susceptible
S,101,1,1,2023,509.5,342,758,Susceptible
S,1,2,1,2023,117694,92460,131112,Vaccine protected
S,2,2,1,2023,229754.5,210832,235547,Vaccine protected
S,3,2,1,2023,310047.5,302672,313574,Vaccine protected
S,4,2,1,2023,366435,363791,368628,Vaccine protected
S,5,2,1,2023,404079.5,402780,405642,Vaccine protected
S,6,2,1,2023,426509,423864,429109,Vaccine protected
S,7,2,1,2023,437691,434710,440384,Vaccine protected
S,8,2,1,2023,440194.5,437650,441892,Vaccine protected
S,9,2,1,2023,437224.5,434245,438387,Vaccine protected
S,10,2,1,2023,429381,426635,431873,Vaccine protected
S,11,2,1,2023,418271.5,416177,421340,Vaccine protected
S,12,2,1,2023,405234.5,403203,407803,Vaccine protected
S,13,2,1,2023,390216.5,388295,392137,Vaccine protected
S,14,2,1,2023,373060.5,370776,374968,Vaccine protected
S,15,2,1,2023,354125,352471,356070,Vaccine protected
S,16,2,1,2023,333926,332302,337241,Vaccine protected
S,17,2,1,2023,313967,311586,317263,Vaccine protected
S,18,2,1,2023,294259,291315,297589,Vaccine protected
S,19,2,1,2023,273751,271735,275929,Vaccine protected
S,20,2,1,2023,254142.5,251262,257300,Vaccine protected
S,21,2,1,2023,234886,232251,237731,Vaccine protected
S,22,2,1,2023,216862.5,214149,218920,Vaccine protected
S,23,2,1,2023,199761.5,197810,202354,Vaccine protected
S,24,2,1,2023,183766,181720,186282,Vaccine protected
S,25,2,1,2023,168507.5,166461,170845,Vaccine protected
S,26,2,1,2023,154360,152315,155996,Vaccine protected
S,27,2,1,2023,140901,138508,143158,Vaccine protected
S,28,2,1,2023,128138,125462,130506,Vaccine protected
S,29,2,1,2023,116181,113927,118081,Vaccine protected
S,30,2,1,2023,104794.5,102701,106861,Vaccine protected
S,31,2,1,2023,93737.5,91709,95664,Vaccine protected
S,32,2,1,2023,83147,81000,85279,Vaccine protected
S,33,2,1,2023,73358.5,71028,75534,Vaccine protected
S,34,2,1,2023,64271.5,61855,66476,Vaccine protected
S,35,2,1,2023,55752,53594,58043,Vaccine protected
S,36,2,1,2023,47893,45897,50047,Vaccine protected
S,37,2,1,2023,40823.5,38874,42805,Vaccine protected
S,38,2,1,2023,34514.5,32538,36201,Vaccine protected
S,39,2,1,2023,28606.5,26992,30513,Vaccine protected
S,40,2,1,2023,23681,22181,25422,Vaccine protected
S,41,2,1,2023,19399.5,18000,20874,Vaccine protected
S,42,2,1,2023,15778,14622,16954,Vaccine protected
S,43,2,1,2023,12599.5,11503,13738,Vaccine protected
S,44,2,1,2023,10036,9140,10981,Vaccine protected
S,45,2,1,2023,7962,7239,8750,Vaccine protected
S,46,2,1,2023,6281.5,5681,6944,Vaccine protected
S,47,2,1,2023,4870,4349,5434,Vaccine protected
S,48,2,1,2023,3725,3304,4149,Vaccine protected
S,49,2,1,2023,2869.5,2539,3193,Vaccine protected
S,50,2,1,2023,2225.5,1939,2509,Vaccine protected
S,51,2,1,2023,1719.5,1488,1982,Vaccine protected
S,52,2,1,2023,1338,1136,1508,Vaccine protected
S,53,2,1,2023,1029,828,1193,Vaccine protected
S,54,2,1,2023,797,660,959,Vaccine protected
S,55,2,1,2023,604,506,726,Vaccine protected
S,56,2,1,2023,464,397,552,Vaccine protected
S,57,2,1,2023,370,300,430,Vaccine protected
S,58,2,1,2023,279,228,326,Vaccine protected
S,59,2,1,2023,218,180,261,Vaccine protected
S,60,2,1,2023,173,122,202,Vaccine protected
S,61,2,1,2023,131,92,164,Vaccine protected
S,62,2,1,2023,101,64,132,Vaccine protected
S,63,2,1,2023,79,37,103,Vaccine protected
S,64,2,1,2023,62,35,81,Vaccine protected
S,65,2,1,2023,51,24,67,Vaccine protected
S,66,2,1,2023,36,15,56,Vaccine protected
S,67,2,1,2023,25,4,33,Vaccine protected
S,68,2,1,2023,18,2,28,Vaccine protected
S,69,2,1,2023,14,2,24,Vaccine protected
S,70,2,1,2023,8,2,27,Vaccine protected
S,71,2,1,2023,6,0,16,Vaccine protected
S,72,2,1,2023,4,0,18,Vaccine protected
S,73,2,1,2023,2,0,8,Vaccine protected
S,74,2,1,2023,1,0,6,Vaccine protected
S,75,2,1,2023,1,0,6,Vaccine protected
S,76,2,1,2023,0,0,3,Vaccine protected
S,77,2,1,2023,0,0,1,Vaccine protected
S,78,2,1,2023,0,0,2,Vaccine protected
S,79,2,1,2023,0,0,1,Vaccine protected
S,80,2,1,2023,0,0,2,Vaccine protected
S,81,2,1,2023,0,0,0,Vaccine protected
S,82,2,1,2023,0,0,0,Vaccine protected
S,83,2,1,2023,0,0,0,Vaccine protected
S,84,2,1,2023,0,0,0,Vaccine protected
S,85,2,1,2023,0,0,0,Vaccine protected
S,86,2,1,2023,0,0,0,Vaccine protected
S,87,2,1,2023,0,0,0,Vaccine protected
S,88,2,1,2023,0,0,0,Vaccine protected
S,89,2,1,2023,0,0,0,Vaccine protected
S,90,2,1,2023,0,0,0,Vaccine protected
S,91,2,1,2023,0,0,0,Vaccine protected
S,92,2,1,2023,0,0,0,Vaccine protected
S,93,2,1,2023,0,0,0,Vaccine protected
S,94,2,1,2023,0,0,0,Vaccine protected
S,95,2,1,2023,0,0,0,Vaccine protected
S,96,2,1,2023,0,0,0,Vaccine protected
S,97,2,1,2023,0,0,0,Vaccine protected
S,98,2,1,2023,0,0,0,Vaccine protected
S,99,2,1,2023,0,0,0,Vaccine protected
S,100,2,1,2023,0,0,0,Vaccine protected
S,101,2,1,2023,0,0,0,Vaccine protected
S,1,3,1,2023,406360,229599,717327,Vaccine protected
S,2,3,1,2023,536314.5,412799,604207,Vaccine protected
S,3,3,1,2023,495817.5,450852,507878,Vaccine protected
S,4,3,1,2023,421840,410574,425973,Vaccine protected
S,5,3,1,2023,353861.5,350322,356419,Vaccine protected
S,6,3,1,2023,294887.5,292930,297118,Vaccine protected
S,7,3,1,2023,245328.5,244212,247321,Vaccine protected
S,8,3,1,2023,203784.5,202401,205292,Vaccine protected
S,9,3,1,2023,168939,167891,170169,Vaccine protected
S,10,3,1,2023,140506,139512,141356,Vaccine protected
S,11,3,1,2023,117005,116133,117426,Vaccine protected
S,12,3,1,2023,97422.5,96835,97949,Vaccine protected
S,13,3,1,2023,81230.5,80575,82000,Vaccine protected
S,14,3,1,2023,67833.5,67186,68383,Vaccine protected
S,15,3,1,2023,56506.5,55916,57252,Vaccine protected
S,16,3,1,2023,47068.5,46387,47639,Vaccine protected
S,17,3,1,2023,39238,38972,39674,Vaccine protected
S,18,3,1,2023,32757,32466,33312,Vaccine protected
S,19,3,1,2023,27102,26825,27802,Vaccine protected
S,20,3,1,2023,22459,22015,23002,Vaccine protected
S,21,3,1,2023,18541.5,18129,18900,Vaccine protected
S,22,3,1,2023,15194.5,14960,15470,Vaccine protected
S,23,3,1,2023,12540,12232,12897,Vaccine protected
