state,age,vaccination,risk,year,value,value_min,value_max
new_case,All,All,All,1950,37615105.5,37608052,37618298
new_case,All,All,All,1951,62245.5,62051,62427
new_case,All,All,All,1952,108317.5,106114,109078
new_case,All,All,All,1953,1010795,975546,1034367
new_case,All,All,All,1954,2502466,2480920,2548497
new_case,All,All,All,1955,516611.5,496729,528411
new_case,All,All,All,1956,2494818.5,2448645,2514620
new_case,All,All,All,1957,919437.5,900262,962941
new_case,All,All,All,1958,1741163.5,1702965,1779351
new_case,All,All,All,1959,1747531.5,1718679,1788386
new_case,All,All,All,1960,1251043,1206959,1284065
new_case,All,All,All,1961,2311241,2248870,2357616
new_case,All,All,All,1962,1204018,1159594,1270665
new_case,All,All,All,1963,2316202.5,2238984,2372625
new_case,All,All,All,1964,1558117,1514290,1616039
new_case,All,All,All,1965,2034785,1988744,2102616
new_case,All,All,All,1966,2018778,1943930,2055901
new_case,All,All,All,1967,1739605,1670922,1785045
new_case,All,All,All,1968,2317394.5,2287742,2393163
new_case,All,All,All,1969,1315625.5,1273979,1379678
new_case,All,All,All,1970,1760239.5,1688382,1797699
new_case,All,All,All,1971,1430998.5,1362448,1467309
new_case,All,All,All,1972,907258,866880,934900
new_case,All,All,All,1973,1066802.5,1023812,1108562
new_case,All,All,All,1974,1118596,1072270,1163163
new_case,All,All,All,1975,1003446,950900,1046277
new_case,All,All,All,1976,1106698.5,1067640,1145700
new_case,All,All,All,1977,1291516,1221889,1312544
new_case,All,All,All,1978,1291342,1264383,1327833
new_case,All,All,All,1979,1268055,1223582,1344618
new_case,All,All,All,1980,255496,253151,258057
new_case,All,All,All,1981,129671,129671,129671
new_case,All,All,All,1982,139785,139785,139785
new_case,All,All,All,1983,136778,136778,136778
new_case,All,All,All,1984,182591,182591,182591
new_case,All,All,All,1985,161768,161768,161768
new_case,All,All,All,1986,115743,115743,115743
new_case,All,All,All,1987,77566,77566,77566
new_case,All,All,All,1988,75908,75908,75908
new_case,All,All,All,1989,33678,33678,33678
new_case,All,All,All,1990,115682,115682,115682
new_case,All,All,All,1991,44026,44026,44026
new_case,All,All,All,1992,85965,85965,85965
new_case,All,All,All,1993,54734,54734,54734
new_case,All,All,All,1994,106081,106081,106081
new_case,All,All,All,1995,12393,12393,12393
new_case,All,All,All,1996,88675,88675,88675
new_case,All,All,All,1997,21385,21385,21385
new_case,All,All,All,1998,143098,143098,143098
new_case,All,All,All,1999,217151,217151,217151
new_case,All,All,All,2000,212183,212183,212183
new_case,All,All,All,2001,168107,168107,168107
new_case,All,All,All,2002,42007,42007,42007
new_case,All,All,All,2003,141258,141258,141258
new_case,All,All,All,2004,31521,31521,31521
new_case,All,All,All,2005,110927,110927,110927
new_case,All,All,All,2006,704,704,704
new_case,All,All,All,2007,2613,2613,2613
new_case,All,All,All,2008,9960,9960,9960
new_case,All,All,All,2009,1272,1272,1272
new_case,All,All,All,2010,8491,8491,8491
new_case,All,All,All,2011,18843,18843,18843
new_case,All,All,All,2012,6447,6447,6447
new_case,All,All,All,2013,52852,52852,52852
new_case,All,All,All,2014,6855,6855,6855
new_case,All,All,All,2015,12423,12423,12423
new_case,All,All,All,2016,17136,17136,17136
new_case,All,All,All,2017,11190,11190,11190
new_case,All,All,All,2018,7063,7063,7063
new_case,All,All,All,2019,28094,28094,28094
new_case,All,All,All,2020,8877,8877,8877
new_case,All,All,All,2021,10649,10649,10649
new_case,All,All,All,2022,23983,23983,23983
new_case,All,All,All,2023,20143,20143,20143
S,1,1,1,2023,1922641.5,1194269,3083322
S,2,1,1,2023,2686214.5,2241608,2853094
S,3,1,1,2023,2591921.5,2494215,2621625
S,4,1,1,2023,2338475,2192685,2442043
S,5,1,1,2023,2085151,1964079,2208634
S,6,1,1,2023,1879887,1781905,1986954
S,7,1,1,2023,1773739.5,1729212,1840857
S,8,1,1,2023,1764231,1756135,1786176
S,9,1,1,2023,1782556.5,1778640,1790700
S,10,1,1,2023,1783925,1772419,1794044
S,11,1,1,2023,1762449.5,1738077,1782231
S,12,1,1,2023,1733181.5,1706880,1757137
S,13,1,1,2023,1721621.5,1704590,1740469
S,14,1,1,2023,1749707.5,1740179,1755124
S,15,1,1,2023,1818079.5,1797804,1848557
S,16,1,1,2023,1933400,1892420,1983810
S,17,1,1,2023,2079332.5,2022042,2142563
S,18,1,1,2023,2236424.5,2170911,2304885
S,19,1,1,2023,2389670,2323926,2453717
S,20,1,1,2023,2521454,2462008,2576700
S,21,1,1,2023,2624246.5,2577074,2664745
S,22,1,1,2023,2691213,2658639,2716220
S,23,1,1,2023,2719320,2701140,2732090
S,24,1,1,2023,2713921.5,2698114,2728233
S,25,1,1,2023,2681019.5,2654714,2705463
S,26,1,1,2023,2627566.5,2593227,2658674
S,27,1,1,2023,2559857.5,2520215,2596597
S,28,1,1,2023,2483875.5,2441184,2525534
S,29,1,1,2023,2405822,2363916,2448613
S,30,1,1,2023,2329848.5,2289406,2372341
S,31,1,1,2023,2259127,2220154,2298855
S,32,1,1,2023,2192492,2154080,2229925
S,33,1,1,2023,2130509.5,2094047,2166370
S,34,1,1,2023,2071471.5,2037569,2106225
S,35,1,1,2023,2013067.5,1978233,2046803
S,36,1,1,2023,1952856,1917557,1987506
S,37,1,1,2023,1888608,1851982,1924930
S,38,1,1,2023,1818680,1780092,1855912
S,39,1,1,2023,1743446.5,1703377,1782716
S,40,1,1,2023,1660937.5,1617087,1703382
S,41,1,1,2023,1570205.5,1524476,1616501
S,42,1,1,2023,1474682.5,1424460,1522944
S,43,1,1,2023,1372354.5,1319564,1423807
S,44,1,1,2023,1268070,1214544,1321308
S,45,1,1,2023,1161190.5,1106569,1215166
S,46,1,1,2023,1054730,1001147,1108785
S,47,1,1,2023,949616,898047,1002851
S,48,1,1,2023,849214,798986,900015
S,49,1,1,2023,752362,704962,801498
S,50,1,1,2023,661222,616909,707411
S,51,1,1,2023,576513,535045,619264
S,52,1,1,2023,498482,460779,538150
S,53,1,1,2023,427952.5,392554,463805
S,54,1,1,2023,362939.5,331255,396198
S,55,1,1,2023,304907,276631,334490
S,56,1,1,2023,253691,228817,280108
S,57,1,1,2023,208867,187252,232290
S,58,1,1,2023,170371,151471,190473
S,59,1,1,2023,136932,120804,154031
S,60,1,1,2023,108924,95464,123280
S,61,1,1,2023,85063.5,73829,97133
S,62,1,1,2023,65238.5,56086,75651
S,63,1,1,2023,49495,42081,57718
S,64,1,1,2023,36810.5,30778,43511
S,65,1,1,2023,26952.5,22295,32188
S,66,1,1,2023,19291,15751,23411
S,67,1,1,2023,13482.5,10840,16571
S,68,1,1,2023,9154.5,7114,11490
S,69,1,1,2023,6076,4659,7871
S,70,1,1,2023,3896.5,2912,5185
S,71,1,1,2023,2415.5,1741,3302
S,72,1,1,2023,1408.5,947,2009
S,73,1,1,2023,772,479,1165
S,74,1,1,2023,395,227,658
S,75,1,1,2023,170.5,73,324
S,76,1,1,2023,67,12,156
S,77,1,1,2023,22,1,64
S,78,1,1,2023,6,0,22
S,79,1,1,2023,2,0,11
S,80,1,1,2023,0,0,3
S,81,1,1,2023,0,0,2
S,82,1,1,2023,0,0,2
S,83,1,1,2023,0,0,1
S,84,1,1,2023,0,0,1
S,85,1,1,2023,0,0,0
S,86,1,1,2023,0,0,0
S,87,1,1,2023,0,0,0
S,88,1,1,2023,0,0,0
S,89,1,1,2023,0,0,0
S,90,1,1,2023,0,0,1
S,91,1,1,2023,0,0,0
S,92,1,1,2023,0,0,0
S,93,1,1,2023,0,0,0
S,94,1,1,2023,0,0,0
S,95,1,1,2023,0,0,0
S,96,1,1,2023,0,0,0
S,97,1,1,2023,0,0,0
S,98,1,1,2023,0,0,0
S,99,1,1,2023,0,0,0
S,100,1,1,2023,0,0,0
S,101,1,1,2023,0,0,0
S,1,2,1,2023,151506,124676,162549
S,2,2,1,2023,220999.5,204406,229808
S,3,2,1,2023,371829,352911,387600
S,4,2,1,2023,543515,521326,562571
S,5,2,1,2023,722438,700727,738910
S,6,2,1,2023,897752.5,881209,910227
S,7,2,1,2023,1059076.5,1047671,1066962
S,8,2,1,2023,1204577,1198258,1209482
S,9,2,1,2023,1338436,1330990,1341122
S,10,2,1,2023,1456075.5,1449130,1460598
S,11,2,1,2023,1555358,1545608,1562959
