state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,1922641.5,1194269,3083322,Susceptible
S,2,1,1,2023,2686214.5,2241608,2853094,Susceptible
S,3,1,1,2023,2591921.5,2494215,2621625,Susceptible
S,4,1,1,2023,2338475,2192685,2442043,Susceptible
S,5,1,1,2023,2085151,1964079,2208634,Susceptible
S,6,1,1,2023,1879887,1781905,1986954,Susceptible
S,7,1,1,2023,1773739.5,1729212,1840857,Susceptible
S,8,1,1,2023,1764231,1756135,1786176,Susceptible
S,9,1,1,2023,1782556.5,1778640,1790700,Susceptible
S,10,1,1,2023,1783925,1772419,1794044,Susceptible
S,11,1,1,2023,1762449.5,1738077,1782231,Susceptible
S,12,1,1,2023,1733181.5,1706880,1757137,Susceptible
S,13,1,1,2023,1721621.5,1704590,1740469,Susceptible
S,14,1,1,2023,1749707.5,1740179,1755124,Susceptible
S,15,1,1,2023,1818079.5,1797804,1848557,Susceptible
S,16,1,1,2023,1933400,1892420,1983810,Susceptible
S,17,1,1,2023,2079332.5,2022042,2142563,Susceptible
S,18,1,1,2023,2236424.5,2170911,2304885,Susceptible
S,19,1,1,2023,2389670,2323926,2453717,Susceptible
S,20,1,1,2023,2521454,2462008,2576700,Susceptible
S,21,1,1,2023,2624246.5,2577074,2664745,Susceptible
S,22,1,1,2023,2691213,2658639,2716220,Susceptible
S,23,1,1,2023,2719320,2701140,2732090,Susceptible
S,24,1,1,2023,2713921.5,2698114,2728233,Susceptible
S,25,1,1,2023,2681019.5,2654714,2705463,Susceptible
S,26,1,1,2023,2627566.5,2593227,2658674,Susceptible
S,27,1,1,2023,2559857.5,2520215,2596597,Susceptible
S,28,1,1,2023,2483875.5,2441184,2525534,Susceptible
S,29,1,1,2023,2405822,2363916,2448613,Susceptible
S,30,1,1,2023,2329848.5,2289406,2372341,Susceptible
S,31,1,1,2023,2259127,2220154,2298855,Susceptible
S,32,1,1,2023,2192492,2154080,2229925,Susceptible
S,33,1,1,2023,2130509.5,2094047,2166370,Susceptible
S,34,1,1,2023,2071471.5,2037569,2106225,Susceptible
S,35,1,1,2023,2013067.5,1978233,2046803,Susceptible
S,36,1,1,2023,1952856,1917557,1987506,Susceptible
S,37,1,1,2023,1888608,1851982,1924930,Susceptible
S,38,1,1,2023,1818680,1780092,1855912,Susceptible
S,39,1,1,2023,1743446.5,1703377,1782716,Susceptible
S,40,1,1,2023,1660937.5,1617087,1703382,Susceptible
S,41,1,1,2023,1570205.5,1524476,1616501,Susceptible
S,42,1,1,2023,1474682.5,1424460,1522944,Susceptible
S,43,1,1,2023,1372354.5,1319564,1423807,Susceptible
S,44,1,1,2023,1268070,1214544,1321308,Susceptible
S,45,1,1,2023,1161190.5,1106569,1215166,Susceptible
S,46,1,1,2023,1054730,1001147,1108785,Susceptible
S,47,1,1,2023,949616,898047,1002851,Susceptible
S,48,1,1,2023,849214,798986,900015,Susceptible
S,49,1,1,2023,752362,704962,801498,Susceptible
S,50,1,1,2023,661222,616909,707411,Susceptible
S,51,1,1,2023,576513,535045,619264,Susceptible
S,52,1,1,2023,498482,460779,538150,Susceptible
S,53,1,1,2023,427952.5,392554,463805,Susceptible
S,54,1,1,2023,362939.5,331255,396198,Susceptible
S,55,1,1,2023,304907,276631,334490,Susceptible
S,56,1,1,2023,253691,228817,280108,Susceptible
S,57,1,1,2023,208867,187252,232290,Susceptible
S,58,1,1,2023,170371,151471,190473,Susceptible
S,59,1,1,2023,136932,120804,154031,Susceptible
S,60,1,1,2023,108924,95464,123280,Susceptible
S,61,1,1,2023,85063.5,73829,97133,Susceptible
S,62,1,1,2023,65238.5,56086,75651,Susceptible
S,63,1,1,2023,49495,42081,57718,Susceptible
S,64,1,1,2023,36810.5,30778,43511,Susceptible
S,65,1,1,2023,26952.5,22295,32188,Susceptible
S,66,1,1,2023,19291,15751,23411,Susceptible
S,67,1,1,2023,13482.5,10840,16571,Susceptible
S,68,1,1,2023,9154.5,7114,11490,Susceptible
S,69,1,1,2023,6076,4659,7871,Susceptible
S,70,1,1,2023,3896.5,2912,5185,Susceptible
S,71,1,1,2023,2415.5,1741,3302,Susceptible
S,72,1,1,2023,1408.5,947,2009,Susceptible
S,73,1,1,2023,772,479,1165,Susceptible
S,74,1,1,2023,395,227,658,Susceptible
S,75,1,1,2023,170.5,73,324,Susceptible
S,76,1,1,2023,67,12,156,Susceptible
S,77,1,1,2023,22,1,64,Susceptible
S,78,1,1,2023,6,0,22,Susceptible
S,79,1,1,2023,2,0,11,Susceptible
S,80,1,1,2023,0,0,3,Susceptible
S,81,1,1,2023,0,0,2,Susceptible
S,82,1,1,2023,0,0,2,Susceptible
S,83,1,1,2023,0,0,1,Susceptible
S,84,1,1,2023,0,0,1,Susceptible
S,85,1,1,2023,0,0,0,Susceptible
S,86,1,1,2023,0,0,0,Susceptible
S,87,1,1,2023,0,0,0,Susceptible
S,88,1,1,2023,0,0,0,Susceptible
S,89,1,1,2023,0,0,0,Susceptible
S,90,1,1,2023,0,0,1,Susceptible
S,91,1,1,2023,0,0,0,Susceptible
S,92,1,1,2023,0,0,0,Susceptible
S,93,1,1,2023,0,0,0,Susceptible
S,94,1,1,2023,0,0,0,Susceptible
S,95,1,1,2023,0,0,0,Susceptible
S,96,1,1,2023,0,0,0,Susceptible
S,97,1,1,2023,0,0,0,Susceptible
S,98,1,1,2023,0,0,0,Susceptible
S,99,1,1,2023,0,0,0,Susceptible
S,100,1,1,2023,0,0,0,Susceptible
S,101,1,1,2023,0,0,0,Susceptible
S,1,2,1,2023,151506,124676,162549,Vaccine protected
S,2,2,1,2023,220999.5,204406,229808,Vaccine protected
S,3,2,1,2023,371829,352911,387600,Vaccine protected
S,4,2,1,2023,543515,521326,562571,Vaccine protected
S,5,2,1,2023,722438,700727,738910,Vaccine protected
