state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,1650417.5,1043133,2621730,Susceptible
S,2,1,1,2023,2553334.5,2119680,2781532,Susceptible
S,3,1,1,2023,2932614.5,2755813,2999832,Susceptible
S,4,1,1,2023,3203498.5,3127515,3256175,Susceptible
S,5,1,1,2023,3473000.5,3415774,3527730,Susceptible
S,6,1,1,2023,3739634,3686311,3793439,Susceptible
S,7,1,1,2023,3986223,3939690,4033590,Susceptible
S,8,1,1,2023,4199400,4163678,4232253,Susceptible
S,9,1,1,2023,4365699.5,4342789,4378427,Susceptible
S,10,1,1,2023,4475839,4451163,4491643,Susceptible
S,11,1,1,2023,4529557.5,4482519,4562851,Susceptible
S,12,1,1,2023,4533326,4467203,4588868,Susceptible
S,13,1,1,2023,4497154,4414978,4570511,Susceptible
S,14,1,1,2023,4432715,4341315,4518658,Susceptible
S,15,1,1,2023,4355801,4262735,4447601,Susceptible
S,16,1,1,2023,4275594,4183527,4367533,Susceptible
S,17,1,1,2023,4196944.5,4108156,4286649,Susceptible
S,18,1,1,2023,4121330.5,4040003,4206322,Susceptible
S,19,1,1,2023,4048961,3972174,4128842,Susceptible
S,20,1,1,2023,3977666,3902676,4053884,Susceptible
S,21,1,1,2023,3905700.5,3835291,3977294,Susceptible
S,22,1,1,2023,3832557,3765184,3902896,Susceptible
S,23,1,1,2023,3759417.5,3692708,3824911,Susceptible
S,24,1,1,2023,3682963,3620964,3744746,Susceptible
S,25,1,1,2023,3604784.5,3544024,3665460,Susceptible
S,26,1,1,2023,3525834.5,3468311,3584647,Susceptible
S,27,1,1,2023,3445512,3389490,3501527,Susceptible
S,28,1,1,2023,3363540,3309569,3420265,Susceptible
S,29,1,1,2023,3282209,3233439,3335238,Susceptible
S,30,1,1,2023,3202455,3152963,3252487,Susceptible
S,31,1,1,2023,3123230.5,3074626,3171615,Susceptible
S,32,1,1,2023,3043570,2995428,3091593,Susceptible
S,33,1,1,2023,2965829,2917554,3013484,Susceptible
