state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,1019,711,1472,Susceptible
S,2,1,1,2023,1414,1274,1531,Susceptible
S,3,1,1,2023,1836,1719,1958,Susceptible
S,4,1,1,2023,2543,2380,2693,Susceptible
S,5,1,1,2023,3555.5,3352,3693,Susceptible
S,6,1,1,2023,4721,4475,5055,Susceptible
S,7,1,1,2023,5988,5712,6123,Susceptible
S,8,1,1,2023,7260.5,7018,7454,Susceptible
S,9,1,1,2023,8624,8291,8779,Susceptible
S,10,1,1,2023,9864.5,9484,10038,Susceptible
S,11,1,1,2023,10918,10585,11140,Susceptible
S,12,1,1,2023,11983,11591,12218,Susceptible
S,13,1,1,2023,13094,12742,13386,Susceptible
S,14,1,1,2023,14156.5,13698,14665,Susceptible
S,15,1,1,2023,15276,14490,15714,Susceptible
S,16,1,1,2023,16320,15769,16974,Susceptible
S,17,1,1,2023,17490.5,16683,18342,Susceptible
S,18,1,1,2023,18670.5,17884,19306,Susceptible
S,19,1,1,2023,19780.5,19224,20378,Susceptible
S,20,1,1,2023,20905,20560,21475,Susceptible
S,21,1,1,2023,21925.5,21458,22444,Susceptible
S,22,1,1,2023,22822.5,22247,23395,Susceptible
S,23,1,1,2023,23810,23312,24230,Susceptible
S,24,1,1,2023,24615.5,24344,25269,Susceptible
S,25,1,1,2023,25470,25070,25942,Susceptible
S,26,1,1,2023,26238.5,25407,26990,Susceptible
S,27,1,1,2023,26723,25963,27398,Susceptible
S,28,1,1,2023,27163.5,26472,27922,Susceptible
S,29,1,1,2023,27429.5,26483,28275,Susceptible
S,30,1,1,2023,27633,26870,28857,Susceptible
S,31,1,1,2023,27759.5,26885,28752,Susceptible
S,32,1,1,2023,27858.5,26612,28650,Susceptible
S,33,1,1,2023,27838.5,26547,28652,Susceptible
S,34,1,1,2023,27681.5,26463,28462,Susceptible
S,35,1,1,2023,27498,26158,28279,Susceptible
S,36,1,1,2023,27241,26237,27991,Susceptible
S,37,1,1,2023,26995.5,26220,27836,Susceptible
S,38,1,1,2023,26582.5,25819,27707,Susceptible
S,39,1,1,2023,26185.5,25234,27007,Susceptible
S,40,1,1,2023,25743,24838,26653,Susceptible
S,41,1,1,2023,25405,24443,26275,Susceptible
S,42,1,1,2023,25101.5,24334,25950,Susceptible
S,43,1,1,2023,24794.5,23773,25400,Susceptible
S,44,1,1,2023,24706,23574,25344,Susceptible
S,45,1,1,2023,24583.5,23370,25161,Susceptible
S,46,1,1,2023,24327,23215,24913,Susceptible
S,47,1,1,2023,24181,23254,24977,Susceptible
S,48,1,1,2023,23791,23243,24939,Susceptible
S,49,1,1,2023,23884.5,22946,24828,Susceptible
S,50,1,1,2023,23496.5,22786,24743,Susceptible
S,51,1,1,2023,23432.5,22721,24441,Susceptible
S,52,1,1,2023,23449,22736,24146,Susceptible
S,53,1,1,2023,23412,22804,24011,Susceptible
S,54,1,1,2023,23344,22745,23885,Susceptible
S,55,1,1,2023,23265,22573,23850,Susceptible
S,56,1,1,2023,23217.5,22426,23765,Susceptible
