state,age,vaccination,risk,year,value,value_min,value_max
new_case,All,All,All,1950,960296.5,959456,960643
new_case,All,All,All,1951,15611,15510,15719
new_case,All,All,All,1952,20214.5,19983,20537
new_case,All,All,All,1953,28826.5,28031,29542
new_case,All,All,All,1954,38404.5,37279,39562
new_case,All,All,All,1955,41562,41096,42725
new_case,All,All,All,1956,43559.5,42220,44164
new_case,All,All,All,1957,45424.5,45149,46202
new_case,All,All,All,1958,47952,47149,49565
new_case,All,All,All,1959,49533,47574,51151
new_case,All,All,All,1960,52498,50125,53600
new_case,All,All,All,1961,54432,53651,55977
new_case,All,All,All,1962,56948,53288,57823
new_case,All,All,All,1963,57904,55799,60763
new_case,All,All,All,1964,57673.5,55910,59192
new_case,All,All,All,1965,53912,52553,55647
new_case,All,All,All,1966,50080,49246,51513
new_case,All,All,All,1967,46123.5,45265,47451
new_case,All,All,All,1968,39345.5,38821,40067
new_case,All,All,All,1969,34417,33922,36503
new_case,All,All,All,1970,32970.5,31503,33408
new_case,All,All,All,1971,31448.5,31116,32703
new_case,All,All,All,1972,27999.5,27102,28682
new_case,All,All,All,1973,24654,24175,25210
new_case,All,All,All,1974,23852,23337,24749
new_case,All,All,All,1975,23133,22802,23505
new_case,All,All,All,1976,22536.5,22154,22734
new_case,All,All,All,1977,22375.5,22090,22916
new_case,All,All,All,1978,22805,22586,23385
new_case,All,All,All,1979,22436.5,22076,22685
new_case,All,All,All,1980,22646.5,22302,22725
new_case,All,All,All,1981,22824.5,22407,22950
new_case,All,All,All,1982,23094,22739,23418
new_case,All,All,All,1983,23401,23148,23636
new_case,All,All,All,1984,23904.5,23551,24141
new_case,All,All,All,1985,24711.5,24283,24868
new_case,All,All,All,1986,24614.5,24109,25134
new_case,All,All,All,1987,25046,24801,25539
new_case,All,All,All,1988,25705,25432,25976
new_case,All,All,All,1989,26352,25714,26746
new_case,All,All,All,1990,26583,26206,27079
new_case,All,All,All,1991,27351.5,26934,27610
new_case,All,All,All,1992,28563,28344,29466
new_case,All,All,All,1993,28628,28222,28980
new_case,All,All,All,1994,29203,28705,29588
new_case,All,All,All,1995,30743,30322,30929
new_case,All,All,All,1996,1714.5,1667,1780
new_case,All,All,All,1997,28,28,28
new_case,All,All,All,1998,40,40,40
new_case,All,All,All,1999,138,138,138
new_case,All,All,All,2000,5,5,5
new_case,All,All,All,2001,0,0,0
new_case,All,All,All,2002,0,0,0
new_case,All,All,All,2003,0,0,0
new_case,All,All,All,2004,0,0,0
