state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,162609,100611,260864,Susceptible
S,2,1,1,2023,12892,7283,13822,Susceptible
S,3,1,1,2023,7030,4502,9588,Susceptible
S,4,1,1,2023,4095,2904,5884,Susceptible
S,5,1,1,2023,3118,2517,4018,Susceptible
S,6,1,1,2023,3193,2880,3567,Susceptible
S,7,1,1,2023,3854,3725,4048,Susceptible
S,8,1,1,2023,4850,4662,5095,Susceptible
S,9,1,1,2023,5877,5636,6105,Susceptible
S,10,1,1,2023,6955,6712,7193,Susceptible
S,11,1,1,2023,8057,7725,8290,Susceptible
S,12,1,1,2023,9214.5,8838,9356,Susceptible
S,13,1,1,2023,10160.5,9902,10596,Susceptible
S,14,1,1,2023,11220,10854,11701,Susceptible
S,15,1,1,2023,12098.5,11691,12626,Susceptible
S,16,1,1,2023,13051,12467,13588,Susceptible
S,17,1,1,2023,14104,13417,14619,Susceptible
S,18,1,1,2023,14967.5,14491,15468,Susceptible
S,19,1,1,2023,16042,15406,16509,Susceptible
S,20,1,1,2023,17282.5,16438,17628,Susceptible
S,21,1,1,2023,18563,17649,18995,Susceptible
S,22,1,1,2023,19943,18938,20404,Susceptible
S,23,1,1,2023,21248,20573,21906,Susceptible
S,24,1,1,2023,22724,22118,23412,Susceptible
S,25,1,1,2023,24140.5,23562,24958,Susceptible
S,26,1,1,2023,25442,24901,26145,Susceptible
S,27,1,1,2023,26316,25527,27338,Susceptible
S,28,1,1,2023,27140.5,26468,28384,Susceptible
S,29,1,1,2023,27543.5,26965,29082,Susceptible
S,30,1,1,2023,28013,27012,29270,Susceptible
S,31,1,1,2023,28123,26927,29214,Susceptible
S,32,1,1,2023,27711.5,26468,29212,Susceptible
S,33,1,1,2023,27529.5,26087,28534,Susceptible
S,34,1,1,2023,26961,25236,28213,Susceptible
S,35,1,1,2023,26395,24921,27546,Susceptible
S,36,1,1,2023,25677,24076,26794,Susceptible
S,37,1,1,2023,24714,23240,25890,Susceptible
S,38,1,1,2023,23943.5,22497,25137,Susceptible
S,39,1,1,2023,22995,21677,24244,Susceptible
S,40,1,1,2023,22052,20567,23045,Susceptible
S,41,1,1,2023,21000.5,19953,22047,Susceptible
S,42,1,1,2023,19945,18941,20867,Susceptible
S,43,1,1,2023,18844.5,17804,19825,Susceptible
S,44,1,1,2023,17768,16649,18789,Susceptible
S,45,1,1,2023,16695,15725,17737,Susceptible
S,46,1,1,2023,15721,14788,16648,Susceptible
S,47,1,1,2023,14501,13613,15411,Susceptible
S,48,1,1,2023,13335.5,12415,14237,Susceptible
S,49,1,1,2023,12219.5,11294,13127,Susceptible
S,50,1,1,2023,11170,10203,11990,Susceptible
S,51,1,1,2023,10060.5,9049,10980,Susceptible
S,52,1,1,2023,8882.5,8070,10049,Susceptible
S,53,1,1,2023,7802.5,7002,8947,Susceptible
S,54,1,1,2023,6701,6002,7801,Susceptible
S,55,1,1,2023,5810,5154,6772,Susceptible
S,56,1,1,2023,4949.5,4297,5920,Susceptible
S,57,1,1,2023,4174.5,3585,4887,Susceptible
S,58,1,1,2023,3548.5,3018,4031,Susceptible
S,59,1,1,2023,2956,2541,3438,Susceptible
S,60,1,1,2023,2425.5,2007,2864,Susceptible
S,61,1,1,2023,1938,1599,2347,Susceptible
S,62,1,1,2023,1534.5,1264,1802,Susceptible
S,63,1,1,2023,1198,993,1491,Susceptible
S,64,1,1,2023,955.5,769,1182,Susceptible
S,65,1,1,2023,729,571,889,Susceptible
S,66,1,1,2023,569,425,742,Susceptible
S,67,1,1,2023,429,284,543,Susceptible
S,68,1,1,2023,311,202,411,Susceptible
S,69,1,1,2023,225,138,316,Susceptible
S,70,1,1,2023,158,103,257,Susceptible
S,71,1,1,2023,115,80,171,Susceptible
S,72,1,1,2023,87,54,126,Susceptible
S,73,1,1,2023,64,31,87,Susceptible
S,74,1,1,2023,44,23,71,Susceptible
S,75,1,1,2023,26,12,44,Susceptible
S,76,1,1,2023,16,5,37,Susceptible
S,77,1,1,2023,8.5,3,28,Susceptible
S,78,1,1,2023,7,1,17,Susceptible
S,79,1,1,2023,5,0,11,Susceptible
S,80,1,1,2023,1,0,10,Susceptible
S,81,1,1,2023,0,0,6,Susceptible
S,82,1,1,2023,0,0,3,Susceptible
S,83,1,1,2023,0,0,2,Susceptible
S,84,1,1,2023,0,0,0,Susceptible
S,85,1,1,2023,0,0,0,Susceptible
S,86,1,1,2023,0,0,0,Susceptible
S,87,1,1,2023,0,0,0,Susceptible
S,88,1,1,2023,0,0,0,Susceptible
S,89,1,1,2023,0,0,0,Susceptible
S,90,1,1,2023,0,0,0,Susceptible
S,91,1,1,2023,0,0,0,Susceptible
S,92,1,1,2023,0,0,0,Susceptible
S,93,1,1,2023,0,0,0,Susceptible
S,94,1,1,2023,0,0,0,Susceptible
S,95,1,1,2023,0,0,0,Susceptible
S,96,1,1,2023,0,0,0,Susceptible
S,97,1,1,2023,0,0,0,Susceptible
S,98,1,1,2023,0,0,0,Susceptible
S,99,1,1,2023,0,0,0,Susceptible
S,100,1,1,2023,0,0,0,Susceptible
S,101,1,1,2023,0,0,0,Susceptible
S,1,2,1,2023,0,0,0,Vaccine protected
S,2,2,1,2023,9398,8613,9965,Vaccine protected
S,3,2,1,2023,18776,18081,19422,Vaccine protected
S,4,2,1,2023,27384.5,26818,28304,Vaccine protected
S,5,2,1,2023,35407.5,34145,36131,Vaccine protected
S,6,2,1,2023,42575,41421,43703,Vaccine protected
S,7,2,1,2023,49010,47442,50240,Vaccine protected
S,8,2,1,2023,54603,52506,56181,Vaccine protected
S,9,2,1,2023,59581.5,57103,61433,Vaccine protected
S,10,2,1,2023,63662.5,61100,65652,Vaccine protected
S,11,2,1,2023,67685.5,65305,69203,Vaccine protected
S,12,2,1,2023,70730.5,68502,72561,Vaccine protected
S,13,2,1,2023,73172,71556,76166,Vaccine protected
S,14,2,1,2023,75624.5,73553,78287,Vaccine protected
S,15,2,1,2023,77709,75861,80400,Vaccine protected
S,16,2,1,2023,79372.5,77394,81712,Vaccine protected
S,17,2,1,2023,80686.5,78540,83309,Vaccine protected
S,18,2,1,2023,81608,79429,83913,Vaccine protected
S,19,2,1,2023,82673.5,80374,85181,Vaccine protected
S,20,2,1,2023,83064.5,80454,86035,Vaccine protected
S,21,2,1,2023,83362.5,80601,85920,Vaccine protected
S,22,2,1,2023,83137,80743,85655,Vaccine protected
S,23,2,1,2023,82526.5,80564,85301,Vaccine protected
S,24,2,1,2023,81881,79427,84625,Vaccine protected
S,25,2,1,2023,80677.5,77983,83310,Vaccine protected
S,26,2,1,2023,79545,76035,82411,Vaccine protected
S,27,2,1,2023,78012,74391,80977,Vaccine protected
S,28,2,1,2023,76290,73082,79455,Vaccine protected
S,29,2,1,2023,74582.5,72043,77815,Vaccine protected
S,30,2,1,2023,72817.5,69847,75971,Vaccine protected
S,31,2,1,2023,71033,67782,74031,Vaccine protected
S,32,2,1,2023,69103,65838,72028,Vaccine protected
S,33,2,1,2023,67273.5,64060,70259,Vaccine protected
S,34,2,1,2023,65558.5,62537,68167,Vaccine protected
S,35,2,1,2023,63491.5,60660,66513,Vaccine protected
S,36,2,1,2023,61263.5,58464,63679,Vaccine protected
S,37,2,1,2023,58937,56642,61055,Vaccine protected
S,38,2,1,2023,56748.5,54483,58680,Vaccine protected
S,39,2,1,2023,54412.5,52196,56261,Vaccine protected
S,40,2,1,2023,52154,50080,53973,Vaccine protected
S,41,2,1,2023,49759.5,47810,51987,Vaccine protected
S,42,2,1,2023,47344.5,45434,49310,Vaccine protected
S,43,2,1,2023,44987,42963,46927,Vaccine protected
S,44,2,1,2023,42328,40574,44171,Vaccine protected
S,45,2,1,2023,39966.5,38066,41748,Vaccine protected
S,46,2,1,2023,37306.5,35660,39019,Vaccine protected
S,47,2,1,2023,34707.5,32775,36772,Vaccine protected
S,48,2,1,2023,32076.5,30080,33960,Vaccine protected
S,49,2,1,2023,29311.5,27549,31143,Vaccine protected
S,50,2,1,2023,26732.5,25066,28469,Vaccine protected
S,51,2,1,2023,24049.5,22559,25683,Vaccine protected
S,52,2,1,2023,21579.5,19940,23079,Vaccine protected
S,53,2,1,2023,19115,17439,20855,Vaccine protected
S,54,2,1,2023,16773.5,15267,18496,Vaccine protected
