state,age,vaccination,risk,year,value,value_min,value_max
new_case,All,All,All,1950,3674897,3672687,3677136
new_case,All,All,All,1951,53173,52897,53577
new_case,All,All,All,1952,74563,73965,75786
new_case,All,All,All,1953,132257,131425,135789
new_case,All,All,All,1954,209788,205728,214714
new_case,All,All,All,1955,201003.5,192893,205192
new_case,All,All,All,1956,201269,196796,203954
new_case,All,All,All,1957,216691.5,211579,218866
new_case,All,All,All,1958,215297.5,212578,220404
new_case,All,All,All,1959,223861,220987,231694
new_case,All,All,All,1960,234461,229915,239916
new_case,All,All,All,1961,239140.5,230833,241118
new_case,All,All,All,1962,244646,237222,249070
new_case,All,All,All,1963,255532,248208,260127
new_case,All,All,All,1964,264705.5,260340,268148
new_case,All,All,All,1965,272278,266886,279126
new_case,All,All,All,1966,277411.5,271252,282365
new_case,All,All,All,1967,288467,280124,293646
new_case,All,All,All,1968,300607.5,295686,305563
new_case,All,All,All,1969,309832,299361,313784
new_case,All,All,All,1970,314269.5,307925,322114
new_case,All,All,All,1971,332574.5,326655,346087
new_case,All,All,All,1972,332823.5,319512,341650
new_case,All,All,All,1973,334684.5,328770,337584
new_case,All,All,All,1974,339074.5,330625,340869
new_case,All,All,All,1975,342388,331716,348204
new_case,All,All,All,1976,360564.5,354233,378550
new_case,All,All,All,1977,373199,363813,382133
new_case,All,All,All,1978,394548,388825,398993
new_case,All,All,All,1979,404545,396280,407874
new_case,All,All,All,1980,28535.5,27569,28950
new_case,All,All,All,1981,1729,1729,1729
new_case,All,All,All,1982,800,800,800
new_case,All,All,All,1983,879,879,879
new_case,All,All,All,1984,1405,1405,1405
new_case,All,All,All,1985,425,425,425
new_case,All,All,All,1986,2154,2154,2154
new_case,All,All,All,1987,292,292,292
new_case,All,All,All,1988,58,58,58
new_case,All,All,All,1989,729,729,729
new_case,All,All,All,1990,535,535,535
new_case,All,All,All,1991,359,359,359
new_case,All,All,All,1992,374,374,374
new_case,All,All,All,1993,2300,2300,2300
new_case,All,All,All,1994,1334,1334,1334
new_case,All,All,All,1995,1362,1362,1362
new_case,All,All,All,1996,2060,2060,2060
new_case,All,All,All,1997,6850,6850,6850
new_case,All,All,All,1998,5400,5400,5400
new_case,All,All,All,1999,3,3,3
new_case,All,All,All,2000,146,146,146
new_case,All,All,All,2001,290,290,290
new_case,All,All,All,2002,538,538,538
new_case,All,All,All,2003,801,801,801
new_case,All,All,All,2004,189,189,189
new_case,All,All,All,2005,375,375,375
new_case,All,All,All,2006,517,517,517
new_case,All,All,All,2007,403,403,403
new_case,All,All,All,2008,19,19,19
new_case,All,All,All,2009,22,22,22
new_case,All,All,All,2010,26,26,26
new_case,All,All,All,2011,13,13,13
new_case,All,All,All,2012,13,13,13
new_case,All,All,All,2013,740,740,740
new_case,All,All,All,2014,594,594,594
new_case,All,All,All,2015,45,45,45
new_case,All,All,All,2016,66,66,66
new_case,All,All,All,2017,737,737,737
new_case,All,All,All,2018,329,329,329
new_case,All,All,All,2019,27,27,27
new_case,All,All,All,2020,15,15,15
new_case,All,All,All,2021,11,11,11
new_case,All,All,All,2022,217,217,217
new_case,All,All,All,2023,744,744,744
S,1,1,1,2023,422086,261192,675866
S,2,1,1,2023,183563,138782,231249
S,3,1,1,2023,187531,178564,192154
S,4,1,1,2023,162038.5,145518,171791
S,5,1,1,2023,136479,124751,148835
S,6,1,1,2023,119916.5,112003,129542
S,7,1,1,2023,109670,104243,116318
S,8,1,1,2023,102124.5,97759,107178
S,9,1,1,2023,95106,89867,99601
S,10,1,1,2023,86121.5,80233,91486
S,11,1,1,2023,75617.5,68946,81627
S,12,1,1,2023,64555.5,57998,71198
S,13,1,1,2023,54760,48782,60927
S,14,1,1,2023,46892,41751,52225
S,15,1,1,2023,41683.5,38053,45816
S,16,1,1,2023,39467,37060,42370
S,17,1,1,2023,39992,38802,41798
S,18,1,1,2023,42978,42153,43730
S,19,1,1,2023,47404,46344,48262
S,20,1,1,2023,52257,50855,53682
S,21,1,1,2023,57372,55860,58934
