state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,422086,261192,675866,Susceptible
S,2,1,1,2023,183563,138782,231249,Susceptible
S,3,1,1,2023,187531,178564,192154,Susceptible
S,4,1,1,2023,162038.5,145518,171791,Susceptible
S,5,1,1,2023,136479,124751,148835,Susceptible
S,6,1,1,2023,119916.5,112003,129542,Susceptible
S,7,1,1,2023,109670,104243,116318,Susceptible
S,8,1,1,2023,102124.5,97759,107178,Susceptible
S,9,1,1,2023,95106,89867,99601,Susceptible
S,10,1,1,2023,86121.5,80233,91486,Susceptible
S,11,1,1,2023,75617.5,68946,81627,Susceptible
S,12,1,1,2023,64555.5,57998,71198,Susceptible
S,13,1,1,2023,54760,48782,60927,Susceptible
S,14,1,1,2023,46892,41751,52225,Susceptible
S,15,1,1,2023,41683.5,38053,45816,Susceptible
S,16,1,1,2023,39467,37060,42370,Susceptible
S,17,1,1,2023,39992,38802,41798,Susceptible
S,18,1,1,2023,42978,42153,43730,Susceptible
S,19,1,1,2023,47404,46344,48262,Susceptible
S,20,1,1,2023,52257,50855,53682,Susceptible
S,21,1,1,2023,57372,55860,58934,Susceptible
S,22,1,1,2023,62507,60923,64507,Susceptible
S,23,1,1,2023,67383,65619,69586,Susceptible
S,24,1,1,2023,72669,71524,74548,Susceptible
S,25,1,1,2023,77991,76162,79321,Susceptible
S,26,1,1,2023,82957.5,81233,84681,Susceptible
S,27,1,1,2023,88606.5,86561,90333,Susceptible
S,28,1,1,2023,94557.5,91705,96581,Susceptible
S,29,1,1,2023,100943.5,97757,103181,Susceptible
S,30,1,1,2023,107894,104240,110491,Susceptible
S,31,1,1,2023,115072,111410,118134,Susceptible
S,32,1,1,2023,122850.5,119580,125903,Susceptible
S,33,1,1,2023,130846,127910,134088,Susceptible
S,34,1,1,2023,139094.5,135954,143092,Susceptible
S,35,1,1,2023,147556.5,144082,151665,Susceptible
S,36,1,1,2023,155825.5,151984,159778,Susceptible
S,37,1,1,2023,163395,160057,167398,Susceptible
S,38,1,1,2023,170334,166678,174046,Susceptible
S,39,1,1,2023,176076.5,173123,178492,Susceptible
S,40,1,1,2023,179930,177509,181253,Susceptible
S,41,1,1,2023,181388.5,178573,182519,Susceptible
S,42,1,1,2023,180381.5,176880,182726,Susceptible
S,43,1,1,2023,177423.5,173446,180587,Susceptible
S,44,1,1,2023,172052,166652,176224,Susceptible
S,45,1,1,2023,164017,158337,168819,Susceptible
S,46,1,1,2023,153717,147850,159618,Susceptible
S,47,1,1,2023,142198.5,135490,148768,Susceptible
S,48,1,1,2023,129347,121798,136253,Susceptible
S,49,1,1,2023,116026,108102,123414,Susceptible
S,50,1,1,2023,102097.5,94778,110141,Susceptible
S,51,1,1,2023,88728.5,81829,96223,Susceptible
S,52,1,1,2023,75893.5,69230,82604,Susceptible
S,53,1,1,2023,64137,58126,70436,Susceptible
S,54,1,1,2023,53249,47881,58948,Susceptible
S,55,1,1,2023,43895,39177,48663,Susceptible
S,56,1,1,2023,35644.5,31649,39883,Susceptible
S,57,1,1,2023,28641.5,25311,32377,Susceptible
S,58,1,1,2023,22857,19802,25924,Susceptible
S,59,1,1,2023,17811.5,15535,20421,Susceptible
S,60,1,1,2023,13806.5,11948,16012,Susceptible
S,61,1,1,2023,10587.5,9100,12257,Susceptible
S,62,1,1,2023,8034,6875,9495,Susceptible
S,63,1,1,2023,6074.5,5156,7169,Susceptible
S,64,1,1,2023,4560.5,3773,5388,Susceptible
S,65,1,1,2023,3362,2800,4021,Susceptible
S,66,1,1,2023,2490,2037,2974,Susceptible
S,67,1,1,2023,1808.5,1475,2204,Susceptible
S,68,1,1,2023,1307,1052,1606,Susceptible
S,69,1,1,2023,940,722,1176,Susceptible
S,70,1,1,2023,676.5,526,841,Susceptible
S,71,1,1,2023,476,355,599,Susceptible
S,72,1,1,2023,345,222,443,Susceptible
S,73,1,1,2023,237,131,308,Susceptible
S,74,1,1,2023,160,90,248,Susceptible
S,75,1,1,2023,106,64,191,Susceptible
S,76,1,1,2023,74,46,130,Susceptible
S,77,1,1,2023,53,32,89,Susceptible
