state,age,vaccination,risk,year,value,value_min,value_max
new_case,All,All,All,1950,5602686.5,5598691,5606920
new_case,All,All,All,1951,61194.5,60861,61351
new_case,All,All,All,1952,106379,105039,107532
new_case,All,All,All,1953,370292,363971,375436
new_case,All,All,All,1954,357666.5,349657,360807
new_case,All,All,All,1955,302488.5,295653,305621
new_case,All,All,All,1956,365411,357465,366023
new_case,All,All,All,1957,333217.5,326954,339627
new_case,All,All,All,1958,359779,356439,370077
new_case,All,All,All,1959,357765.5,351662,368835
new_case,All,All,All,1960,365095,356238,371286
new_case,All,All,All,1961,381869.5,376284,392012
new_case,All,All,All,1962,379712.5,375787,386944
new_case,All,All,All,1963,395133,388451,401264
new_case,All,All,All,1964,407999,396283,417280
new_case,All,All,All,1965,407420,404046,415937
new_case,All,All,All,1966,405794.5,399446,412559
new_case,All,All,All,1967,363987.5,357076,374124
new_case,All,All,All,1968,350517.5,343524,360882
new_case,All,All,All,1969,326713,320796,329189
new_case,All,All,All,1970,291866,284605,300541
new_case,All,All,All,1971,284853.5,269087,287739
new_case,All,All,All,1972,292314,283771,297460
new_case,All,All,All,1973,298669.5,294672,306427
new_case,All,All,All,1974,307800,298859,318921
new_case,All,All,All,1975,317524,306056,322137
new_case,All,All,All,1976,324095.5,315688,329903
new_case,All,All,All,1977,337271,328564,351480
new_case,All,All,All,1978,349373.5,342923,361808
new_case,All,All,All,1979,347432.5,341104,353596
new_case,All,All,All,1980,32758.5,32486,34006
new_case,All,All,All,1981,31255,31255,31255
new_case,All,All,All,1982,14200,14200,14200
new_case,All,All,All,1983,11263,11263,11263
new_case,All,All,All,1984,11833,11833,11833
new_case,All,All,All,1985,21974,21974,21974
new_case,All,All,All,1986,14026,14026,14026
new_case,All,All,All,1987,19261,19261,19261
new_case,All,All,All,1988,12339,12339,12339
new_case,All,All,All,1989,10160,10160,10160
new_case,All,All,All,1990,9881,9881,9881
new_case,All,All,All,1991,15273,15273,15273
new_case,All,All,All,1992,11949,11949,11949
new_case,All,All,All,1993,20244,20244,20244
new_case,All,All,All,1994,15364,15364,15364
new_case,All,All,All,1995,172,172,172
new_case,All,All,All,1996,89,89,89
new_case,All,All,All,1997,27,27,27
new_case,All,All,All,1998,4,4,4
new_case,All,All,All,1999,0,0,0
new_case,All,All,All,2000,22,22,22
new_case,All,All,All,2001,115,115,115
new_case,All,All,All,2002,2392,2392,2392
new_case,All,All,All,2003,0,0,0
new_case,All,All,All,2004,0,0,0
new_case,All,All,All,2005,0,0,0
new_case,All,All,All,2006,78,78,78
new_case,All,All,All,2007,32,32,32
new_case,All,All,All,2008,0,0,0
new_case,All,All,All,2009,0,0,0
