state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,310083,191854,496134,Susceptible
S,2,1,1,2023,167843,133417,194255,Susceptible
S,3,1,1,2023,153289,136729,155899,Susceptible
S,4,1,1,2023,110268.5,86714,127246,Susceptible
S,5,1,1,2023,70851,52941,89687,Susceptible
S,6,1,1,2023,45293,34319,59233,Susceptible
S,7,1,1,2023,32349,26973,40396,Susceptible
S,8,1,1,2023,28027.5,25949,31768,Susceptible
S,9,1,1,2023,28525,27687,29717,Susceptible
S,10,1,1,2023,31085,30401,31623,Susceptible
S,11,1,1,2023,34475,33400,35359,Susceptible
S,12,1,1,2023,38179.5,37326,39288,Susceptible
S,13,1,1,2023,42179,41175,43114,Susceptible
S,14,1,1,2023,45724.5,44838,46388,Susceptible
S,15,1,1,2023,48449.5,47701,48944,Susceptible
S,16,1,1,2023,50363,49565,51010,Susceptible
S,17,1,1,2023,51672.5,50531,52600,Susceptible
S,18,1,1,2023,53334.5,52114,54421,Susceptible
S,19,1,1,2023,56357.5,55504,56887,Susceptible
S,20,1,1,2023,60895.5,59829,62115,Susceptible
S,21,1,1,2023,66888,65372,68659,Susceptible
S,22,1,1,2023,73640,71363,75866,Susceptible
S,23,1,1,2023,80823,78470,83664,Susceptible
S,24,1,1,2023,88423,85580,91082,Susceptible
S,25,1,1,2023,96020,93434,98637,Susceptible
S,26,1,1,2023,103455,101035,106161,Susceptible
S,27,1,1,2023,110577,107923,112918,Susceptible
S,28,1,1,2023,116758.5,114753,118648,Susceptible
S,29,1,1,2023,121836.5,120272,123391,Susceptible
S,30,1,1,2023,125758,124136,127253,Susceptible
S,31,1,1,2023,127904.5,126164,129832,Susceptible
S,32,1,1,2023,128505,126183,130395,Susceptible
S,33,1,1,2023,127904,125256,130409,Susceptible
S,34,1,1,2023,126512,123622,128869,Susceptible
S,35,1,1,2023,124640,122116,127159,Susceptible
S,36,1,1,2023,122666,120093,125418,Susceptible
S,37,1,1,2023,120784,118175,123620,Susceptible
S,38,1,1,2023,118721,116270,121972,Susceptible
S,39,1,1,2023,116715,113992,119894,Susceptible
S,40,1,1,2023,114887,112163,117919,Susceptible
S,41,1,1,2023,112423.5,109971,115395,Susceptible
S,42,1,1,2023,109524,106815,112419,Susceptible
S,43,1,1,2023,106353.5,103786,109008,Susceptible
S,44,1,1,2023,102773.5,99454,105404,Susceptible
S,45,1,1,2023,98430.5,94672,101687,Susceptible
S,46,1,1,2023,93450,89782,97442,Susceptible
S,47,1,1,2023,88113.5,84353,91925,Susceptible
S,48,1,1,2023,82290.5,78373,86390,Susceptible
S,49,1,1,2023,76469,72302,80650,Susceptible
S,50,1,1,2023,70224,66250,74740,Susceptible
S,51,1,1,2023,64445,60685,68973,Susceptible
S,52,1,1,2023,58693,55107,62800,Susceptible
S,53,1,1,2023,53288.5,50060,56707,Susceptible
S,54,1,1,2023,48253.5,45240,51400,Susceptible
S,55,1,1,2023,43523,40571,46698,Susceptible
S,56,1,1,2023,39202.5,36709,41889,Susceptible
S,57,1,1,2023,35180.5,32785,37540,Susceptible
S,58,1,1,2023,31432.5,28803,33597,Susceptible
S,59,1,1,2023,27604.5,25210,29854,Susceptible
S,60,1,1,2023,24184,21871,26525,Susceptible
S,61,1,1,2023,20806.5,18738,22956,Susceptible
S,62,1,1,2023,17661.5,15831,19603,Susceptible
S,63,1,1,2023,14774.5,13124,16572,Susceptible
S,64,1,1,2023,12369,10907,13840,Susceptible
S,65,1,1,2023,10119.5,8857,11460,Susceptible
S,66,1,1,2023,8192.5,7124,9372,Susceptible
S,67,1,1,2023,6576.5,5643,7541,Susceptible
S,68,1,1,2023,5214,4422,6081,Susceptible
S,69,1,1,2023,4103,3464,4801,Susceptible
S,70,1,1,2023,3178.5,2761,3719,Susceptible
S,71,1,1,2023,2501.5,2139,2920,Susceptible
