state,age,vaccination,risk,year,value,value_min,value_max,status
S,1,1,1,2023,106375.5,67183,167404,Susceptible
S,2,1,1,2023,161114.5,134473,173609,Susceptible
S,3,1,1,2023,179048,170899,182884,Susceptible
S,4,1,1,2023,191330.5,188276,193171,Susceptible
S,5,1,1,2023,203664,200904,205140,Susceptible
S,6,1,1,2023,218961,216603,220809,Susceptible
S,7,1,1,2023,236002,233529,239429,Susceptible
S,8,1,1,2023,256383.5,252660,260353,Susceptible
S,9,1,1,2023,279020,273454,284115,Susceptible
S,10,1,1,2023,302576,296646,308373,Susceptible
S,11,1,1,2023,326367.5,320268,332666,Susceptible
S,12,1,1,2023,348811.5,342953,355062,Susceptible
S,13,1,1,2023,368947,363535,374184,Susceptible
S,14,1,1,2023,386402,380644,392402,Susceptible
S,15,1,1,2023,401437.5,396047,406895,Susceptible
S,16,1,1,2023,413938.5,408571,418507,Susceptible
S,17,1,1,2023,424211.5,419583,427833,Susceptible
S,18,1,1,2023,431872.5,427942,434703,Susceptible
S,19,1,1,2023,437400.5,433210,441610,Susceptible
S,20,1,1,2023,440763.5,436393,446441,Susceptible
S,21,1,1,2023,442900.5,439025,449852,Susceptible
S,22,1,1,2023,443997,439304,452192,Susceptible
S,23,1,1,2023,444579.5,438990,452573,Susceptible
S,24,1,1,2023,444353,438468,451077,Susceptible
S,25,1,1,2023,443304,437728,449910,Susceptible
S,26,1,1,2023,442473,437571,448294,Susceptible
S,27,1,1,2023,441320.5,435771,448014,Susceptible
S,28,1,1,2023,440826.5,435698,447688,Susceptible
S,29,1,1,2023,440369.5,434634,447648,Susceptible
S,30,1,1,2023,440297,432936,447306,Susceptible
S,31,1,1,2023,440661,434491,446086,Susceptible
S,32,1,1,2023,440137,433498,445449,Susceptible
S,33,1,1,2023,439428,432627,444087,Susceptible
S,34,1,1,2023,437886.5,431596,442947,Susceptible
S,35,1,1,2023,435303.5,429680,440152,Susceptible
S,36,1,1,2023,432750,427963,438633,Susceptible
S,37,1,1,2023,429367.5,424595,435441,Susceptible
S,38,1,1,2023,426229.5,420452,432724,Susceptible
S,39,1,1,2023,421912,416089,427337,Susceptible
S,40,1,1,2023,416891,410672,422295,Susceptible
S,41,1,1,2023,411449.5,404258,418444,Susceptible
S,42,1,1,2023,405677.5,398744,413815,Susceptible
S,43,1,1,2023,399218,392704,406696,Susceptible
S,44,1,1,2023,393240,387258,399354,Susceptible
S,45,1,1,2023,386681.5,381128,392122,Susceptible
S,46,1,1,2023,380360,373502,385035,Susceptible
S,47,1,1,2023,373331,367224,378719,Susceptible
S,48,1,1,2023,366534.5,360281,371652,Susceptible
S,49,1,1,2023,358892.5,352600,364665,Susceptible
S,50,1,1,2023,351075,345912,356823,Susceptible
S,51,1,1,2023,343670,338270,349089,Susceptible
S,52,1,1,2023,335804,330037,341066,Susceptible
S,53,1,1,2023,327655,321702,333054,Susceptible
S,54,1,1,2023,319125,314023,324638,Susceptible
S,55,1,1,2023,310892,304798,316392,Susceptible
S,56,1,1,2023,302285.5,295836,308709,Susceptible
S,57,1,1,2023,293886.5,286974,301091,Susceptible
S,58,1,1,2023,285044.5,279283,291679,Susceptible
S,59,1,1,2023,276258,269936,283521,Susceptible
S,60,1,1,2023,267009.5,261258,274452,Susceptible
S,61,1,1,2023,258037.5,252415,265675,Susceptible
S,62,1,1,2023,248652,242533,256311,Susceptible
S,63,1,1,2023,239292,233534,246487,Susceptible
S,64,1,1,2023,229504,223973,237959,Susceptible
S,65,1,1,2023,219852.5,213961,227344,Susceptible
S,66,1,1,2023,209497.5,204171,218215,Susceptible
S,67,1,1,2023,199876.5,194784,206779,Susceptible
S,68,1,1,2023,190313.5,184517,196668,Susceptible
S,69,1,1,2023,179976,174320,186304,Susceptible
S,70,1,1,2023,169879.5,164172,176598,Susceptible
S,71,1,1,2023,159941.5,154432,166043,Susceptible
S,72,1,1,2023,150566,145541,155875,Susceptible
S,73,1,1,2023,141484.5,136313,146523,Susceptible
S,74,1,1,2023,133067,128287,137767,Susceptible
S,75,1,1,2023,124517,119865,129200,Susceptible
S,76,1,1,2023,116003,111593,120349,Susceptible
S,77,1,1,2023,107691,103252,112156,Susceptible
S,78,1,1,2023,99360,94995,103551,Susceptible
S,79,1,1,2023,91084.5,86492,95662,Susceptible
S,80,1,1,2023,82805.5,78376,87341,Susceptible
S,81,1,1,2023,74387.5,70414,78707,Susceptible
S,82,1,1,2023,66359,62288,70336,Susceptible
S,83,1,1,2023,58537.5,54502,62651,Susceptible
S,84,1,1,2023,50758.5,46946,54648,Susceptible
S,85,1,1,2023,43572,40109,47227,Susceptible
S,86,1,1,2023,36598,33326,39996,Susceptible
S,87,1,1,2023,30400.5,27450,33475,Susceptible
S,88,1,1,2023,24774,22035,27481,Susceptible
S,89,1,1,2023,19807,17553,22309,Susceptible
S,90,1,1,2023,15667.5,13796,17796,Susceptible
S,91,1,1,2023,12286,10653,14014,Susceptible
S,92,1,1,2023,9414.5,8091,10954,Susceptible
S,93,1,1,2023,7099,6065,8349,Susceptible
