state,age,vaccination,risk,year,value,value_min,value_max,iso,disease,R0
new_case,All,All,All,1950,194384,193118,195040,AFG,diphtheria,1
new_case,All,All,All,1951,229764,225478,231239,AFG,diphtheria,1
new_case,All,All,All,1952,189527,187271,194107,AFG,diphtheria,1
new_case,All,All,All,1953,168302,167125,170130,AFG,diphtheria,1
new_case,All,All,All,1954,154729,153869,155065,AFG,diphtheria,1
new_case,All,All,All,1955,145917,144219,146614,AFG,diphtheria,1
new_case,All,All,All,1956,139499,138535,140035,AFG,diphtheria,1
new_case,All,All,All,1957,134474,132706,138263,AFG,diphtheria,1
new_case,All,All,All,1958,127695,125686,128543,AFG,diphtheria,1
new_case,All,All,All,1959,123794,123199,125806,AFG,diphtheria,1
new_case,All,All,All,1960,120091,118690,121354,AFG,diphtheria,1
new_case,All,All,All,1961,117307,116290,117379,AFG,diphtheria,1
new_case,All,All,All,1962,115068,114261,116084,AFG,diphtheria,1
new_case,All,All,All,1963,112653,111755,113252,AFG,diphtheria,1
new_case,All,All,All,1964,113511,111855,114225,AFG,diphtheria,1
new_case,All,All,All,1965,109896,108883,110963,AFG,diphtheria,1
new_case,All,All,All,1966,108916,107248,109588,AFG,diphtheria,1
new_case,All,All,All,1967,107744,106313,108566,AFG,diphtheria,1
new_case,All,All,All,1968,106589,106244,107204,AFG,diphtheria,1
new_case,All,All,All,1969,105391,105106,107570,AFG,diphtheria,1
new_case,All,All,All,1970,105746,103947,106542,AFG,diphtheria,1
new_case,All,All,All,1971,106557,105959,107620,AFG,diphtheria,1
new_case,All,All,All,1972,103670,103048,104648,AFG,diphtheria,1
new_case,All,All,All,1973,102734,102390,103495,AFG,diphtheria,1
new_case,All,All,All,1974,102518,101630,103229,AFG,diphtheria,1
new_case,All,All,All,1975,101448,101036,102001,AFG,diphtheria,1
new_case,All,All,All,1976,100651,99685,102230,AFG,diphtheria,1
new_case,All,All,All,1977,99598,98976,100637,AFG,diphtheria,1
new_case,All,All,All,1978,101516,101087,102773,AFG,diphtheria,1
new_case,All,All,All,1979,98666,97373,99598,AFG,diphtheria,1
new_case,All,All,All,1980,5955,5830,6129,AFG,diphtheria,1
new_case,All,All,All,1981,1464,1464,1464,AFG,diphtheria,1
new_case,All,All,All,1982,1563,1563,1563,AFG,diphtheria,1
new_case,All,All,All,1983,1940,1940,1940,AFG,diphtheria,1
new_case,All,All,All,1984,555,555,555,AFG,diphtheria,1
new_case,All,All,All,1985,3179,3179,3179,AFG,diphtheria,1
new_case,All,All,All,1986,1053,1053,1053,AFG,diphtheria,1
new_case,All,All,All,1987,1272,1272,1272,AFG,diphtheria,1
new_case,All,All,All,1988,661,661,661,AFG,diphtheria,1
new_case,All,All,All,1989,286,286,286,AFG,diphtheria,1
new_case,All,All,All,1990,368,368,368,AFG,diphtheria,1
new_case,All,All,All,1991,21,21,21,AFG,diphtheria,1
new_case,All,All,All,1992,0,0,0,AFG,diphtheria,1
new_case,All,All,All,1993,0,0,0,AFG,diphtheria,1
new_case,All,All,All,1994,0,0,0,AFG,diphtheria,1
new_case,All,All,All,1995,0,0,0,AFG,diphtheria,1
new_case,All,All,All,1996,0,0,0,AFG,diphtheria,1
new_case,All,All,All,1997,0,0,0,AFG,diphtheria,1
new_case,All,All,All,1998,84,84,84,AFG,diphtheria,1
new_case,All,All,All,1999,297,297,297,AFG,diphtheria,1
new_case,All,All,All,2000,84,84,84,AFG,diphtheria,1
new_case,All,All,All,2001,0,0,0,AFG,diphtheria,1
