dim1,dim2,dim3,dim4,value,iso,disease,R0
1,1,1,1,1420663.5,NGA,diphtheria,2
2,1,1,1,2077542,NGA,diphtheria,2
3,1,1,1,2221787.5,NGA,diphtheria,2
4,1,1,1,2271731.5,NGA,diphtheria,2
5,1,1,1,2340723,NGA,diphtheria,2
6,1,1,1,2416264.5,NGA,diphtheria,2
7,1,1,1,2472121,NGA,diphtheria,2
8,1,1,1,2483478.5,NGA,diphtheria,2
9,1,1,1,2445727.5,NGA,diphtheria,2
10,1,1,1,2379611,NGA,diphtheria,2
11,1,1,1,2304220,NGA,diphtheria,2
12,1,1,1,2237484,NGA,diphtheria,2
13,1,1,1,2197026,NGA,diphtheria,2
14,1,1,1,2185386,NGA,diphtheria,2
15,1,1,1,2204975.5,NGA,diphtheria,2
16,1,1,1,2250638,NGA,diphtheria,2
17,1,1,1,2311098.5,NGA,diphtheria,2
18,1,1,1,2378833.5,NGA,diphtheria,2
19,1,1,1,2440520.5,NGA,diphtheria,2
20,1,1,1,2483257.5,NGA,diphtheria,2
21,1,1,1,2506225,NGA,diphtheria,2
22,1,1,1,2505368.5,NGA,diphtheria,2
23,1,1,1,2481501,NGA,diphtheria,2
24,1,1,1,2436218.5,NGA,diphtheria,2
25,1,1,1,2371614.5,NGA,diphtheria,2
26,1,1,1,2297852.5,NGA,diphtheria,2
27,1,1,1,2219757,NGA,diphtheria,2
28,1,1,1,2139599,NGA,diphtheria,2
29,1,1,1,2065381,NGA,diphtheria,2
30,1,1,1,1996929.5,NGA,diphtheria,2
31,1,1,1,1939539,NGA,diphtheria,2
32,1,1,1,1890937.5,NGA,diphtheria,2
33,1,1,1,1853325.5,NGA,diphtheria,2
34,1,1,1,1822447.5,NGA,diphtheria,2
35,1,1,1,1799468,NGA,diphtheria,2
36,1,1,1,1784428,NGA,diphtheria,2
37,1,1,1,1772371.5,NGA,diphtheria,2
38,1,1,1,1761693,NGA,diphtheria,2
39,1,1,1,1748941.5,NGA,diphtheria,2
40,1,1,1,1735730,NGA,diphtheria,2
41,1,1,1,1716981,NGA,diphtheria,2
42,1,1,1,1692853,NGA,diphtheria,2
43,1,1,1,1665014.5,NGA,diphtheria,2
44,1,1,1,1630945.5,NGA,diphtheria,2
45,1,1,1,1594899,NGA,diphtheria,2
46,1,1,1,1552089,NGA,diphtheria,2
47,1,1,1,1506179,NGA,diphtheria,2
48,1,1,1,1457013.5,NGA,diphtheria,2
49,1,1,1,1405664.5,NGA,diphtheria,2
50,1,1,1,1351536,NGA,diphtheria,2
51,1,1,1,1295023,NGA,diphtheria,2
52,1,1,1,1239469.5,NGA,diphtheria,2
53,1,1,1,1184658.5,NGA,diphtheria,2
54,1,1,1,1127698,NGA,diphtheria,2
55,1,1,1,1071525.5,NGA,diphtheria,2
56,1,1,1,1016946.5,NGA,diphtheria,2
57,1,1,1,965923,NGA,diphtheria,2
58,1,1,1,915485.5,NGA,diphtheria,2
59,1,1,1,866336,NGA,diphtheria,2
60,1,1,1,818670,NGA,diphtheria,2
61,1,1,1,770987.5,NGA,diphtheria,2
62,1,1,1,724655,NGA,diphtheria,2
63,1,1,1,676903,NGA,diphtheria,2
64,1,1,1,630984.5,NGA,diphtheria,2
65,1,1,1,587691,NGA,diphtheria,2
66,1,1,1,545138,NGA,diphtheria,2
67,1,1,1,502452,NGA,diphtheria,2
68,1,1,1,461265,NGA,diphtheria,2
69,1,1,1,421034,NGA,diphtheria,2
70,1,1,1,380991.5,NGA,diphtheria,2
71,1,1,1,344280.5,NGA,diphtheria,2
72,1,1,1,308822,NGA,diphtheria,2
73,1,1,1,276094,NGA,diphtheria,2
74,1,1,1,244434.5,NGA,diphtheria,2
75,1,1,1,214324.5,NGA,diphtheria,2
76,1,1,1,187032.5,NGA,diphtheria,2
77,1,1,1,162195,NGA,diphtheria,2
78,1,1,1,140011,NGA,diphtheria,2
79,1,1,1,119021.5,NGA,diphtheria,2
80,1,1,1,100493.5,NGA,diphtheria,2
81,1,1,1,83889,NGA,diphtheria,2
82,1,1,1,69134,NGA,diphtheria,2
83,1,1,1,56439.5,NGA,diphtheria,2
84,1,1,1,45553.5,NGA,diphtheria,2
85,1,1,1,36662.5,NGA,diphtheria,2
86,1,1,1,29019.5,NGA,diphtheria,2
87,1,1,1,22573.5,NGA,diphtheria,2
88,1,1,1,17355.5,NGA,diphtheria,2
89,1,1,1,12842.5,NGA,diphtheria,2
90,1,1,1,9557.5,NGA,diphtheria,2
91,1,1,1,6893.5,NGA,diphtheria,2
92,1,1,1,4894.5,NGA,diphtheria,2
93,1,1,1,3374.5,NGA,diphtheria,2
94,1,1,1,2289,NGA,diphtheria,2
95,1,1,1,1589.5,NGA,diphtheria,2
96,1,1,1,1057.5,NGA,diphtheria,2
97,1,1,1,706,NGA,diphtheria,2
98,1,1,1,443,NGA,diphtheria,2
99,1,1,1,298.5,NGA,diphtheria,2
100,1,1,1,194.5,NGA,diphtheria,2
101,1,1,1,289,NGA,diphtheria,2
1,2,1,1,412016,NGA,diphtheria,2
