age,status,value,iso,disease,R0,prop
1,Exposure protected,268.5,NGA,diphtheria,2,0.0000568897755830778
1,Susceptible,1420663.5,NGA,diphtheria,2,0.301010159009571
1,Vaccine and exposure protected,0,NGA,diphtheria,2,0
1,Vaccine protected,3298721,NGA,diphtheria,2,0.698932951214846
2,Exposure protected,379.5,NGA,diphtheria,2,0.000055203292123603
2,Susceptible,2077542,NGA,diphtheria,2,0.302205949736639
2,Vaccine and exposure protected,0,NGA,diphtheria,2,0
2,Vaccine protected,4796668.5,NGA,diphtheria,2,0.697738846971238
3,Exposure protected,442.5,NGA,diphtheria,2,0.0000609312526102329
3,Susceptible,2221787.5,NGA,diphtheria,2,0.305935130867249
3,Vaccine and exposure protected,0,NGA,diphtheria,2,0
3,Vaccine protected,5040053,NGA,diphtheria,2,0.694003937880141
4,Exposure protected,459.5,NGA,diphtheria,2,0.0000636382521986012
4,Susceptible,2271731.5,NGA,diphtheria,2,0.314622463818295
4,Vaccine and exposure protected,0,NGA,diphtheria,2,0
4,Vaccine protected,4948309,NGA,diphtheria,2,0.685313897929506
5,Exposure protected,458,NGA,diphtheria,2,0.0000640789049166988
5,Susceptible,2340723,NGA,diphtheria,2,0.327491193347882
5,Vaccine and exposure protected,0,NGA,diphtheria,2,0
5,Vaccine protected,4806257,NGA,diphtheria,2,0.672444727747201
6,Exposure protected,481,NGA,diphtheria,2,0.0000680946342702315
6,Susceptible,2416264.5,NGA,diphtheria,2,0.342067874069946
6,Vaccine and exposure protected,0,NGA,diphtheria,2,0
6,Vaccine protected,4646953.5,NGA,diphtheria,2,0.657864031295784
7,Exposure protected,482.5,NGA,diphtheria,2,0.0000691325321505676
7,Susceptible,2472121,NGA,diphtheria,2,0.354205149248898
7,Vaccine and exposure protected,0,NGA,diphtheria,2,0
7,Vaccine protected,4506744.5,NGA,diphtheria,2,0.645725718218951
8,Exposure protected,506.5,NGA,diphtheria,2,0.0000735490418549228
8,Susceptible,2483478.5,NGA,diphtheria,2,0.360626780142746
8,Vaccine and exposure protected,0,NGA,diphtheria,2,0
8,Vaccine protected,4402576.5,NGA,diphtheria,2,0.639299670815399
9,Exposure protected,544.5,NGA,diphtheria,2,0.0000803470639013701
9,Susceptible,2445727.5,NGA,diphtheria,2,0.360894442108059
9,Vaccine and exposure protected,0,NGA,diphtheria,2,0
9,Vaccine protected,4330578,NGA,diphtheria,2,0.63902521082804
10,Exposure protected,558.5,NGA,diphtheria,2,0.000083843531606647
